Date,Open,High,Low,Close,Volume,Adj Close
2011-09-13,0.01,0.01,0.01,0.01,000,0.01
2011-09-12,0.01,0.01,0.01,0.01,000,0.01
2011-09-09,0.01,0.01,0.01,0.01,000,0.01
2011-09-08,0.01,0.01,0.01,0.01,000,0.01
2011-09-07,0.01,0.01,0.01,0.01,000,0.01
2011-09-06,0.01,0.01,0.01,0.01,000,0.01
2011-09-05,0.01,0.01,0.01,0.01,000,0.01
2011-09-02,0.01,0.01,0.01,0.01,000,0.01
2011-09-01,0.01,0.01,0.01,0.01,000,0.01
2011-08-31,0.01,0.01,0.01,0.01,000,0.01
2011-08-30,0.01,0.01,0.01,0.01,000,0.01
2011-08-29,0.01,0.01,0.01,0.01,000,0.01
2011-08-26,0.01,0.01,0.01,0.01,000,0.01
2011-08-25,0.01,0.01,0.01,0.01,000,0.01
2011-08-24,0.01,0.01,0.01,0.01,000,0.01
2011-08-23,0.01,0.01,0.01,0.01,000,0.01
2011-08-22,0.01,0.01,0.01,0.01,000,0.01
2011-08-19,0.01,0.01,0.01,0.01,000,0.01
2011-08-18,0.01,0.01,0.01,0.01,000,0.01
2011-08-17,0.01,0.01,0.01,0.01,000,0.01
2011-08-16,0.01,0.01,0.01,0.01,000,0.01
2011-08-15,0.01,0.01,0.01,0.01,000,0.01
2011-08-12,0.01,0.01,0.01,0.01,000,0.01
2011-08-11,0.01,0.01,0.01,0.01,000,0.01
2011-08-10,0.01,0.01,0.01,0.01,000,0.01
2011-08-09,0.01,0.01,0.01,0.01,000,0.01
2011-08-08,0.01,0.01,0.01,0.01,000,0.01
2011-08-05,0.01,0.01,0.01,0.01,000,0.01
2011-08-04,0.01,0.01,0.01,0.01,000,0.01
2011-08-03,0.01,0.01,0.01,0.01,000,0.01
2011-08-02,0.01,0.01,0.01,0.01,000,0.01
2011-08-01,0.01,0.01,0.01,0.01,000,0.01
2011-07-29,0.01,0.01,0.01,0.01,000,0.01
2011-07-28,0.01,0.01,0.01,0.01,000,0.01
2011-07-27,0.01,0.01,0.01,0.01,000,0.01
2011-07-26,0.01,0.01,0.01,0.01,000,0.01
2011-07-25,0.01,0.01,0.01,0.01,000,0.01
2011-07-22,0.01,0.01,0.01,0.01,000,0.01
2011-07-21,0.01,0.01,0.01,0.01,000,0.01
2011-07-20,0.01,0.01,0.01,0.01,000,0.01
2011-07-19,0.01,0.01,0.01,0.01,000,0.01
2011-07-18,0.01,0.01,0.01,0.01,000,0.01
2011-07-15,0.01,0.01,0.01,0.01,000,0.01
2011-07-14,0.01,0.01,0.01,0.01,000,0.01
2011-07-13,0.01,0.01,0.01,0.01,000,0.01
2011-07-12,0.01,0.01,0.01,0.01,000,0.01
2011-07-11,0.01,0.01,0.01,0.01,000,0.01
2011-07-08,0.01,0.01,0.01,0.01,000,0.01
2011-07-07,0.01,0.01,0.01,0.01,000,0.01
2011-07-06,0.01,0.01,0.01,0.01,000,0.01
2011-07-05,0.01,0.01,0.01,0.01,000,0.01
2011-07-04,0.01,0.01,0.01,0.01,000,0.01
2011-07-01,0.01,0.01,0.01,0.01,000,0.01
2011-06-30,0.01,0.01,0.01,0.01,000,0.01
2011-06-29,0.01,0.01,0.01,0.01,000,0.01
2011-06-28,0.01,0.01,0.01,0.01,000,0.01
2011-06-27,0.01,0.01,0.01,0.01,000,0.01
2011-06-24,0.01,0.01,0.01,0.01,000,0.01
2011-06-23,0.01,0.01,0.01,0.01,000,0.01
2011-06-22,0.01,0.01,0.01,0.01,000,0.01
2011-06-21,0.01,0.01,0.01,0.01,000,0.01
2011-06-20,0.01,0.01,0.01,0.01,000,0.01
2011-06-17,0.01,0.01,0.01,0.01,000,0.01
2011-06-16,0.01,0.01,0.01,0.01,000,0.01
2011-06-15,0.01,0.01,0.01,0.01,000,0.01
2011-06-14,0.01,0.01,0.01,0.01,000,0.01
2011-06-13,0.01,0.01,0.01,0.01,000,0.01
2011-06-10,0.01,0.01,0.01,0.01,000,0.01
2011-06-09,0.01,0.01,0.01,0.01,000,0.01
2011-06-08,0.01,0.01,0.01,0.01,000,0.01
2011-06-07,0.01,0.01,0.01,0.01,000,0.01
2011-06-06,0.01,0.01,0.01,0.01,000,0.01
2011-06-03,0.01,0.01,0.01,0.01,000,0.01
2011-06-02,0.01,0.01,0.01,0.01,000,0.01
2011-06-01,0.01,0.01,0.01,0.01,000,0.01
2011-05-31,0.01,0.01,0.01,0.01,000,0.01
2011-05-30,0.01,0.01,0.01,0.01,000,0.01
2011-05-27,0.01,0.01,0.01,0.01,000,0.01
2011-05-26,0.01,0.01,0.01,0.01,000,0.01
2011-05-25,0.01,0.01,0.01,0.01,000,0.01
2011-05-24,0.01,0.01,0.01,0.01,000,0.01
2011-05-23,0.01,0.01,0.01,0.01,000,0.01
2011-05-20,0.01,0.01,0.01,0.01,000,0.01
2011-05-19,0.01,0.01,0.01,0.01,000,0.01
2011-05-18,0.01,0.01,0.01,0.01,000,0.01
2011-05-17,0.01,0.01,0.01,0.01,000,0.01
2011-05-16,0.01,0.01,0.01,0.01,000,0.01
2011-05-13,0.01,0.01,0.01,0.01,000,0.01
2011-05-12,0.01,0.01,0.01,0.01,000,0.01
2011-05-11,0.01,0.01,0.01,0.01,000,0.01
2011-05-10,0.01,0.01,0.01,0.01,000,0.01
2011-05-09,0.01,0.01,0.01,0.01,000,0.01
2011-05-06,0.01,0.01,0.01,0.01,000,0.01
2011-05-05,0.01,0.01,0.01,0.01,000,0.01
2011-05-04,0.01,0.01,0.01,0.01,000,0.01
2011-05-03,0.01,0.01,0.01,0.01,000,0.01
2011-05-02,0.01,0.01,0.01,0.01,000,0.01
2011-04-29,0.01,0.01,0.01,0.01,000,0.01
2011-04-28,0.01,0.01,0.01,0.01,000,0.01
2011-04-27,0.01,0.01,0.01,0.01,000,0.01
2011-04-26,0.01,0.01,0.01,0.01,000,0.01
2011-04-25,0.01,0.01,0.01,0.01,000,0.01
2011-04-22,0.01,0.01,0.01,0.01,000,0.01
2011-04-21,0.01,0.01,0.01,0.01,000,0.01
2011-04-20,0.01,0.01,0.01,0.01,000,0.01
2011-04-19,0.01,0.01,0.01,0.01,000,0.01
2011-04-18,0.01,0.01,0.01,0.01,000,0.01
2011-04-15,0.01,0.01,0.01,0.01,000,0.01
2011-04-14,0.01,0.01,0.01,0.01,000,0.01
2011-04-13,0.01,0.01,0.01,0.01,000,0.01
2011-04-12,0.01,0.01,0.01,0.01,000,0.01
2011-04-11,0.01,0.01,0.01,0.01,000,0.01
2011-04-08,0.01,0.01,0.01,0.01,000,0.01
2011-04-07,0.01,0.01,0.01,0.01,000,0.01
2011-04-06,0.01,0.01,0.01,0.01,000,0.01
2011-04-05,0.01,0.01,0.01,0.01,000,0.01
