Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,111.63,111.63,111.15,111.26,000,111.26
2012-06-01,112.42,112.80,111.51,111.85,000,111.85
2012-05-31,112.08,112.43,112.08,112.40,000,112.40
2012-05-30,111.43,112.40,111.43,112.40,000,112.40
2012-05-29,111.23,111.45,110.82,111.45,000,111.45
2012-05-25,111.04,111.40,111.04,111.40,000,111.40
2012-05-24,111.00,111.34,110.65,111.03,000,111.03
2012-05-23,110.30,110.90,109.95,110.90,000,110.90
2012-05-22,108.68,109.67,108.68,109.29,000,109.29
2012-05-21,109.08,109.08,108.77,109.08,000,109.08
2012-05-16,109.10,109.40,108.75,109.11,000,109.11
2012-05-14,108.05,108.40,108.05,108.40,000,108.40
2012-05-11,107.93,107.93,107.61,107.61,000,107.61
2012-05-10,106.05,107.85,106.05,107.50,000,107.50
2012-05-09,107.88,107.88,107.88,107.88,000,107.88
2012-05-08,107.53,107.55,107.22,107.55,000,107.55
2012-05-07,107.58,107.58,106.92,107.23,000,107.23
2012-05-04,106.67,106.90,106.30,106.90,000,106.90
2012-05-03,106.65,106.65,106.33,106.33,000,106.33
2012-05-02,106.10,106.70,106.05,106.35,000,106.35
2012-04-30,105.88,106.20,105.88,106.20,000,106.20
2012-04-27,106.51,106.51,105.88,105.88,000,105.88
2012-04-26,105.80,106.13,105.80,105.80,000,105.80
2012-04-24,106.17,106.48,106.12,106.12,000,106.12
2012-04-23,105.83,106.80,105.83,106.48,000,106.48
2012-04-20,106.11,106.11,105.80,105.80,000,105.80
2012-04-19,106.44,107.03,106.42,106.42,000,106.42
2012-04-18,106.75,107.08,106.75,106.75,000,106.75
2012-04-17,106.75,106.75,106.43,106.43,000,106.43
2012-04-16,106.93,107.54,106.88,106.88,000,106.88
2012-04-13,106.33,107.00,106.33,107.00,000,107.00
2012-04-12,106.35,106.66,106.02,106.02,000,106.02
2012-04-11,106.28,106.65,106.28,106.65,000,106.65
2012-04-10,106.94,106.94,106.58,106.93,000,106.93
2012-04-05,106.28,106.93,105.58,106.88,000,106.88
2012-04-04,105.15,106.59,105.15,106.59,000,106.59
2012-04-03,105.41,105.41,105.10,105.10,000,105.10
2012-04-02,105.35,105.64,105.03,105.33,000,105.33
2012-03-30,105.15,105.47,105.15,105.47,000,105.47
2012-03-29,105.23,105.86,105.23,105.86,000,105.86
2012-03-28,105.53,105.53,105.53,105.53,000,105.53
2012-03-27,104.91,105.25,104.88,105.20,000,105.20
2012-03-26,105.61,105.89,105.22,105.22,000,105.22
2012-03-23,105.63,105.64,105.30,105.64,000,105.64
2012-03-21,105.73,106.02,105.40,106.02,000,106.02
2012-03-20,106.14,106.42,105.73,105.73,000,105.73
2012-03-19,106.15,106.46,105.53,105.84,000,105.84
2012-03-16,107.26,107.27,106.30,106.30,000,106.30
2012-03-15,106.91,106.91,106.91,106.91,000,106.91
2012-03-14,107.20,107.20,107.20,107.20,000,107.20
2012-03-13,106.69,107.02,106.35,106.55,000,106.55
2012-03-12,106.65,106.65,106.65,106.65,000,106.65
2012-03-08,105.98,105.98,105.28,105.28,000,105.28
2012-03-07,106.60,106.60,106.30,106.30,000,106.30
2012-03-06,106.35,106.65,106.03,106.65,000,106.65
2012-03-05,106.03,106.38,105.69,105.71,000,105.71
2012-03-02,105.52,106.23,105.52,106.23,000,106.23
2012-03-01,105.20,105.20,104.86,105.20,000,105.20
2012-02-29,104.56,104.89,104.56,104.89,000,104.89
2012-02-28,104.53,104.53,104.18,104.18,000,104.18
