Date,Open,High,Low,Close,Volume,Adj Close
2011-09-13,1233.00,1235.00,1233.00,1235.00,000,1235.00
2011-09-12,1247.00,1257.00,1233.00,1233.00,000,1233.00
2011-09-09,1230.50,1235.00,1230.50,1235.00,000,1235.00
2011-09-08,1231.50,1231.50,1231.50,1231.50,000,1231.50
2011-09-07,1232.50,1245.50,1231.50,1231.50,000,1231.50
2011-09-06,1233.50,1234.00,1233.50,1234.00,000,1234.00
2011-09-05,1234.00,1234.00,1234.00,1234.00,000,1234.00
2011-09-02,1230.50,1236.00,1229.50,1231.00,000,1231.00
2011-09-01,1230.50,1230.50,1230.00,1230.00,000,1230.00
2011-08-31,1230.50,1231.00,1230.00,1231.00,000,1231.00
2011-08-30,1231.00,1231.00,1230.50,1230.50,000,1230.50
2011-08-29,1228.00,1234.00,1222.00,1230.50,000,1230.50
2011-08-26,1230.50,1230.50,1230.00,1230.00,000,1230.00
2011-08-25,1230.50,1230.50,1230.00,1230.00,000,1230.00
2011-08-24,1230.50,1234.00,1230.00,1230.00,000,1230.00
2011-08-23,1229.50,1230.50,1229.50,1230.50,000,1230.50
2011-08-22,1222.00,1233.50,1222.00,1233.00,000,1233.00
2011-08-19,1229.50,1233.50,1229.50,1229.50,000,1229.50
2011-08-18,1234.00,1234.00,1227.00,1234.00,000,1234.00
2011-08-17,1232.00,1236.50,1228.00,1234.00,000,1234.00
2011-08-16,1222.00,1234.00,1222.00,1228.50,000,1228.50
2011-08-15,1232.00,1234.00,1220.00,1220.00,000,1220.00
2011-08-12,1235.50,1235.50,1234.00,1234.00,000,1234.00
2011-08-11,1234.00,1235.50,1234.00,1235.50,000,1235.50
2011-08-10,1234.00,1234.00,1226.00,1234.00,000,1234.00
2011-08-09,1234.00,1234.00,1234.00,1234.00,000,1234.00
2011-08-08,1233.50,1234.00,1218.00,1234.00,000,1234.00
2011-08-05,1244.00,1244.00,1234.00,1234.00,000,1234.00
2011-08-04,1234.00,1244.00,1230.00,1244.00,000,1244.00
2011-08-03,1230.00,1234.00,1222.00,1234.00,000,1234.00
2011-08-02,1228.00,1234.00,1228.00,1230.00,000,1230.00
2011-08-01,1218.00,1228.00,1218.00,1228.00,000,1228.00
2011-07-29,1230.50,1230.50,1229.50,1229.50,000,1229.50
2011-07-28,1228.00,1236.00,1228.00,1228.50,000,1228.50
2011-07-27,1225.00,1228.50,1224.50,1224.50,000,1224.50
2011-07-26,1225.00,1226.00,1224.00,1224.50,000,1224.50
2011-07-25,1238.00,1238.00,1234.00,1235.00,000,1235.00
2011-07-22,1236.50,1236.50,1234.00,1236.00,000,1236.00
2011-07-21,1230.50,1236.50,1226.00,1230.00,000,1230.00
2011-07-20,1229.50,1232.00,1229.50,1232.00,000,1232.00
