Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,516.00,516.00,516.00,516.00,000,516.00
2012-06-01,519.21,519.21,519.21,519.21,000,519.21
2012-05-31,518.13,518.13,518.13,518.13,000,518.13
2012-05-30,517.87,517.87,517.87,517.87,000,517.87
2012-05-29,512.56,512.56,512.56,512.56,000,512.56
2012-05-28,510.73,510.73,510.73,510.73,000,510.73
2012-05-25,510.73,510.73,510.73,510.73,000,510.73
2012-05-24,508.39,508.39,508.39,508.39,000,508.39
2012-05-23,511.51,511.51,511.51,511.51,000,511.51
2012-05-22,505.56,505.56,505.56,505.56,000,505.56
2012-05-21,505.82,505.82,505.82,505.82,000,505.82
2012-05-18,505.05,505.05,505.05,505.05,000,505.05
2012-05-17,505.05,505.05,505.05,505.05,000,505.05
2012-05-16,502.01,502.01,502.01,502.01,000,502.01
2012-05-14,492.85,492.85,492.85,492.85,000,492.85
2012-05-11,486.62,486.62,486.62,486.62,000,486.62
2012-05-10,487.09,487.09,487.09,487.09,000,487.09
2012-05-09,488.52,488.52,488.52,488.52,000,488.52
2012-05-08,485.67,485.67,485.67,485.67,000,485.67
2012-05-07,484.73,484.73,484.73,484.73,000,484.73
2012-05-04,482.86,482.86,482.86,482.86,000,482.86
2012-05-03,482.39,482.39,482.39,482.39,000,482.39
2012-05-02,484.50,484.50,484.50,484.50,000,484.50
2012-05-01,485.20,485.20,485.20,485.20,000,485.20
2012-04-30,484.97,484.97,484.97,484.97,000,484.97
2012-04-27,483.56,483.56,483.56,483.56,000,483.56
2012-04-26,485.20,485.20,485.20,485.20,000,485.20
2012-04-25,487.33,487.33,487.33,487.33,000,487.33
2012-04-24,488.28,488.28,488.28,488.28,000,488.28
2012-04-23,489.00,489.00,489.00,489.00,000,489.00
2012-04-20,486.38,486.38,486.38,486.38,000,486.38
2012-04-19,488.04,488.04,488.04,488.04,000,488.04
2012-04-18,488.52,488.52,488.52,488.52,000,488.52
2012-04-17,485.20,485.20,485.20,485.20,000,485.20
2012-04-16,488.76,488.76,488.76,488.76,000,488.76
2012-04-13,484.97,484.97,484.97,484.97,000,484.97
2012-04-12,481.93,481.93,481.93,481.93,000,481.93
2012-04-11,487.33,487.33,487.33,487.33,000,487.33
2012-04-10,489.00,489.00,489.00,489.00,000,489.00
2012-04-09,483.33,483.33,483.33,483.33,000,483.33
2012-04-06,484.26,484.26,484.26,484.26,000,484.26
2012-04-05,485.44,485.44,485.44,485.44,000,485.44
2012-04-04,484.26,484.26,484.26,484.26,000,484.26
2012-04-03,482.16,482.16,482.16,482.16,000,482.16
2012-04-02,483.33,483.33,483.33,483.33,000,483.33
2012-03-30,485.67,485.67,485.67,485.67,000,485.67
2012-03-29,488.52,488.52,488.52,488.52,000,488.52
2012-03-28,489.72,489.72,489.72,489.72,000,489.72
2012-03-27,486.85,486.85,486.85,486.85,000,486.85
2012-03-26,486.85,486.85,486.85,486.85,000,486.85
2012-03-23,489.24,489.24,489.24,489.24,000,489.24
2012-03-22,488.04,488.04,488.04,488.04,000,488.04
2012-03-21,485.44,485.44,485.44,485.44,000,485.44
2012-03-20,484.26,484.26,484.26,484.26,000,484.26
2012-03-19,483.09,483.09,483.09,483.09,000,483.09
2012-03-16,481.70,481.70,481.70,481.70,000,481.70
2012-03-15,482.63,482.63,482.63,482.63,000,482.63
2012-03-14,485.44,485.44,485.44,485.44,000,485.44
2012-03-13,486.38,486.38,486.38,486.38,000,486.38
2012-03-12,485.44,485.44,485.44,485.44,000,485.44
2012-03-08,485.67,485.67,485.67,485.67,000,485.67
2012-03-07,491.64,491.64,491.64,491.64,000,491.64
2012-03-06,491.88,491.88,491.88,491.88,000,491.88
2012-03-05,485.67,485.67,485.67,485.67,000,485.67
2012-03-02,484.26,484.26,484.26,484.26,000,484.26
2012-03-01,481.93,481.93,481.93,481.93,000,481.93
2012-02-29,477.78,477.78,477.78,477.78,000,477.78
2012-02-28,477.33,477.33,477.33,477.33,000,477.33
2012-02-27,481.46,481.46,481.46,481.46,000,481.46
2012-02-24,479.16,479.16,479.16,479.16,000,479.16
2012-02-23,481.00,481.00,481.00,481.00,000,481.00
2012-02-22,484.26,484.26,484.26,484.26,000,484.26
2012-02-21,481.70,481.70,481.70,481.70,000,481.70
2012-02-20,482.63,482.63,482.63,482.63,000,482.63
2012-02-17,484.26,484.26,484.26,484.26,000,484.26
2012-02-16,484.97,484.97,484.97,484.97,000,484.97
2012-02-15,484.97,484.97,484.97,484.97,000,484.97
2012-02-14,483.79,483.79,483.79,483.79,000,483.79
2012-02-13,480.08,480.08,480.08,480.08,000,480.08
2012-02-10,478.93,478.93,478.93,478.93,000,478.93
2012-02-09,478.24,478.24,478.24,478.24,000,478.24
2012-02-08,478.01,478.01,478.01,478.01,000,478.01
2012-02-07,478.93,478.93,478.93,478.93,000,478.93
2012-02-06,481.00,481.00,481.00,481.00,000,481.00
2012-02-03,478.24,478.24,478.24,478.24,000,478.24
2012-02-02,480.54,480.54,480.54,480.54,000,480.54
2012-02-01,487.57,487.57,487.57,487.57,000,487.57
2012-01-31,491.64,491.64,491.64,491.64,000,491.64
2012-01-30,490.20,490.20,490.20,490.20,000,490.20
2012-01-27,484.73,484.73,484.73,484.73,000,484.73
2012-01-26,485.91,485.91,485.91,485.91,000,485.91
2012-01-25,492.61,492.61,492.61,492.61,000,492.61
2012-01-24,493.34,493.34,493.34,493.34,000,493.34
2012-01-23,488.76,488.76,488.76,488.76,000,488.76
2012-01-20,492.61,492.61,492.61,492.61,000,492.61
2012-01-19,490.44,490.44,490.44,490.44,000,490.44
2012-01-18,496.52,496.52,496.52,496.52,000,496.52
2012-01-17,498.01,498.01,498.01,498.01,000,498.01
2012-01-16,500.75,500.75,500.75,500.75,000,500.75
2012-01-13,503.78,503.78,503.78,503.78,000,503.78
2012-01-12,500.25,500.25,500.25,500.25,000,500.25
2012-01-11,506.33,506.33,506.33,506.33,000,506.33
2012-01-10,508.65,508.65,508.65,508.65,000,508.65
2012-01-09,513.87,513.87,513.87,513.87,000,513.87
2012-01-06,510.73,510.73,510.73,510.73,000,510.73
2012-01-05,510.99,510.99,510.99,510.99,000,510.99
2012-01-04,510.99,510.99,510.99,510.99,000,510.99
2012-01-03,513.35,513.35,513.35,513.35,000,513.35
2012-01-02,518.67,518.67,518.67,518.67,000,518.67
2011-12-30,519.75,519.75,519.75,519.75,000,519.75
2011-12-29,520.83,520.83,520.83,520.83,000,520.83
2011-12-28,522.19,522.19,522.19,522.19,000,522.19
2011-12-27,522.47,522.47,522.47,522.47,000,522.47
2011-12-26,520.83,520.83,520.83,520.83,000,520.83
2011-12-23,520.29,520.29,520.29,520.29,000,520.29
2011-12-22,520.02,520.02,520.02,520.02,000,520.02
2011-12-21,522.47,522.47,522.47,522.47,000,522.47
2011-12-20,518.40,518.40,518.40,518.40,000,518.40
2011-12-19,520.83,520.83,520.83,520.83,000,520.83
2011-12-16,518.13,518.13,518.13,518.13,000,518.13
2011-12-15,518.67,518.67,518.67,518.67,000,518.67
2011-12-14,521.10,521.10,521.10,521.10,000,521.10
2011-12-13,515.46,515.46,515.46,515.46,000,515.46
2011-12-12,514.93,514.93,514.93,514.93,000,514.93
2011-12-09,510.20,510.20,510.20,510.20,000,510.20
2011-12-08,508.65,508.65,508.65,508.65,000,508.65
2011-12-07,508.39,508.39,508.39,508.39,000,508.39
2011-12-06,512.82,512.82,512.82,512.82,000,512.82
2011-12-05,513.61,513.61,513.61,513.61,000,513.61
2011-12-02,515.46,515.46,515.46,515.46,000,515.46
2011-12-01,516.26,516.26,516.26,516.26,000,516.26
2011-11-30,516.00,516.00,516.00,516.00,000,516.00
2011-11-29,524.38,524.38,524.38,524.38,000,524.38
2011-11-28,523.83,523.83,523.83,523.83,000,523.83
2011-11-25,527.43,527.43,527.43,527.43,000,527.43
2011-11-24,523.01,523.01,523.01,523.01,000,523.01
2011-11-23,525.21,525.21,525.21,525.21,000,525.21
2011-11-22,518.94,518.94,518.94,518.94,000,518.94
2011-11-21,517.87,517.87,517.87,517.87,000,517.87
2011-11-18,510.99,510.99,510.99,510.99,000,510.99
2011-11-17,509.94,509.94,509.94,509.94,000,509.94
2011-11-16,510.99,510.99,510.99,510.99,000,510.99
2011-11-15,509.42,509.42,509.42,509.42,000,509.42
2011-11-14,502.51,502.51,502.51,502.51,000,502.51
2011-11-11,499.75,499.75,499.75,499.75,000,499.75
2011-11-10,501.76,501.76,501.76,501.76,000,501.76
2011-11-09,500.00,500.00,500.00,500.00,000,500.00
2011-11-08,497.51,497.51,497.51,497.51,000,497.51
2011-11-07,500.50,500.50,500.50,500.50,000,500.50
2011-11-04,496.77,496.77,496.77,496.77,000,496.77
2011-11-03,494.32,494.32,494.32,494.32,000,494.32
2011-11-02,501.76,501.76,501.76,501.76,000,501.76
2011-11-01,490.20,490.20,490.20,490.20,000,490.20
2011-10-31,489.96,489.96,489.96,489.96,000,489.96
2011-10-28,489.96,489.96,489.96,489.96,000,489.96
2011-10-27,489.96,489.96,489.96,489.96,000,489.96
2011-10-26,501.25,501.25,501.25,501.25,000,501.25
2011-10-25,502.26,502.26,502.26,502.26,000,502.26
2011-10-24,505.56,505.56,505.56,505.56,000,505.56
2011-10-21,514.14,514.14,514.14,514.14,000,514.14
2011-10-20,518.40,518.40,518.40,518.40,000,518.40
2011-10-19,510.99,510.99,510.99,510.99,000,510.99
2011-10-18,509.94,509.94,509.94,509.94,000,509.94
2011-10-17,504.54,504.54,504.54,504.54,000,504.54
2011-10-14,499.25,499.25,499.25,499.25,000,499.25
2011-10-13,505.82,505.82,505.82,505.82,000,505.82
2011-10-12,502.51,502.51,502.51,502.51,000,502.51
2011-10-11,510.46,510.46,510.46,510.46,000,510.46
2011-10-10,517.06,517.06,517.06,517.06,000,517.06
2011-10-07,513.35,513.35,513.35,513.35,000,513.35
2011-10-06,523.56,523.56,523.56,523.56,000,523.56
2011-10-05,531.35,531.35,531.35,531.35,000,531.35
2011-10-04,533.33,533.33,533.33,533.33,000,533.33
2011-10-03,525.76,525.76,525.76,525.76,000,525.76
2011-09-30,523.56,523.56,523.56,523.56,000,523.56
2011-09-29,514.93,514.93,514.93,514.93,000,514.93
2011-09-28,508.13,508.13,508.13,508.13,000,508.13
2011-09-27,504.80,504.80,504.80,504.80,000,504.80
2011-09-26,512.56,512.56,512.56,512.56,000,512.56
2011-09-23,518.40,518.40,518.40,518.40,000,518.40
2011-09-22,522.19,522.19,522.19,522.19,000,522.19
2011-09-21,502.01,502.01,502.01,502.01,000,502.01
2011-09-20,489.72,489.72,489.72,489.72,000,489.72
2011-09-19,481.00,481.00,481.00,481.00,000,481.00
2011-09-16,481.00,481.00,481.00,481.00,000,481.00
2011-09-15,478.24,478.24,478.24,478.24,000,478.24
2011-09-14,477.55,477.55,477.55,477.55,000,477.55
2011-09-13,475.74,475.74,475.74,475.74,000,475.74
2011-09-12,475.96,475.96,475.96,475.96,000,475.96
2011-09-09,469.92,469.92,469.92,469.92,000,469.92
2011-09-08,462.96,462.96,462.96,462.96,000,462.96
2011-09-07,462.75,462.75,462.75,462.75,000,462.75
2011-09-06,464.04,464.04,464.04,464.04,000,464.04
2011-09-05,462.75,462.75,462.75,462.75,000,462.75
2011-09-02,460.19,460.19,460.19,460.19,000,460.19
2011-09-01,460.41,460.41,460.41,460.41,000,460.41
2011-08-31,463.18,463.18,463.18,463.18,000,463.18
2011-08-30,465.12,465.12,465.12,465.12,000,465.12
2011-08-29,465.12,465.12,465.12,465.12,000,465.12
2011-08-26,466.42,466.42,466.42,466.42,000,466.42
2011-08-25,467.07,467.07,467.07,467.07,000,467.07
2011-08-24,467.07,467.07,467.07,467.07,000,467.07
2011-08-23,467.51,467.51,467.51,467.51,000,467.51
2011-08-22,469.04,469.04,469.04,469.04,000,469.04
2011-08-19,468.38,468.38,468.38,468.38,000,468.38
2011-08-18,470.15,470.15,470.15,470.15,000,470.15
2011-08-17,472.14,472.14,472.14,472.14,000,472.14
2011-08-16,470.59,470.59,470.59,470.59,000,470.59
2011-08-15,466.20,466.20,466.20,466.20,000,466.20
2011-08-12,470.15,470.15,470.15,470.15,000,470.15
2011-08-11,472.59,472.59,472.59,472.59,000,472.59
2011-08-10,473.26,473.26,473.26,473.26,000,473.26
2011-08-09,473.71,473.71,473.71,473.71,000,473.71
2011-08-08,473.04,473.04,473.04,473.04,000,473.04
2011-08-05,467.29,467.29,467.29,467.29,000,467.29
2011-08-04,462.11,462.11,462.11,462.11,000,462.11
2011-08-03,459.56,459.56,459.56,459.56,000,459.56
2011-08-02,455.58,455.58,455.58,455.58,000,455.58
2011-08-01,459.35,459.35,459.35,459.35,000,459.35
2011-07-29,456.83,456.83,456.83,456.83,000,456.83
2011-07-28,455.37,455.37,455.37,455.37,000,455.37
2011-07-27,457.25,457.25,457.25,457.25,000,457.25
2011-07-26,458.72,458.72,458.72,458.72,000,458.72
2011-07-25,462.53,462.53,462.53,462.53,000,462.53
2011-07-22,461.25,461.25,461.25,461.25,000,461.25
2011-07-21,461.25,461.25,461.25,461.25,000,461.25
2011-07-20,462.75,462.75,462.75,462.75,000,462.75
2011-07-19,462.53,462.53,462.53,462.53,000,462.53
2011-07-18,463.82,463.82,463.82,463.82,000,463.82
2011-07-15,462.53,462.53,462.53,462.53,000,462.53
2011-07-14,462.32,462.32,462.32,462.32,000,462.32
2011-07-13,464.90,464.90,464.90,464.90,000,464.90
2011-07-12,467.07,467.07,467.07,467.07,000,467.07
2011-07-11,467.29,467.29,467.29,467.29,000,467.29
2011-07-08,462.53,462.53,462.53,462.53,000,462.53
2011-07-07,461.89,461.89,461.89,461.89,000,461.89
2011-07-06,464.90,464.90,464.90,464.90,000,464.90
2011-07-05,465.12,465.12,465.12,465.12,000,465.12
2011-07-04,465.55,465.55,465.55,465.55,000,465.55
2011-07-01,466.85,466.85,466.85,466.85,000,466.85
2011-06-30,470.15,470.15,470.15,470.15,000,470.15
2011-06-29,469.92,469.92,469.92,469.92,000,469.92
2011-06-28,473.04,473.04,473.04,473.04,000,473.04
2011-06-27,474.16,474.16,474.16,474.16,000,474.16
2011-06-24,475.29,475.29,475.29,475.29,000,475.29
2011-06-23,474.38,474.38,474.38,474.38,000,474.38
2011-06-22,471.70,471.70,471.70,471.70,000,471.70
2011-06-21,472.14,472.14,472.14,472.14,000,472.14
2011-06-20,472.81,472.81,472.81,472.81,000,472.81
2011-06-17,471.25,471.25,471.25,471.25,000,471.25
2011-06-16,470.81,470.81,470.81,470.81,000,470.81
2011-06-15,467.95,467.95,467.95,467.95,000,467.95
2011-06-14,466.20,466.20,466.20,466.20,000,466.20
2011-06-13,467.73,467.73,467.73,467.73,000,467.73
2011-06-10,467.95,467.95,467.95,467.95,000,467.95
2011-06-09,467.07,467.07,467.07,467.07,000,467.07
2011-06-08,467.29,467.29,467.29,467.29,000,467.29
2011-06-07,467.29,467.29,467.29,467.29,000,467.29
2011-06-06,468.16,468.16,468.16,468.16,000,468.16
2011-06-03,467.95,467.95,467.95,467.95,000,467.95
2011-06-02,467.51,467.51,467.51,467.51,000,467.51
2011-06-01,468.38,468.38,468.38,468.38,000,468.38
2011-05-31,464.90,464.90,464.90,464.90,000,464.90
2011-05-30,467.07,467.07,467.07,467.07,000,467.07
2011-05-27,468.38,468.38,468.38,468.38,000,468.38
2011-05-26,470.15,470.15,470.15,470.15,000,470.15
2011-05-25,471.48,471.48,471.48,471.48,000,471.48
2011-05-24,472.59,472.59,472.59,472.59,000,472.59
2011-05-23,473.26,473.26,473.26,473.26,000,473.26
2011-05-20,467.51,467.51,467.51,467.51,000,467.51
2011-05-19,468.60,468.60,468.60,468.60,000,468.60
2011-05-18,471.70,471.70,471.70,471.70,000,471.70
2011-05-17,473.93,473.93,473.93,473.93,000,473.93
2011-05-16,471.25,471.25,471.25,471.25,000,471.25
2011-05-13,468.60,468.60,468.60,468.60,000,468.60
2011-05-12,467.73,467.73,467.73,467.73,000,467.73
2011-05-11,468.82,468.82,468.82,468.82,000,468.82
2011-05-10,465.33,465.33,465.33,465.33,000,465.33
2011-05-09,467.73,467.73,467.73,467.73,000,467.73
2011-05-06,468.16,468.16,468.16,468.16,000,468.16
2011-05-05,469.04,469.04,469.04,469.04,000,469.04
2011-05-04,465.55,465.55,465.55,465.55,000,465.55
2011-05-03,461.25,461.25,461.25,461.25,000,461.25
2011-05-02,461.89,461.89,461.89,461.89,000,461.89
2011-04-29,460.62,460.62,460.62,460.62,000,460.62
2011-04-28,460.41,460.41,460.41,460.41,000,460.41
2011-04-27,462.32,462.32,462.32,462.32,000,462.32
2011-04-26,464.90,464.90,464.90,464.90,000,464.90
2011-04-25,471.25,471.25,471.25,471.25,000,471.25
2011-04-22,466.85,466.85,466.85,466.85,000,466.85
2011-04-21,466.64,466.64,466.64,466.64,000,466.64
2011-04-20,471.48,471.48,471.48,471.48,000,471.48
2011-04-19,474.16,474.16,474.16,474.16,000,474.16
2011-04-18,474.83,474.83,474.83,474.83,000,474.83
2011-04-15,472.37,472.37,472.37,472.37,000,472.37
2011-04-14,473.48,473.48,473.48,473.48,000,473.48
2011-04-13,472.14,472.14,472.14,472.14,000,472.14
2011-04-12,473.93,473.93,473.93,473.93,000,473.93
2011-04-11,471.03,471.03,471.03,471.03,000,471.03
2011-04-08,471.03,471.03,471.03,471.03,000,471.03
2011-04-07,473.26,473.26,473.26,473.26,000,473.26
2011-04-06,473.71,473.71,473.71,473.71,000,473.71
2011-04-05,473.93,473.93,473.93,473.93,000,473.93
2011-04-04,475.74,475.74,475.74,475.74,000,475.74
2011-04-01,476.64,476.64,476.64,476.64,000,476.64
2011-03-31,479.85,479.85,479.85,479.85,000,479.85
2011-03-30,481.93,481.93,481.93,481.93,000,481.93
2011-03-29,481.70,481.70,481.70,481.70,000,481.70
2011-03-28,480.54,480.54,480.54,480.54,000,480.54
2011-03-25,478.70,478.70,478.70,478.70,000,478.70
2011-03-24,480.54,480.54,480.54,480.54,000,480.54
2011-03-23,481.46,481.46,481.46,481.46,000,481.46
2011-03-22,482.16,482.16,482.16,482.16,000,482.16
2011-03-21,478.70,478.70,478.70,478.70,000,478.70
