Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,5.95,5.95,5.95,5.95,000,5.95
2012-06-01,5.98,5.98,5.98,5.98,000,5.98
2012-05-31,6.01,6.01,6.01,6.01,000,6.01
2012-05-30,6.01,6.01,6.01,6.01,000,6.01
2012-05-29,5.95,5.95,5.95,5.95,000,5.95
2012-05-28,5.92,5.92,5.92,5.92,000,5.92
2012-05-25,5.94,5.94,5.94,5.94,000,5.94
2012-05-24,5.93,5.93,5.93,5.93,000,5.93
2012-05-23,5.90,5.90,5.90,5.90,000,5.90
2012-05-22,5.86,5.86,5.86,5.86,000,5.86
2012-05-21,5.80,5.80,5.80,5.80,000,5.80
2012-05-18,5.84,5.84,5.84,5.84,000,5.84
2012-05-17,5.84,5.84,5.84,5.84,000,5.84
2012-05-16,5.84,5.84,5.84,5.84,000,5.84
2012-05-14,5.80,5.80,5.80,5.80,000,5.80
2012-05-11,5.76,5.76,5.76,5.76,000,5.76
2012-05-10,5.75,5.75,5.75,5.75,000,5.75
2012-05-09,5.75,5.75,5.75,5.75,000,5.75
2012-05-08,5.72,5.72,5.72,5.72,000,5.72
2012-05-07,5.69,5.69,5.69,5.69,000,5.69
2012-05-04,5.68,5.68,5.68,5.68,000,5.68
2012-05-03,5.65,5.65,5.65,5.65,000,5.65
2012-05-02,5.66,5.66,5.66,5.66,000,5.66
2012-05-01,5.62,5.62,5.62,5.62,000,5.62
2012-04-30,5.62,5.62,5.62,5.62,000,5.62
2012-04-27,5.61,5.61,5.61,5.61,000,5.61
2012-04-26,5.64,5.64,5.64,5.64,000,5.64
2012-04-25,5.63,5.63,5.63,5.63,000,5.63
2012-04-24,5.64,5.64,5.64,5.64,000,5.64
2012-04-23,5.65,5.65,5.65,5.65,000,5.65
2012-04-20,5.63,5.63,5.63,5.63,000,5.63
2012-04-19,5.66,5.66,5.66,5.66,000,5.66
2012-04-18,5.67,5.67,5.67,5.67,000,5.67
2012-04-17,5.67,5.67,5.67,5.67,000,5.67
2012-04-16,5.66,5.66,5.66,5.66,000,5.66
2012-04-13,5.69,5.69,5.69,5.69,000,5.69
2012-04-12,5.64,5.64,5.64,5.64,000,5.64
2012-04-11,5.67,5.67,5.67,5.67,000,5.67
2012-04-10,5.69,5.69,5.69,5.69,000,5.69
2012-04-09,5.68,5.68,5.68,5.68,000,5.68
2012-04-06,5.68,5.68,5.68,5.68,000,5.68
2012-04-05,5.70,5.70,5.70,5.70,000,5.70
2012-04-04,5.66,5.66,5.66,5.66,000,5.66
2012-04-03,5.62,5.62,5.62,5.62,000,5.62
2012-04-02,5.59,5.59,5.59,5.59,000,5.59
2012-03-30,5.58,5.58,5.58,5.58,000,5.58
2012-03-29,5.59,5.59,5.59,5.59,000,5.59
2012-03-28,5.59,5.59,5.59,5.59,000,5.59
2012-03-27,5.58,5.58,5.58,5.58,000,5.58
2012-03-26,5.57,5.57,5.57,5.57,000,5.57
2012-03-23,5.60,5.60,5.60,5.60,000,5.60
2012-03-22,5.63,5.63,5.63,5.63,000,5.63
2012-03-21,5.63,5.63,5.63,5.63,000,5.63
2012-03-20,5.62,5.62,5.62,5.62,000,5.62
2012-03-19,5.62,5.62,5.62,5.62,000,5.62
2012-03-16,5.64,5.64,5.64,5.64,000,5.64
2012-03-15,5.68,5.68,5.68,5.68,000,5.68
2012-03-14,5.71,5.71,5.71,5.71,000,5.71
2012-03-13,5.69,5.69,5.69,5.69,000,5.69
