Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,39.15,39.15,39.15,39.15,000,39.15
2012-06-01,39.13,39.13,39.13,39.13,000,39.13
2012-05-31,39.15,39.15,39.15,39.15,000,39.15
2012-05-30,39.13,39.13,39.13,39.13,000,39.13
2012-05-29,39.05,39.05,39.05,39.05,000,39.05
2012-05-28,38.98,38.98,38.98,38.98,000,38.98
2012-05-25,39.00,39.00,39.00,39.00,000,39.00
2012-05-24,39.05,39.05,39.05,39.05,000,39.05
2012-05-23,39.15,39.15,39.15,39.15,000,39.15
2012-05-22,39.15,39.15,39.15,39.15,000,39.15
2012-05-21,39.10,39.10,39.10,39.10,000,39.10
2012-05-18,39.10,39.10,39.10,39.10,000,39.10
2012-05-17,39.15,39.15,39.15,39.15,000,39.15
2012-05-16,39.13,39.13,39.13,39.13,000,39.13
2012-05-14,39.10,39.10,39.10,39.10,000,39.10
2012-05-11,39.10,39.10,39.10,39.10,000,39.10
2012-05-10,39.07,39.07,39.07,39.07,000,39.07
2012-05-09,39.10,39.10,39.10,39.10,000,39.10
2012-05-08,38.98,38.98,38.98,38.98,000,38.98
2012-05-07,39.00,39.00,39.00,39.00,000,39.00
2012-05-04,39.05,39.05,39.05,39.05,000,39.05
2012-05-03,39.07,39.07,39.07,39.07,000,39.07
2012-05-02,39.00,39.00,39.00,39.00,000,39.00
2012-05-01,39.00,39.00,39.00,39.00,000,39.00
2012-04-30,39.00,39.00,39.00,39.00,000,39.00
2012-04-27,39.07,39.07,39.07,39.07,000,39.07
2012-04-26,39.05,39.05,39.05,39.05,000,39.05
2012-04-25,39.05,39.05,39.05,39.05,000,39.05
2012-04-24,39.07,39.07,39.07,39.07,000,39.07
2012-04-23,39.05,39.05,39.05,39.05,000,39.05
2012-04-20,39.02,39.02,39.02,39.02,000,39.02
2012-04-19,39.02,39.02,39.02,39.02,000,39.02
2012-04-18,39.02,39.02,39.02,39.02,000,39.02
2012-04-17,39.05,39.05,39.05,39.05,000,39.05
2012-04-16,39.05,39.05,39.05,39.05,000,39.05
2012-04-13,39.05,39.05,39.05,39.05,000,39.05
2012-04-12,39.05,39.05,39.05,39.05,000,39.05
2012-04-11,38.98,38.98,38.98,38.98,000,38.98
2012-04-10,39.05,39.05,39.05,39.05,000,39.05
2012-04-09,39.05,39.05,39.05,39.05,000,39.05
2012-04-06,39.05,39.05,39.05,39.05,000,39.05
2012-04-05,39.05,39.05,39.05,39.05,000,39.05
2012-04-04,39.00,39.00,39.00,39.00,000,39.00
2012-04-03,39.00,39.00,39.00,39.00,000,39.00
2012-04-02,38.96,38.96,38.96,38.96,000,38.96
2012-03-30,38.98,38.98,38.98,38.98,000,38.98
2012-03-29,39.02,39.02,39.02,39.02,000,39.02
2012-03-28,39.02,39.02,39.02,39.02,000,39.02
2012-03-27,39.02,39.02,39.02,39.02,000,39.02
2012-03-26,39.00,39.00,39.00,39.00,000,39.00
2012-03-23,39.02,39.02,39.02,39.02,000,39.02
2012-03-22,39.05,39.05,39.05,39.05,000,39.05
2012-03-21,39.00,39.00,39.00,39.00,000,39.00
2012-03-20,38.95,38.95,38.95,38.95,000,38.95
2012-03-19,39.02,39.02,39.02,39.02,000,39.02
2012-03-16,39.02,39.02,39.02,39.02,000,39.02
2012-03-15,39.00,39.00,39.00,39.00,000,39.00
2012-03-14,39.02,39.02,39.02,39.02,000,39.02
2012-03-13,39.00,39.00,39.00,39.00,000,39.00
2012-03-12,39.02,39.02,39.02,39.02,000,39.02
2012-03-08,39.00,39.00,39.00,39.00,000,39.00
2012-03-07,39.05,39.05,39.05,39.05,000,39.05
2012-03-06,39.00,39.00,39.00,39.00,000,39.00
2012-03-05,38.98,38.98,38.98,38.98,000,38.98
2012-03-02,39.02,39.02,39.02,39.02,000,39.02
2012-03-01,38.96,38.96,38.96,38.96,000,38.96
2012-02-29,39.00,39.00,39.00,39.00,000,39.00
2012-02-28,39.00,39.00,39.00,39.00,000,39.00
2012-02-27,39.00,39.00,39.00,39.00,000,39.00
2012-02-24,38.98,38.98,38.98,38.98,000,38.98
2012-02-23,39.00,39.00,39.00,39.00,000,39.00
2012-02-22,38.98,38.98,38.98,38.98,000,38.98
2012-02-21,38.95,38.95,38.95,38.95,000,38.95
2012-02-20,39.00,39.00,39.00,39.00,000,39.00
2012-02-17,38.90,38.90,38.90,38.90,000,38.90
2012-02-16,38.95,38.95,38.95,38.95,000,38.95
2012-02-15,38.95,38.95,38.95,38.95,000,38.95
2012-02-14,38.95,38.95,38.95,38.95,000,38.95
2012-02-13,38.95,38.95,38.95,38.95,000,38.95
2012-02-10,38.90,38.90,38.90,38.90,000,38.90
2012-02-09,38.88,38.88,38.88,38.88,000,38.88
2012-02-08,38.90,38.90,38.90,38.90,000,38.90
2012-02-07,38.85,38.85,38.85,38.85,000,38.85
2012-02-06,38.95,38.95,38.95,38.95,000,38.95
2012-02-03,38.88,38.88,38.88,38.88,000,38.88
2012-02-02,38.90,38.90,38.90,38.90,000,38.90
2012-02-01,38.90,38.90,38.90,38.90,000,38.90
2012-01-31,38.90,38.90,38.90,38.90,000,38.90
2012-01-30,38.90,38.90,38.90,38.90,000,38.90
2012-01-27,38.88,38.88,38.88,38.88,000,38.88
2012-01-26,38.93,38.93,38.93,38.93,000,38.93
2012-01-25,38.85,38.85,38.85,38.85,000,38.85
2012-01-24,38.90,38.90,38.90,38.90,000,38.90
2012-01-23,38.90,38.90,38.90,38.90,000,38.90
2012-01-20,38.90,38.90,38.90,38.90,000,38.90
