Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,6.04,6.04,6.04,6.04,000,6.04
2012-06-01,6.04,6.04,6.04,6.04,000,6.04
2012-05-31,6.05,6.05,6.05,6.05,000,6.05
2012-05-30,6.05,6.05,6.05,6.05,000,6.05
2012-05-29,6.04,6.04,6.04,6.04,000,6.04
2012-05-28,6.03,6.03,6.03,6.03,000,6.03
2012-05-25,6.04,6.04,6.04,6.04,000,6.04
2012-05-24,6.04,6.04,6.04,6.04,000,6.04
2012-05-23,6.04,6.04,6.04,6.04,000,6.04
2012-05-22,6.04,6.04,6.04,6.04,000,6.04
2012-05-21,6.05,6.05,6.05,6.05,000,6.05
2012-05-18,6.05,6.05,6.05,6.05,000,6.05
2012-05-17,6.05,6.05,6.05,6.05,000,6.05
2012-05-16,6.04,6.04,6.04,6.04,000,6.04
2012-05-14,6.03,6.03,6.03,6.03,000,6.03
2012-05-11,6.04,6.04,6.04,6.04,000,6.04
2012-05-10,6.04,6.04,6.04,6.04,000,6.04
2012-05-09,6.04,6.04,6.04,6.04,000,6.04
2012-05-08,6.04,6.04,6.04,6.04,000,6.04
2012-05-07,6.04,6.04,6.04,6.04,000,6.04
2012-05-04,6.05,6.05,6.05,6.05,000,6.05
2012-05-03,6.04,6.04,6.04,6.04,000,6.04
2012-05-02,6.05,6.05,6.05,6.05,000,6.05
2012-05-01,6.04,6.04,6.04,6.04,000,6.04
2012-04-30,6.04,6.04,6.04,6.04,000,6.04
2012-04-27,6.05,6.05,6.05,6.05,000,6.05
2012-04-26,6.05,6.05,6.05,6.05,000,6.05
2012-04-25,6.05,6.05,6.05,6.05,000,6.05
2012-04-24,6.05,6.05,6.05,6.05,000,6.05
2012-04-23,6.04,6.04,6.04,6.04,000,6.04
2012-04-20,6.05,6.05,6.05,6.05,000,6.05
2012-04-19,6.05,6.05,6.05,6.05,000,6.05
2012-04-18,6.05,6.05,6.05,6.05,000,6.05
2012-04-17,6.04,6.04,6.04,6.04,000,6.04
2012-04-16,6.05,6.05,6.05,6.05,000,6.05
2012-04-13,6.04,6.04,6.04,6.04,000,6.04
2012-04-12,6.04,6.04,6.04,6.04,000,6.04
2012-04-11,6.04,6.04,6.04,6.04,000,6.04
2012-04-10,6.04,6.04,6.04,6.04,000,6.04
2012-04-09,6.04,6.04,6.04,6.04,000,6.04
2012-04-06,6.04,6.04,6.04,6.04,000,6.04
2012-04-05,6.04,6.04,6.04,6.04,000,6.04
2012-04-04,6.04,6.04,6.04,6.04,000,6.04
2012-04-03,6.04,6.04,6.04,6.04,000,6.04
2012-04-02,6.04,6.04,6.04,6.04,000,6.04
2012-03-30,6.04,6.04,6.04,6.04,000,6.04
2012-03-29,6.04,6.04,6.04,6.04,000,6.04
2012-03-28,6.04,6.04,6.04,6.04,000,6.04
2012-03-27,6.04,6.04,6.04,6.04,000,6.04
2012-03-26,6.04,6.04,6.04,6.04,000,6.04
2012-03-23,6.04,6.04,6.04,6.04,000,6.04
2012-03-22,6.04,6.04,6.04,6.04,000,6.04
2012-03-21,6.04,6.04,6.04,6.04,000,6.04
2012-03-20,6.04,6.04,6.04,6.04,000,6.04
2012-03-19,6.03,6.03,6.03,6.03,000,6.03
2012-03-16,6.04,6.04,6.04,6.04,000,6.04
2012-03-15,6.03,6.03,6.03,6.03,000,6.03
2012-03-14,6.03,6.03,6.03,6.03,000,6.03
2012-03-13,6.03,6.03,6.03,6.03,000,6.03
2012-03-12,6.04,6.04,6.04,6.04,000,6.04
2012-03-08,6.03,6.03,6.03,6.03,000,6.03
2012-03-07,6.04,6.04,6.04,6.04,000,6.04
2012-03-06,6.03,6.03,6.03,6.03,000,6.03
2012-03-05,6.03,6.03,6.03,6.03,000,6.03
2012-03-02,6.03,6.03,6.03,6.03,000,6.03
2012-03-01,6.04,6.04,6.04,6.04,000,6.04
2012-02-29,6.04,6.04,6.04,6.04,000,6.04
2012-02-28,6.03,6.03,6.03,6.03,000,6.03
2012-02-27,6.04,6.04,6.04,6.04,000,6.04
2012-02-24,6.04,6.04,6.04,6.04,000,6.04
2012-02-23,6.04,6.04,6.04,6.04,000,6.04
2012-02-22,6.04,6.04,6.04,6.04,000,6.04
2012-02-21,6.04,6.04,6.04,6.04,000,6.04
2012-02-20,6.04,6.04,6.04,6.04,000,6.04
2012-02-17,6.04,6.04,6.04,6.04,000,6.04
2012-02-16,6.04,6.04,6.04,6.04,000,6.04
2012-02-15,6.04,6.04,6.04,6.04,000,6.04
2012-02-14,6.04,6.04,6.04,6.04,000,6.04
2012-02-13,6.04,6.04,6.04,6.04,000,6.04
2012-02-10,6.03,6.03,6.03,6.03,000,6.03
2012-02-09,6.03,6.03,6.03,6.03,000,6.03
2012-02-08,6.04,6.04,6.04,6.04,000,6.04
2012-02-07,6.03,6.03,6.03,6.03,000,6.03
2012-02-06,6.03,6.03,6.03,6.03,000,6.03
2012-02-03,6.04,6.04,6.04,6.04,000,6.04
2012-02-02,6.03,6.03,6.03,6.03,000,6.03
2012-02-01,6.03,6.03,6.03,6.03,000,6.03
2012-01-31,6.03,6.03,6.03,6.03,000,6.03
2012-01-30,6.03,6.03,6.03,6.03,000,6.03
2012-01-27,6.04,6.04,6.04,6.04,000,6.04
2012-01-26,6.05,6.05,6.05,6.05,000,6.05
2012-01-25,6.04,6.04,6.04,6.04,000,6.04
2012-01-24,6.04,6.04,6.04,6.04,000,6.04
2012-01-23,6.04,6.04,6.04,6.04,000,6.04
2012-01-20,6.05,6.05,6.05,6.05,000,6.05
2012-01-19,6.04,6.04,6.04,6.04,000,6.04
2012-01-18,6.04,6.04,6.04,6.04,000,6.04
2012-01-17,6.04,6.04,6.04,6.04,000,6.04
2012-01-16,6.04,6.04,6.04,6.04,000,6.04
2012-01-13,6.04,6.04,6.04,6.04,000,6.04
2012-01-12,6.04,6.04,6.04,6.04,000,6.04
2012-01-11,6.04,6.04,6.04,6.04,000,6.04
2012-01-10,6.04,6.04,6.04,6.04,000,6.04
2012-01-09,6.04,6.04,6.04,6.04,000,6.04
2012-01-06,6.03,6.03,6.03,6.03,000,6.03
2012-01-05,6.03,6.03,6.03,6.03,000,6.03
2012-01-04,6.03,6.03,6.03,6.03,000,6.03
2012-01-03,6.03,6.03,6.03,6.03,000,6.03
2012-01-02,6.03,6.03,6.03,6.03,000,6.03
2011-12-30,6.03,6.03,6.03,6.03,000,6.03
2011-12-29,6.03,6.03,6.03,6.03,000,6.03
2011-12-28,6.03,6.03,6.03,6.03,000,6.03
2011-12-27,6.03,6.03,6.03,6.03,000,6.03
2011-12-26,6.03,6.03,6.03,6.03,000,6.03
2011-12-23,6.03,6.03,6.03,6.03,000,6.03
2011-12-22,6.02,6.02,6.02,6.02,000,6.02
2011-12-21,6.02,6.02,6.02,6.02,000,6.02
2011-12-20,6.02,6.02,6.02,6.02,000,6.02
2011-12-19,6.02,6.02,6.02,6.02,000,6.02
2011-12-16,6.02,6.02,6.02,6.02,000,6.02
2011-12-15,6.02,6.02,6.02,6.02,000,6.02
2011-12-14,6.01,6.01,6.01,6.01,000,6.01
2011-12-13,6.05,6.05,6.05,6.05,000,6.05
