Date,Open,High,Low,Close,Volume,Adj Close
2011-09-13,17.13,17.14,17.13,17.14,000,17.14
2011-09-12,17.31,17.45,17.13,17.13,000,17.13
2011-09-09,17.14,17.14,17.14,17.14,000,17.14
2011-09-08,17.11,17.14,17.11,17.14,000,17.14
2011-09-07,17.12,17.28,17.11,17.11,000,17.11
2011-09-06,17.12,17.12,17.12,17.12,000,17.12
2011-09-05,17.18,17.18,17.12,17.12,000,17.12
2011-09-02,17.12,17.14,17.11,17.11,000,17.11
2011-09-01,17.11,17.12,17.11,17.12,000,17.12
2011-08-31,17.11,17.11,17.08,17.11,000,17.11
2011-08-30,17.11,17.11,17.11,17.11,000,17.11
2011-08-29,17.08,17.11,16.98,17.11,000,17.11
2011-08-26,17.11,17.11,17.11,17.11,000,17.11
2011-08-25,17.10,17.11,17.10,17.11,000,17.11
2011-08-24,17.10,17.10,17.10,17.10,000,17.10
2011-08-23,17.10,17.10,17.10,17.10,000,17.10
2011-08-22,16.99,17.10,16.99,17.10,000,17.10
2011-08-19,17.09,17.09,17.09,17.09,000,17.09
2011-08-18,17.10,17.10,17.09,17.09,000,17.09
2011-08-17,17.05,17.11,16.99,17.11,000,17.11
2011-08-16,16.91,17.08,16.91,17.01,000,17.01
2011-08-15,17.07,17.08,16.89,16.89,000,16.89
2011-08-12,17.09,17.09,17.07,17.07,000,17.07
2011-08-11,17.08,17.09,17.08,17.09,000,17.09
2011-08-10,17.07,17.08,16.97,17.08,000,17.08
2011-08-09,17.08,17.08,17.07,17.07,000,17.07
2011-08-08,17.07,17.08,16.85,17.08,000,17.08
2011-08-05,17.19,17.19,17.06,17.06,000,17.06
2011-08-04,17.07,17.19,17.01,17.19,000,17.19
2011-08-03,17.01,17.08,16.91,17.07,000,17.07
2011-08-02,17.05,17.06,16.99,17.01,000,17.01
2011-08-01,16.88,17.05,16.88,17.05,000,17.05
2011-07-29,17.06,17.06,17.05,17.05,000,17.05
2011-07-28,17.04,17.19,17.04,17.06,000,17.06
2011-07-27,17.04,17.04,17.04,17.04,000,17.04
2011-07-26,17.04,17.04,16.89,17.04,000,17.04
2011-07-25,17.08,17.08,17.04,17.04,000,17.04
2011-07-22,17.04,17.07,17.04,17.07,000,17.07
2011-07-21,17.06,17.06,16.98,17.04,000,17.04
2011-07-20,17.02,17.06,17.02,17.06,000,17.06
2011-07-19,17.00,17.02,17.00,17.02,000,17.02
2011-07-18,17.01,17.01,17.00,17.00,000,17.00
2011-07-15,17.01,17.02,17.01,17.02,000,17.02
2011-07-14,17.02,17.02,17.01,17.01,000,17.01
2011-07-13,17.01,17.02,17.01,17.02,000,17.02
2011-07-12,17.02,17.23,17.01,17.01,000,17.01
2011-07-11,17.02,17.15,17.02,17.02,000,17.02
2011-07-08,17.01,17.01,17.01,17.01,000,17.01
2011-07-07,17.01,17.01,17.01,17.01,000,17.01
2011-07-06,17.00,17.01,17.00,17.01,000,17.01
2011-07-05,17.00,17.00,17.00,17.00,000,17.00
2011-07-04,16.94,17.00,16.94,17.00,000,17.00
2011-07-01,16.94,16.99,16.93,16.99,000,16.99
2011-06-30,16.98,16.99,16.94,16.99,000,16.99
2011-06-29,16.99,16.99,16.98,16.98,000,16.98
2011-06-28,16.92,16.99,16.92,16.99,000,16.99
2011-06-27,16.98,17.05,16.92,16.98,000,16.98
2011-06-24,16.96,16.99,16.95,16.95,000,16.95
2011-06-23,16.97,16.97,16.96,16.96,000,16.96
2011-06-22,16.97,16.97,16.97,16.97,000,16.97
2011-06-21,16.97,16.97,16.82,16.97,000,16.97
2011-06-20,16.94,17.03,16.94,16.97,000,16.97
2011-06-17,16.94,16.97,16.94,16.97,000,16.97
2011-06-16,16.95,16.95,16.94,16.94,000,16.94
2011-06-15,16.95,16.97,16.95,16.95,000,16.95
2011-06-14,16.95,16.95,16.87,16.95,000,16.95
2011-06-13,17.06,17.09,16.95,16.95,000,16.95
2011-06-10,16.95,17.07,16.94,16.94,000,16.94
2011-06-09,16.94,16.95,16.92,16.95,000,16.95
2011-06-08,16.88,16.94,16.88,16.94,000,16.94
2011-06-07,16.87,16.88,16.87,16.88,000,16.88
2011-06-06,16.71,16.87,16.71,16.87,000,16.87
2011-06-03,16.88,16.88,16.88,16.88,000,16.88
2011-06-02,16.88,16.90,16.88,16.88,000,16.88
2011-06-01,16.88,16.88,16.88,16.88,000,16.88
2011-05-31,16.88,16.88,16.88,16.88,000,16.88
2011-05-30,16.78,16.88,16.78,16.88,000,16.88
2011-05-27,16.88,16.88,16.88,16.88,000,16.88
2011-05-26,16.88,16.88,16.88,16.88,000,16.88
2011-05-25,16.88,16.96,16.88,16.88,000,16.88
2011-05-24,16.88,16.88,16.88,16.88,000,16.88
2011-05-23,16.98,16.98,16.88,16.88,000,16.88
2011-05-20,16.88,16.88,16.82,16.87,000,16.87
2011-05-19,16.88,16.88,16.86,16.88,000,16.88
2011-05-18,16.87,16.88,16.80,16.88,000,16.88
2011-05-17,16.88,16.88,16.87,16.88,000,16.88
2011-05-16,17.08,17.08,16.88,16.88,000,16.88
2011-05-13,16.87,16.88,16.87,16.88,000,16.88
2011-05-12,16.88,16.88,16.87,16.87,000,16.87
2011-05-11,16.86,16.88,16.86,16.88,000,16.88
2011-05-10,16.86,16.86,16.86,16.86,000,16.86
2011-05-09,17.10,17.10,16.86,16.86,000,16.86
2011-05-06,16.87,17.17,16.87,16.87,000,16.87
2011-05-05,16.87,16.87,16.87,16.87,000,16.87
2011-05-04,16.86,16.87,16.82,16.87,000,16.87
2011-05-03,16.86,16.93,16.86,16.86,000,16.86
2011-05-02,16.92,16.92,16.86,16.86,000,16.86
2011-04-29,16.86,16.86,16.83,16.86,000,16.86
2011-04-28,16.86,16.86,16.66,16.86,000,16.86
2011-04-27,16.86,16.86,16.78,16.86,000,16.86
2011-04-26,16.91,16.91,16.85,16.86,000,16.86
2011-04-25,16.91,16.91,16.91,16.91,000,16.91
2011-04-22,16.86,16.86,16.86,16.86,000,16.86
2011-04-21,16.85,16.86,16.75,16.86,000,16.86
2011-04-20,16.84,16.85,16.84,16.85,000,16.85
2011-04-19,16.83,16.84,16.83,16.84,000,16.84
2011-04-18,16.86,16.86,16.83,16.83,000,16.83
2011-04-15,16.85,16.85,16.76,16.83,000,16.83
2011-04-14,16.83,16.85,16.83,16.85,000,16.85
2011-04-13,16.80,16.83,16.80,16.83,000,16.83
2011-04-12,16.83,16.90,16.80,16.83,000,16.83
2011-04-11,16.82,16.83,16.82,16.83,000,16.83
2011-04-08,16.80,16.82,16.68,16.82,000,16.82
2011-04-07,16.81,16.84,16.80,16.80,000,16.80
2011-04-06,16.81,16.81,16.81,16.81,000,16.81
2011-04-05,16.81,16.81,16.81,16.81,000,16.81
2007-11-21,8.88,8.88,8.88,8.88,000,8.88
2007-11-20,9.09,9.10,9.09,8.88,000,8.88
2007-11-15,8.88,8.88,8.88,8.88,000,8.88
2007-11-14,9.09,9.10,9.09,8.88,000,8.88
2007-11-12,8.88,8.88,8.88,8.88,000,8.88
2007-11-09,9.09,9.10,9.09,8.88,000,8.88
2007-11-08,8.88,8.88,8.88,8.88,000,8.88
2007-11-07,9.09,9.10,9.09,8.88,000,8.88
2007-11-01,8.88,8.88,8.88,8.88,000,8.88
2007-10-31,8.88,8.88,8.88,8.88,000,8.88
2007-10-30,9.09,9.10,9.09,8.88,000,8.88
2007-10-08,8.88,8.88,8.88,8.88,000,8.88
