Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,1.89,1.89,1.88,1.89,000,1.89
2012-06-01,1.88,1.88,1.88,1.88,000,1.88
2012-05-31,1.90,1.90,1.88,1.88,000,1.88
2012-05-29,1.90,1.90,1.88,1.90,000,1.90
2012-05-25,1.89,1.89,1.89,1.89,000,1.89
2012-05-24,1.89,1.89,1.89,1.89,000,1.89
2012-05-23,1.88,1.90,1.88,1.88,000,1.88
2012-05-22,1.89,1.89,1.89,1.89,000,1.89
2012-05-21,1.90,1.90,1.90,1.90,000,1.90
2012-05-16,1.90,1.90,1.90,1.90,000,1.90
2012-05-15,1.90,1.90,1.90,1.90,000,1.90
2012-05-14,1.89,1.89,1.89,1.89,000,1.89
2012-05-11,1.89,1.89,1.89,1.89,000,1.89
2012-05-10,1.88,1.88,1.88,1.88,000,1.88
2012-05-07,1.87,1.87,1.86,1.87,000,1.87
2012-05-04,1.86,1.87,1.86,1.87,000,1.87
2012-05-03,1.85,1.86,1.85,1.86,000,1.86
2012-05-02,1.86,1.86,1.86,1.86,000,1.86
2012-05-01,1.86,1.86,1.86,1.86,000,1.86
2012-04-30,1.86,1.86,1.86,1.86,000,1.86
2012-04-19,1.82,1.82,1.82,1.82,000,1.82
2012-04-18,1.80,1.80,1.79,1.79,000,1.79
2012-04-17,1.80,1.80,1.79,1.80,000,1.80
2012-04-16,1.79,1.80,1.79,1.79,000,1.79
2012-04-11,1.71,1.71,1.71,1.71,000,1.71
2012-04-10,1.77,1.77,1.77,1.77,000,1.77
2012-04-09,1.79,1.79,1.71,1.79,000,1.79
2012-04-06,1.79,1.79,1.79,1.79,000,1.79
2012-04-05,1.79,1.79,1.71,1.71,000,1.71
2012-04-04,1.77,1.77,1.71,1.71,000,1.71
2012-04-03,1.77,1.77,1.71,1.71,000,1.71
2012-04-02,1.78,1.78,1.78,1.78,000,1.78
2012-03-30,1.77,1.77,1.77,1.77,000,1.77
2012-03-29,1.77,1.77,1.77,1.77,000,1.77
2012-03-28,1.78,1.78,1.77,1.77,000,1.77
2012-03-23,1.75,1.75,1.75,1.75,000,1.75
2012-03-22,1.78,1.78,1.77,1.75,000,1.75
2012-03-20,1.76,1.76,1.75,1.75,000,1.75
2012-03-16,1.73,1.73,1.73,1.73,000,1.73
2012-03-15,1.72,1.72,1.71,1.71,000,1.71
2012-03-12,1.73,1.73,1.71,1.73,000,1.73
2012-03-08,1.71,1.71,1.71,1.71,000,1.71
2012-03-07,1.68,1.72,1.68,1.72,000,1.72
2012-03-06,1.68,1.68,1.68,1.68,000,1.68
2012-03-05,1.68,1.71,1.68,1.71,000,1.71
2012-03-02,1.68,1.68,1.68,1.68,000,1.68
2012-03-01,1.68,1.71,1.68,1.71,000,1.71
2012-02-29,1.71,1.71,1.68,1.71,000,1.71
2012-02-28,1.68,1.68,1.68,1.68,000,1.68
2012-02-27,1.68,1.71,1.68,1.71,000,1.71
2012-02-24,1.72,1.72,1.68,1.72,000,1.72
2012-02-23,1.71,1.71,1.68,1.71,000,1.71
2012-02-21,1.71,1.71,1.68,1.71,000,1.71
2012-02-17,1.68,1.71,1.68,1.68,000,1.68
2012-02-16,1.68,1.68,1.68,1.68,000,1.68
2012-02-15,1.72,1.72,1.68,1.68,000,1.68
2012-02-14,1.71,1.71,1.68,1.71,000,1.71
2012-02-13,1.71,1.71,1.68,1.71,000,1.71
2012-02-10,1.68,1.71,1.68,1.68,000,1.68
2012-02-08,1.68,1.69,1.68,1.69,000,1.69
2012-02-07,1.69,1.69,1.68,1.68,000,1.68
2012-02-06,1.68,1.68,1.68,1.68,000,1.68
2012-02-03,1.68,1.68,1.68,1.68,000,1.68
2012-02-02,1.68,1.68,1.68,1.68,000,1.68
2012-02-01,1.68,1.68,1.68,1.68,000,1.68
