Date,Open,High,Low,Close,Volume,Adj Close
2012-06-01,42.47,42.47,42.47,42.47,000,42.47
2012-05-31,42.47,42.47,42.47,42.47,000,42.47
2012-05-25,42.47,42.47,42.47,42.47,000,42.47
2012-05-24,42.47,42.47,42.47,42.47,000,42.47
2012-05-23,42.47,42.47,42.47,42.47,000,42.47
2012-05-22,42.35,42.35,42.35,42.35,000,42.35
2012-05-21,42.45,42.45,42.45,42.45,000,42.45
2012-05-18,42.45,42.45,42.45,42.45,000,42.45
2012-05-17,42.45,42.45,42.45,42.45,000,42.45
2012-05-16,42.35,42.35,42.35,42.35,000,42.35
2012-05-15,42.35,42.35,42.35,42.35,000,42.35
2012-05-11,42.35,42.35,42.35,42.35,000,42.35
2012-05-10,42.35,42.35,42.35,42.35,000,42.35
2012-05-04,42.35,42.35,42.35,42.35,000,42.35
2012-05-03,42.35,42.35,42.35,42.35,000,42.35
2012-05-02,42.35,42.35,42.35,42.35,000,42.35
2012-05-01,42.35,42.35,42.35,42.35,000,42.35
2012-04-30,42.25,42.25,42.25,42.25,000,42.25
2012-04-19,41.50,41.50,41.50,41.50,000,41.50
2012-04-18,41.50,41.50,41.50,41.50,000,41.50
2012-04-10,41.85,41.85,41.85,41.85,000,41.85
2012-04-09,41.85,41.85,41.85,41.85,000,41.85
2012-04-06,41.85,41.85,41.85,41.85,000,41.85
2012-04-05,41.85,41.85,41.85,41.85,000,41.85
2012-04-04,41.85,41.85,41.85,41.85,000,41.85
2012-04-03,41.85,41.85,41.85,41.85,000,41.85
2012-04-02,41.50,41.50,41.50,41.50,000,41.50
2012-03-30,41.50,41.50,41.50,41.50,000,41.50
2012-03-29,41.50,41.50,41.50,41.50,000,41.50
2012-03-28,41.50,41.50,41.50,41.50,000,41.50
2012-03-23,41.50,41.50,41.50,41.50,000,41.50
2012-03-22,41.50,41.50,41.50,41.50,000,41.50
2012-03-20,41.50,41.50,41.50,41.50,000,41.50
2012-03-16,41.50,41.50,41.50,41.50,000,41.50
2012-03-15,41.50,41.50,41.50,41.50,000,41.50
2012-03-08,41.50,41.50,41.50,41.50,000,41.50
2012-03-07,41.50,41.50,41.50,41.50,000,41.50
2012-03-06,41.50,41.50,41.50,41.50,000,41.50
2012-03-05,41.50,41.50,41.50,41.50,000,41.50
2012-03-02,41.50,41.50,41.50,41.50,000,41.50
2012-03-01,41.50,41.50,41.50,41.50,000,41.50
2012-02-28,40.85,40.85,40.85,40.85,000,40.85
2012-02-27,40.85,40.85,40.85,40.85,000,40.85
2012-02-21,40.85,40.85,40.85,40.85,000,40.85
2012-02-20,40.85,40.85,40.85,40.85,000,40.85
2012-02-17,40.85,40.85,40.85,40.85,000,40.85
2012-02-16,40.85,40.85,40.85,40.85,000,40.85
2012-02-15,40.85,40.85,40.85,40.85,000,40.85
2012-02-10,40.85,40.85,40.85,40.85,000,40.85
2012-02-08,40.85,40.85,40.85,40.85,000,40.85
2012-02-07,40.85,40.85,40.85,40.85,000,40.85
2012-02-03,40.85,40.85,40.85,40.85,000,40.85
2012-02-02,40.85,40.85,40.85,40.85,000,40.85
2012-02-01,40.85,40.85,40.85,40.85,000,40.85
2012-01-31,40.85,40.85,40.85,40.85,000,40.85
2012-01-27,40.85,40.85,40.85,40.85,000,40.85
2012-01-26,40.85,40.85,40.85,40.85,000,40.85
2012-01-23,40.85,40.85,40.85,40.85,000,40.85
2012-01-18,40.85,40.85,40.85,40.85,000,40.85
2012-01-16,40.85,40.85,40.85,40.85,000,40.85
2012-01-13,40.85,40.85,40.85,40.85,000,40.85
2012-01-12,40.85,40.85,40.85,40.85,000,40.85
2012-01-11,40.85,40.85,40.85,40.85,000,40.85
2012-01-10,40.85,40.85,40.85,40.85,000,40.85
2012-01-06,40.85,40.85,40.85,40.85,000,40.85
2012-01-05,40.85,40.85,40.85,40.85,000,40.85
2012-01-04,40.85,40.85,40.85,40.85,000,40.85
2012-01-03,40.85,40.85,40.85,40.85,000,40.85
2012-01-02,40.85,40.85,40.85,40.85,000,40.85
2011-12-30,40.85,40.85,40.85,40.85,000,40.85
2011-12-29,40.85,40.85,40.85,40.85,000,40.85
2011-12-28,40.85,40.85,40.85,40.85,000,40.85
2011-12-27,40.85,40.85,40.85,40.85,000,40.85
2011-12-26,40.85,40.85,40.85,40.85,000,40.85
2011-12-23,40.85,40.85,40.85,40.85,000,40.85
2011-12-22,40.85,40.85,40.85,40.85,000,40.85
2011-12-16,40.85,40.85,40.85,40.85,000,40.85
2011-12-15,40.85,40.85,40.85,40.85,000,40.85
2011-12-14,40.85,40.85,40.85,40.85,000,40.85
2011-12-13,40.85,40.85,40.85,40.85,000,40.85
2011-12-12,40.85,40.85,40.85,40.85,000,40.85
2011-12-06,40.85,40.85,40.85,40.85,000,40.85
2011-12-05,40.85,40.85,40.85,40.85,000,40.85
2011-12-02,40.85,40.85,40.85,40.85,000,40.85
2011-12-01,40.85,40.85,40.85,40.85,000,40.85
2011-11-30,40.85,40.85,40.85,40.85,000,40.85
2011-11-25,40.85,40.85,40.85,40.85,000,40.85
2011-11-24,40.85,40.85,40.85,40.85,000,40.85
2011-11-23,40.85,40.85,40.85,40.85,000,40.85
2011-11-22,40.85,40.85,40.85,40.85,000,40.85
2011-11-21,40.85,40.85,40.85,40.85,000,40.85
2011-11-18,40.85,40.85,40.85,40.85,000,40.85
2011-11-17,40.85,40.85,40.85,40.85,000,40.85
2011-11-16,40.85,40.85,40.85,40.85,000,40.85
2011-11-15,40.85,40.85,40.85,40.85,000,40.85
2011-11-11,40.85,40.85,40.85,40.85,000,40.85
2011-11-10,40.85,40.85,40.85,40.85,000,40.85
2011-11-09,40.85,40.85,40.85,40.85,000,40.85
2011-11-04,40.85,40.85,40.85,40.85,000,40.85
2011-11-03,40.85,40.85,40.85,40.85,000,40.85
2011-11-02,40.85,40.85,40.85,40.85,000,40.85
2011-11-01,40.85,40.85,40.85,40.85,000,40.85
2011-10-31,40.85,40.85,40.85,40.85,000,40.85
2011-10-24,40.85,40.85,40.85,40.85,000,40.85
2011-10-21,40.85,40.85,40.85,40.85,000,40.85
2011-10-20,40.85,40.85,40.85,40.85,000,40.85
2011-10-19,40.85,40.85,40.85,40.85,000,40.85
2011-10-18,40.85,40.85,40.85,40.85,000,40.85
2011-10-14,40.85,40.85,40.85,40.85,000,40.85
2011-10-13,40.85,40.85,40.85,40.85,000,40.85
2011-10-12,40.85,40.85,40.85,40.85,000,40.85
2011-10-11,40.85,40.85,40.85,40.85,000,40.85
2011-10-10,40.85,40.85,40.85,40.85,000,40.85
2011-10-07,40.85,40.85,40.85,40.85,000,40.85
2011-10-06,40.85,40.85,40.85,40.85,000,40.85
2011-10-05,40.85,40.85,40.85,40.85,000,40.85
2011-10-04,40.85,40.85,40.85,40.85,000,40.85
2011-10-03,40.85,40.85,40.85,40.85,000,40.85
2011-09-30,40.85,40.85,40.85,40.85,000,40.85
2011-09-29,40.85,40.85,40.85,40.85,000,40.85
2011-09-23,40.85,40.85,40.85,40.85,000,40.85
2011-09-22,40.85,40.85,40.85,40.85,000,40.85
2011-09-21,40.85,40.85,40.85,40.85,000,40.85
2011-09-20,40.85,40.85,40.85,40.85,000,40.85
2011-09-19,40.85,40.85,40.85,40.85,000,40.85
2011-09-14,40.85,40.85,40.85,40.85,000,40.85
2011-09-13,40.35,40.85,40.35,40.37,000,40.37
2011-09-12,40.77,41.09,40.35,40.35,000,40.35
2011-09-09,40.36,40.85,40.36,40.85,000,40.85
2011-09-08,40.30,40.85,40.30,40.36,000,40.36
2011-09-07,40.33,40.85,40.30,40.30,000,40.30
2011-09-06,40.36,40.85,40.33,40.33,000,40.33
2011-09-05,40.50,40.50,40.36,40.36,000,40.36
2011-09-02,40.36,40.85,40.34,40.34,000,40.34
2011-09-01,40.34,40.85,40.34,40.36,000,40.36
2011-08-31,40.35,40.85,40.26,40.85,000,40.85
2011-08-30,40.36,40.85,40.35,40.85,000,40.85
2011-08-29,40.28,40.36,40.07,40.36,000,40.36
2011-08-26,40.35,40.85,40.35,40.85,000,40.85
2011-08-25,40.35,40.85,40.35,40.85,000,40.85
2011-08-24,40.35,40.85,40.35,40.35,000,40.35
2011-08-23,40.36,40.85,40.35,40.35,000,40.35
2011-08-22,40.11,40.85,40.09,40.36,000,40.36
2011-08-19,40.35,40.85,40.34,40.85,000,40.85
2011-08-18,40.36,40.85,40.35,40.85,000,40.85
2011-08-17,40.29,40.85,40.14,40.38,000,40.38
2011-08-16,39.95,40.85,39.95,40.19,000,40.19
2011-08-15,40.34,40.85,39.90,39.90,000,39.90
2011-08-12,40.38,40.85,40.34,40.34,000,40.34
2011-08-11,40.36,40.85,40.36,40.38,000,40.38
2011-08-10,40.36,40.85,40.10,40.36,000,40.36
2011-08-09,40.39,40.85,40.36,40.36,000,40.36
2011-08-08,40.85,40.85,39.86,40.39,000,40.39
2011-08-05,40.66,40.85,40.35,40.85,000,40.85
2011-08-04,40.38,40.85,40.25,40.66,000,40.66
2011-08-03,40.24,40.85,40.00,40.38,000,40.38
2011-08-02,40.35,40.85,40.19,40.23,000,40.23
2011-08-01,39.95,40.85,39.95,40.85,000,40.85
2011-07-29,40.37,40.85,40.36,40.36,000,40.36
2011-07-28,40.35,40.85,40.35,40.37,000,40.37
2011-07-27,40.35,40.85,40.35,40.35,000,40.35
2011-07-26,40.85,40.85,39.99,40.35,000,40.35
2011-07-22,40.36,40.85,40.36,40.85,000,40.85
