Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,241.78,241.78,241.78,241.78,000,241.78
2012-06-01,245.58,245.58,245.58,245.58,000,245.58
2012-05-31,243.43,243.43,243.43,243.43,000,243.43
2012-05-30,243.66,243.66,243.66,243.66,000,243.66
2012-05-29,238.32,238.32,238.32,238.32,000,238.32
2012-05-28,238.38,238.38,238.38,238.38,000,238.38
2012-05-25,239.29,239.29,239.29,239.29,000,239.29
2012-05-24,239.46,239.46,239.46,239.46,000,239.46
2012-05-23,239.69,239.69,239.69,239.69,000,239.69
2012-05-22,237.14,237.14,237.14,237.14,000,237.14
2012-05-21,231.37,231.37,231.37,231.37,000,231.37
2012-05-18,234.85,234.85,234.85,234.85,000,234.85
2012-05-17,233.97,233.97,233.97,233.97,000,233.97
2012-05-16,233.21,233.21,233.21,233.21,000,233.21
2012-05-14,228.41,228.41,228.41,228.41,000,228.41
2012-05-11,224.11,224.11,224.11,224.11,000,224.11
2012-05-10,223.86,223.86,223.86,223.86,000,223.86
2012-05-09,224.27,224.27,224.27,224.27,000,224.27
2012-05-08,221.09,221.09,221.09,221.09,000,221.09
2012-05-07,219.68,219.68,219.68,219.68,000,219.68
2012-05-04,218.63,218.63,218.63,218.63,000,218.63
2012-05-03,216.26,216.26,216.26,216.26,000,216.26
2012-05-02,215.10,215.10,215.10,215.10,000,215.10
2012-05-01,214.96,214.96,214.96,214.96,000,214.96
2012-04-30,216.50,216.50,216.50,216.50,000,216.50
2012-04-27,216.54,216.54,216.54,216.54,000,216.54
2012-04-26,218.15,218.15,218.15,218.15,000,218.15
2012-04-25,217.77,217.77,217.77,217.77,000,217.77
2012-04-24,222.57,222.57,222.57,222.57,000,222.57
2012-04-23,226.96,226.96,226.96,226.96,000,226.96
2012-04-20,224.87,224.87,224.87,224.87,000,224.87
2012-04-19,226.04,226.04,226.04,226.04,000,226.04
2012-04-18,226.50,226.50,226.50,226.50,000,226.50
2012-04-17,225.68,225.68,225.68,225.68,000,225.68
2012-04-16,226.86,226.86,226.86,226.86,000,226.86
2012-04-13,227.58,227.58,227.58,227.58,000,227.58
2012-04-12,224.62,224.62,224.62,224.62,000,224.62
2012-04-11,227.63,227.63,227.63,227.63,000,227.63
2012-04-10,228.52,228.52,228.52,228.52,000,228.52
2012-04-09,225.28,225.28,225.28,225.28,000,225.28
2012-04-06,226.35,226.35,226.35,226.35,000,226.35
2012-04-05,226.09,226.09,226.09,226.09,000,226.09
2012-04-04,225.28,225.28,225.28,225.28,000,225.28
2012-04-03,220.31,220.31,220.31,220.31,000,220.31
2012-04-02,220.85,220.85,220.85,220.85,000,220.85
2012-03-30,220.70,220.70,220.70,220.70,000,220.70
2012-03-29,222.27,222.27,222.27,222.27,000,222.27
2012-03-28,219.97,219.97,219.97,219.97,000,219.97
2012-03-27,218.77,218.77,218.77,218.77,000,218.77
2012-03-26,218.05,218.05,218.05,218.05,000,218.05
2012-03-23,220.56,220.56,220.56,220.56,000,220.56
2012-03-22,222.57,222.57,222.57,222.57,000,222.57
2012-03-21,220.85,220.85,220.85,220.85,000,220.85
2012-03-20,219.25,219.25,219.25,219.25,000,219.25
2012-03-19,218.20,218.20,218.20,218.20,000,218.20
2012-03-16,219.83,219.83,219.83,219.83,000,219.83
2012-03-15,222.42,222.42,222.42,222.42,000,222.42
2012-03-14,224.87,224.87,224.87,224.87,000,224.87
2012-03-13,222.77,222.77,222.77,222.77,000,222.77
2012-03-12,223.51,223.51,223.51,223.51,000,223.51
2012-03-08,220.65,220.65,220.65,220.65,000,220.65
2012-03-07,224.87,224.87,224.87,224.87,000,224.87
2012-03-06,224.72,224.72,224.72,224.72,000,224.72
2012-03-05,221.53,221.53,221.53,221.53,000,221.53
2012-03-02,219.15,219.15,219.15,219.15,000,219.15
2012-03-01,215.52,215.52,215.52,215.52,000,215.52
2012-02-29,216.78,216.78,216.78,216.78,000,216.78
2012-02-28,215.19,215.19,215.19,215.19,000,215.19
2012-02-27,217.01,217.01,217.01,217.01,000,217.01
2012-02-24,216.03,216.03,216.03,216.03,000,216.03
2012-02-23,216.50,216.50,216.50,216.50,000,216.50
2012-02-22,218.34,218.34,218.34,218.34,000,218.34
2012-02-21,216.54,216.54,216.54,216.54,000,216.54
2012-02-20,217.44,217.44,217.44,217.44,000,217.44
2012-02-17,220.36,220.36,220.36,220.36,000,220.36
2012-02-16,221.53,221.53,221.53,221.53,000,221.53
2012-02-15,223.11,223.11,223.11,223.11,000,223.11
2012-02-14,222.22,222.22,222.22,222.22,000,222.22
2012-02-13,220.75,220.75,220.75,220.75,000,220.75
2012-02-10,222.27,222.27,222.27,222.27,000,222.27
2012-02-09,219.49,219.49,219.49,219.49,000,219.49
2012-02-08,220.12,220.12,220.12,220.12,000,220.12
2012-02-07,218.72,218.72,218.72,218.72,000,218.72
2012-02-06,223.02,223.02,223.02,223.02,000,223.02
2012-02-03,221.14,221.14,221.14,221.14,000,221.14
2012-02-02,221.78,221.78,221.78,221.78,000,221.78
2012-02-01,220.75,220.75,220.75,220.75,000,220.75
2012-01-31,225.02,225.02,225.02,225.02,000,225.02
2012-01-30,224.42,224.42,224.42,224.42,000,224.42
2012-01-27,222.07,222.07,222.07,222.07,000,222.07
2012-01-26,225.89,225.89,225.89,225.89,000,225.89
2012-01-25,226.19,226.19,226.19,226.19,000,226.19
2012-01-24,229.31,229.31,229.31,229.31,000,229.31
2012-01-23,230.79,230.79,230.79,230.79,000,230.79
2012-01-20,234.85,234.85,234.85,234.85,000,234.85
2012-01-19,234.30,234.30,234.30,234.30,000,234.30
