Date,Open,High,Low,Close,Volume,Adj Close
2002-06-28,0.80,0.80,0.80,0.80,000,0.80
2002-04-30,0.87,0.87,0.87,0.87,000,0.87
2002-02-28,0.91,0.91,0.91,0.91,000,0.91
2002-01-04,0.88,0.88,0.88,0.88,000,0.88
2002-01-03,0.88,0.88,0.88,0.88,000,0.88
2002-01-02,0.87,0.87,0.87,0.87,000,0.87
2002-01-01,0.88,0.88,0.88,0.88,000,0.88
2001-12-31,0.88,0.88,0.88,0.88,000,0.88
2001-12-28,0.89,0.89,0.89,0.89,000,0.89
2001-12-27,0.89,0.89,0.89,0.89,000,0.89
2001-12-26,0.89,0.89,0.89,0.89,000,0.89
2001-12-25,0.89,0.89,0.89,0.89,000,0.89
2001-12-24,0.89,0.89,0.89,0.89,000,0.89
2001-12-21,0.89,0.89,0.89,0.89,000,0.89
2001-12-20,0.88,0.88,0.88,0.88,000,0.88
2001-12-19,0.87,0.87,0.87,0.87,000,0.87
2001-12-18,0.87,0.87,0.87,0.87,000,0.87
2001-12-17,0.87,0.87,0.87,0.87,000,0.87
2001-12-14,0.87,0.87,0.87,0.87,000,0.87
2001-12-13,0.88,0.88,0.88,0.88,000,0.88
2001-12-12,0.88,0.88,0.88,0.88,000,0.88
2001-12-11,0.88,0.88,0.88,0.88,000,0.88
2001-12-10,0.89,0.89,0.89,0.89,000,0.89
2001-12-07,0.89,0.89,0.89,0.89,000,0.89
2001-12-06,0.88,0.88,0.88,0.88,000,0.88
2001-12-05,0.89,0.89,0.89,0.89,000,0.89
2001-12-04,0.88,0.88,0.88,0.88,000,0.88
2001-12-03,0.88,0.88,0.88,0.88,000,0.88
2001-11-30,0.88,0.88,0.88,0.88,000,0.88
2001-11-29,0.89,0.89,0.89,0.89,000,0.89
2001-11-28,0.89,0.89,0.89,0.89,000,0.89
2001-11-27,0.89,0.89,0.89,0.89,000,0.89
2001-11-26,0.89,0.89,0.89,0.89,000,0.89
2001-11-23,0.90,0.90,0.90,0.90,000,0.90
2001-11-22,0.90,0.90,0.90,0.90,000,0.90
2001-11-21,0.90,0.90,0.90,0.90,000,0.90
2001-11-20,0.89,0.89,0.89,0.89,000,0.89
2001-11-19,0.89,0.89,0.89,0.89,000,0.89
2001-11-16,0.89,0.89,0.89,0.89,000,0.89
2001-11-15,0.89,0.89,0.89,0.89,000,0.89
2001-11-14,0.89,0.89,0.89,0.89,000,0.89
2001-11-13,0.89,0.89,0.89,0.89,000,0.89
2001-11-12,0.88,0.88,0.88,0.88,000,0.88
2001-11-09,0.88,0.88,0.88,0.88,000,0.88
2001-11-08,0.88,0.88,0.88,0.88,000,0.88
2001-11-07,0.88,0.88,0.88,0.88,000,0.88
2001-11-06,0.88,0.88,0.88,0.88,000,0.88
2001-11-05,0.88,0.88,0.88,0.88,000,0.88
2001-11-02,0.87,0.87,0.87,0.87,000,0.87
2001-11-01,0.87,0.87,0.87,0.87,000,0.87
2001-10-31,0.88,0.88,0.88,0.88,000,0.88
2001-10-30,0.87,0.87,0.87,0.87,000,0.87
2001-10-29,0.87,0.87,0.87,0.87,000,0.87
2001-10-26,0.88,0.88,0.88,0.88,000,0.88
2001-10-25,0.88,0.88,0.88,0.88,000,0.88
2001-10-24,0.88,0.88,0.88,0.88,000,0.88
2001-10-23,0.88,0.88,0.88,0.88,000,0.88
2001-10-22,0.88,0.88,0.88,0.88,000,0.88
2001-10-19,0.88,0.88,0.88,0.88,000,0.88
2001-10-18,0.87,0.87,0.87,0.87,000,0.87
2001-10-17,0.87,0.87,0.87,0.87,000,0.87
2001-10-16,0.87,0.87,0.87,0.87,000,0.87
2001-10-15,0.87,0.87,0.87,0.87,000,0.87
2001-10-12,0.87,0.87,0.87,0.87,000,0.87
2001-10-11,0.87,0.87,0.87,0.87,000,0.87
2001-10-10,0.86,0.86,0.86,0.86,000,0.86
2001-10-09,0.86,0.86,0.86,0.86,000,0.86
2001-10-08,0.86,0.86,0.86,0.86,000,0.86
2001-10-05,0.86,0.86,0.86,0.86,000,0.86
2001-10-04,0.86,0.86,0.86,0.86,000,0.86
2001-10-03,0.86,0.86,0.86,0.86,000,0.86
2001-10-02,0.86,0.86,0.86,0.86,000,0.86
2001-10-01,0.86,0.86,0.86,0.86,000,0.86
2001-09-28,0.86,0.86,0.86,0.86,000,0.86
2001-09-27,0.86,0.86,0.86,0.86,000,0.86
2001-09-26,0.85,0.85,0.85,0.85,000,0.85
2001-09-25,0.85,0.85,0.85,0.85,000,0.85
2001-09-24,0.86,0.86,0.86,0.86,000,0.86
2001-09-21,0.86,0.86,0.86,0.86,000,0.86
2001-09-20,0.85,0.85,0.85,0.85,000,0.85
2001-09-19,0.85,0.85,0.85,0.85,000,0.85
2001-09-18,0.85,0.85,0.85,0.85,000,0.85
2001-09-17,0.85,0.85,0.85,0.85,000,0.85
2001-09-14,0.86,0.86,0.86,0.86,000,0.86
2001-09-13,0.87,0.87,0.87,0.87,000,0.87
2001-09-12,0.88,0.88,0.88,0.88,000,0.88
2001-09-11,0.86,0.86,0.86,0.86,000,0.86
2001-09-10,0.88,0.88,0.88,0.88,000,0.88
2001-09-07,0.87,0.87,0.87,0.87,000,0.87
2001-09-06,0.88,0.88,0.88,0.88,000,0.88
2001-09-05,0.89,0.89,0.89,0.89,000,0.89
2001-09-04,0.89,0.89,0.89,0.89,000,0.89
2001-09-03,0.86,0.86,0.86,0.86,000,0.86
2001-08-31,0.86,0.86,0.86,0.86,000,0.86
2001-08-30,0.86,0.86,0.86,0.86,000,0.86
2001-08-29,0.87,0.87,0.87,0.87,000,0.87
2001-08-28,0.86,0.86,0.86,0.86,000,0.86
2001-08-27,0.86,0.86,0.86,0.86,000,0.86
2001-08-24,0.86,0.86,0.86,0.86,000,0.86
2001-08-23,0.86,0.86,0.86,0.86,000,0.86
2001-08-22,0.86,0.86,0.86,0.86,000,0.86
