Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,3.88,3.88,3.88,3.88,000,3.88
2012-06-01,3.91,3.91,3.91,3.91,000,3.91
2012-05-31,3.91,3.91,3.91,3.91,000,3.91
2012-05-30,3.88,3.88,3.88,3.88,000,3.88
2012-05-29,3.87,3.87,3.87,3.87,000,3.87
2012-05-28,3.87,3.87,3.87,3.87,000,3.87
2012-05-25,3.85,3.85,3.85,3.85,000,3.85
2012-05-24,3.85,3.85,3.85,3.85,000,3.85
2012-05-23,3.86,3.86,3.86,3.86,000,3.86
2012-05-22,3.85,3.85,3.85,3.85,000,3.85
2012-05-21,3.82,3.82,3.82,3.82,000,3.82
2012-05-18,3.83,3.83,3.83,3.83,000,3.83
2012-05-17,3.83,3.83,3.83,3.83,000,3.83
2012-05-16,3.83,3.83,3.83,3.83,000,3.83
2012-05-14,3.83,3.83,3.83,3.83,000,3.83
2012-05-11,3.82,3.82,3.82,3.82,000,3.82
2012-05-10,3.81,3.81,3.81,3.81,000,3.81
2012-05-09,3.82,3.82,3.82,3.82,000,3.82
2012-05-08,3.81,3.81,3.81,3.81,000,3.81
2012-05-07,3.80,3.80,3.80,3.80,000,3.80
2012-05-04,3.79,3.79,3.79,3.79,000,3.79
2012-05-03,3.78,3.78,3.78,3.78,000,3.78
2012-05-02,3.77,3.77,3.77,3.77,000,3.77
2012-05-01,3.78,3.78,3.78,3.78,000,3.78
2012-04-30,3.76,3.76,3.76,3.76,000,3.76
2012-04-27,3.74,3.74,3.74,3.74,000,3.74
2012-04-26,3.75,3.75,3.75,3.75,000,3.75
2012-04-25,3.75,3.75,3.75,3.75,000,3.75
2012-04-24,3.75,3.75,3.75,3.75,000,3.75
2012-04-23,3.76,3.76,3.76,3.76,000,3.76
2012-04-20,3.75,3.75,3.75,3.75,000,3.75
2012-04-19,3.76,3.76,3.76,3.76,000,3.76
2012-04-18,3.76,3.76,3.76,3.76,000,3.76
2012-04-17,3.75,3.75,3.75,3.75,000,3.75
2012-04-16,3.75,3.75,3.75,3.75,000,3.75
2012-04-13,3.75,3.75,3.75,3.75,000,3.75
2012-04-12,3.74,3.74,3.74,3.74,000,3.74
2012-04-11,3.76,3.76,3.76,3.76,000,3.76
2012-04-10,3.75,3.75,3.75,3.75,000,3.75
2012-04-09,3.74,3.74,3.74,3.74,000,3.74
2012-04-06,3.74,3.74,3.74,3.74,000,3.74
2012-04-05,3.74,3.74,3.74,3.74,000,3.74
2012-04-04,3.74,3.74,3.74,3.74,000,3.74
2012-04-03,3.74,3.74,3.74,3.74,000,3.74
2012-04-02,3.72,3.72,3.72,3.72,000,3.72
2012-03-30,3.71,3.71,3.71,3.71,000,3.71
2012-03-29,3.73,3.73,3.73,3.73,000,3.73
2012-03-28,3.72,3.72,3.72,3.72,000,3.72
2012-03-27,3.72,3.72,3.72,3.72,000,3.72
2012-03-26,3.72,3.72,3.72,3.72,000,3.72
2012-03-23,3.73,3.73,3.73,3.73,000,3.73
2012-03-22,3.75,3.75,3.75,3.75,000,3.75
2012-03-21,3.74,3.74,3.74,3.74,000,3.74
2012-03-20,3.74,3.74,3.74,3.74,000,3.74
2012-03-19,3.74,3.74,3.74,3.74,000,3.74
2012-03-16,3.76,3.76,3.76,3.76,000,3.76
2012-03-15,3.77,3.77,3.77,3.77,000,3.77
2012-03-14,3.79,3.79,3.79,3.79,000,3.79
2012-03-13,3.77,3.77,3.77,3.77,000,3.77
2012-03-12,3.78,3.78,3.78,3.78,000,3.78
2012-03-08,3.78,3.78,3.78,3.78,000,3.78
2012-03-07,3.80,3.80,3.80,3.80,000,3.80
2012-03-06,3.81,3.81,3.81,3.81,000,3.81
2012-03-05,3.79,3.79,3.79,3.79,000,3.79
2012-03-02,3.80,3.80,3.80,3.80,000,3.80
2012-03-01,3.78,3.78,3.78,3.78,000,3.78
2012-02-29,3.78,3.78,3.78,3.78,000,3.78
2012-02-28,3.78,3.78,3.78,3.78,000,3.78
2012-02-27,3.79,3.79,3.79,3.79,000,3.79
2012-02-24,3.76,3.76,3.76,3.76,000,3.76
2012-02-23,3.75,3.75,3.75,3.75,000,3.75
2012-02-22,3.76,3.76,3.76,3.76,000,3.76
2012-02-21,3.74,3.74,3.74,3.74,000,3.74
2012-02-20,3.72,3.72,3.72,3.72,000,3.72
2012-02-17,3.74,3.74,3.74,3.74,000,3.74
2012-02-16,3.75,3.75,3.75,3.75,000,3.75
2012-02-15,3.75,3.75,3.75,3.75,000,3.75
2012-02-14,3.74,3.74,3.74,3.74,000,3.74
2012-02-13,3.73,3.73,3.73,3.73,000,3.73
2012-02-10,3.72,3.72,3.72,3.72,000,3.72
2012-02-09,3.70,3.70,3.70,3.70,000,3.70
2012-02-08,3.72,3.72,3.72,3.72,000,3.72
2012-02-07,3.71,3.71,3.71,3.71,000,3.71
2012-02-06,3.72,3.72,3.72,3.72,000,3.72
2012-02-03,3.71,3.71,3.71,3.71,000,3.71
2012-02-02,3.72,3.72,3.72,3.72,000,3.72
2012-02-01,3.72,3.72,3.72,3.72,000,3.72
