Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,55.66,55.66,55.66,55.66,000,55.66
2012-06-01,55.51,55.51,55.51,55.51,000,55.51
2012-05-31,56.08,56.08,56.08,56.08,000,56.08
2012-05-30,56.21,56.21,56.21,56.21,000,56.21
2012-05-29,55.61,55.61,55.61,55.61,000,55.61
2012-05-28,55.19,55.19,55.19,55.19,000,55.19
2012-05-25,55.37,55.37,55.37,55.37,000,55.37
2012-05-24,55.56,55.56,55.56,55.56,000,55.56
2012-05-23,55.98,55.98,55.98,55.98,000,55.98
2012-05-22,55.40,55.40,55.40,55.40,000,55.40
2012-05-21,55.01,55.01,55.01,55.01,000,55.01
2012-05-18,54.48,54.48,54.48,54.48,000,54.48
2012-05-17,54.37,54.37,54.37,54.37,000,54.37
2012-05-16,54.34,54.34,54.34,54.34,000,54.34
2012-05-14,53.93,53.93,53.93,53.93,000,53.93
2012-05-11,53.63,53.63,53.63,53.63,000,53.63
2012-05-10,53.25,53.25,53.25,53.25,000,53.25
2012-05-09,53.75,53.75,53.75,53.75,000,53.75
2012-05-08,53.15,53.15,53.15,53.15,000,53.15
2012-05-07,52.84,52.84,52.84,52.84,000,52.84
2012-05-04,53.48,53.48,53.48,53.48,000,53.48
2012-05-03,53.38,53.38,53.38,53.38,000,53.38
2012-05-02,52.97,52.97,52.97,52.97,000,52.97
2012-05-01,52.63,52.63,52.63,52.63,000,52.63
2012-04-30,52.66,52.66,52.66,52.66,000,52.66
2012-04-27,52.45,52.45,52.45,52.45,000,52.45
2012-04-26,52.55,52.55,52.55,52.55,000,52.55
2012-04-25,52.55,52.55,52.55,52.55,000,52.55
2012-04-24,52.64,52.64,52.64,52.64,000,52.64
2012-04-23,52.52,52.52,52.52,52.52,000,52.52
2012-04-20,52.08,52.08,52.08,52.08,000,52.08
2012-04-19,52.08,52.08,52.08,52.08,000,52.08
2012-04-18,51.78,51.78,51.78,51.78,000,51.78
2012-04-17,51.38,51.38,51.38,51.38,000,51.38
2012-04-16,51.64,51.64,51.64,51.64,000,51.64
2012-04-13,51.30,51.30,51.30,51.30,000,51.30
2012-04-12,51.59,51.59,51.59,51.59,000,51.59
2012-04-11,51.46,51.46,51.46,51.46,000,51.46
2012-04-10,51.47,51.47,51.47,51.47,000,51.47
2012-04-09,51.15,51.15,51.15,51.15,000,51.15
2012-04-06,51.12,51.12,51.12,51.12,000,51.12
2012-04-05,51.09,51.09,51.09,51.09,000,51.09
2012-04-04,51.09,51.09,51.09,51.09,000,51.09
2012-04-03,50.66,50.66,50.66,50.66,000,50.66
2012-04-02,50.80,50.80,50.80,50.80,000,50.80
2012-03-30,50.88,50.88,50.88,50.88,000,50.88
