Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,87.58,87.60,87.58,87.58,000,87.58
2012-06-01,87.40,87.58,87.40,87.58,000,87.58
2012-05-31,87.43,87.43,87.40,87.40,000,87.40
2012-05-29,87.43,87.88,87.43,87.43,000,87.43
2012-05-28,87.38,87.38,87.35,87.38,000,87.38
2012-05-25,87.25,87.25,87.25,87.25,000,87.25
2012-05-24,87.27,87.30,87.27,87.30,000,87.30
2012-05-23,87.25,87.25,87.25,87.25,000,87.25
2012-05-22,87.45,87.45,87.30,87.30,000,87.30
2012-05-21,87.30,87.30,87.30,87.30,000,87.30
2012-05-16,87.18,87.18,87.18,87.18,000,87.18
2012-05-14,87.08,87.60,87.08,87.08,000,87.08
2012-05-11,87.08,87.45,87.08,87.45,000,87.45
2012-05-10,87.03,87.03,86.85,86.85,000,86.85
2012-05-09,86.83,86.83,86.80,86.83,000,86.83
2012-05-07,86.83,86.83,86.80,86.83,000,86.83
2012-05-04,86.80,86.83,86.80,86.83,000,86.83
2012-05-03,86.80,86.83,86.80,86.83,000,86.83
2012-05-02,86.80,86.80,86.80,86.80,000,86.80
2012-05-01,86.80,86.83,86.80,86.83,000,86.83
2012-04-30,86.80,86.83,86.80,86.83,000,86.83
2012-04-27,86.83,86.83,86.80,86.83,000,86.83
2012-04-26,86.83,86.83,86.80,86.83,000,86.83
2012-04-24,86.83,86.83,86.80,86.83,000,86.83
2012-04-23,86.83,86.83,86.83,86.83,000,86.83
2012-04-20,86.83,86.83,86.83,86.83,000,86.83
2012-04-19,86.78,86.78,86.75,86.75,000,86.75
2012-04-18,86.75,86.75,86.75,86.75,000,86.75
2012-04-17,86.78,86.78,86.70,86.78,000,86.78
2012-04-16,86.73,86.73,86.70,86.73,000,86.73
2012-04-13,86.73,86.73,86.70,86.73,000,86.73
2012-04-11,86.78,87.15,86.78,86.78,000,86.78
2012-04-10,86.75,86.75,86.75,86.75,000,86.75
2012-04-09,86.75,86.78,86.75,86.78,000,86.78
2012-04-06,86.78,86.78,86.75,86.75,000,86.75
2012-04-05,86.78,86.78,86.75,86.75,000,86.75
2012-04-04,86.75,86.75,86.75,86.75,000,86.75
2012-04-03,86.78,86.78,86.75,86.75,000,86.75
2012-04-02,86.78,86.78,86.75,86.75,000,86.75
2012-03-30,86.78,86.78,86.75,86.75,000,86.75
