Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,78.34,78.34,78.34,78.34,000,78.34
2012-06-01,78.00,78.00,78.00,78.00,000,78.00
2012-05-31,78.36,78.36,78.36,78.36,000,78.36
2012-05-30,79.12,79.12,79.12,79.12,000,79.12
2012-05-29,79.53,79.53,79.53,79.53,000,79.53
2012-05-28,79.47,79.47,79.47,79.47,000,79.47
2012-05-25,79.68,79.68,79.68,79.68,000,79.68
2012-05-24,79.59,79.59,79.59,79.59,000,79.59
2012-05-23,79.46,79.46,79.46,79.46,000,79.46
2012-05-22,79.98,79.98,79.98,79.98,000,79.98
2012-05-21,79.31,79.31,79.31,79.31,000,79.31
2012-05-18,79.13,79.13,79.13,79.13,000,79.13
2012-05-17,79.29,79.29,79.29,79.29,000,79.29
2012-05-16,80.34,80.34,80.34,80.34,000,80.34
2012-05-14,79.87,79.87,79.87,79.87,000,79.87
2012-05-11,79.92,79.92,79.92,79.92,000,79.92
2012-05-10,79.89,79.89,79.89,79.89,000,79.89
2012-05-09,79.66,79.66,79.66,79.66,000,79.66
2012-05-08,79.87,79.87,79.87,79.87,000,79.87
2012-05-07,79.90,79.90,79.90,79.90,000,79.90
2012-05-04,79.87,79.87,79.87,79.87,000,79.87
2012-05-03,80.19,80.19,80.19,80.19,000,80.19
2012-05-02,80.13,80.13,80.13,80.13,000,80.13
2012-05-01,80.08,80.08,80.08,80.08,000,80.08
2012-04-30,79.82,79.82,79.82,79.82,000,79.82
2012-04-27,80.29,80.29,80.29,80.29,000,80.29
2012-04-26,81.00,81.00,81.00,81.00,000,81.00
2012-04-25,81.33,81.33,81.33,81.33,000,81.33
2012-04-24,81.32,81.32,81.32,81.32,000,81.32
2012-04-23,81.17,81.17,81.17,81.17,000,81.17
2012-04-20,81.52,81.52,81.52,81.52,000,81.52
2012-04-19,81.62,81.62,81.62,81.62,000,81.62
2012-04-18,81.27,81.27,81.27,81.27,000,81.27
2012-04-17,80.88,80.88,80.88,80.88,000,80.88
2012-04-16,80.42,80.42,80.42,80.42,000,80.42
2012-04-13,80.93,80.93,80.93,80.93,000,80.93
2012-04-12,80.88,80.88,80.88,80.88,000,80.88
2012-04-11,80.85,80.85,80.85,80.85,000,80.85
2012-04-10,80.72,80.72,80.72,80.72,000,80.72
2012-04-09,81.54,81.54,81.54,81.54,000,81.54
2012-04-06,81.63,81.63,81.63,81.63,000,81.63
2012-04-05,82.36,82.36,82.36,82.36,000,82.36
2012-04-04,82.45,82.45,82.45,82.45,000,82.45
2012-04-03,82.86,82.86,82.86,82.86,000,82.86
2012-04-02,82.07,82.07,82.07,82.07,000,82.07
2012-03-30,82.86,82.86,82.86,82.86,000,82.86
2012-03-29,82.42,82.42,82.42,82.42,000,82.42
2012-03-28,82.89,82.89,82.89,82.89,000,82.89
2012-03-27,83.20,83.20,83.20,83.20,000,83.20
2012-03-26,82.87,82.87,82.87,82.87,000,82.87
2012-03-23,82.35,82.35,82.35,82.35,000,82.35
2012-03-22,82.60,82.60,82.60,82.60,000,82.60
2012-03-21,83.43,83.43,83.43,83.43,000,83.43
2012-03-20,83.71,83.71,83.71,83.71,000,83.71
2012-03-19,83.40,83.40,83.40,83.40,000,83.40
2012-03-16,83.44,83.44,83.44,83.44,000,83.44
2012-03-15,83.56,83.56,83.56,83.56,000,83.56
2012-03-14,83.70,83.70,83.70,83.70,000,83.70
2012-03-13,82.89,82.89,82.89,82.89,000,82.89
2012-03-12,82.28,82.28,82.28,82.28,000,82.28
2012-03-08,81.57,81.57,81.57,81.57,000,81.57
2012-03-07,81.16,81.16,81.16,81.16,000,81.16
2012-03-06,80.82,80.82,80.82,80.82,000,80.82
2012-03-05,81.52,81.52,81.52,81.52,000,81.52
2012-03-02,81.79,81.79,81.79,81.79,000,81.79
2012-03-01,81.12,81.12,81.12,81.12,000,81.12
2012-02-29,81.31,81.31,81.31,81.31,000,81.31
2012-02-28,80.49,80.49,80.49,80.49,000,80.49
2012-02-27,80.45,80.45,80.45,80.45,000,80.45
2012-02-24,81.00,81.00,81.00,81.00,000,81.00
2012-02-23,79.96,79.96,79.96,79.96,000,79.96
2012-02-22,80.28,80.28,80.28,80.28,000,80.28
2012-02-21,79.73,79.73,79.73,79.73,000,79.73
2012-02-20,79.63,79.63,79.63,79.63,000,79.63
2012-02-17,79.57,79.57,79.57,79.57,000,79.57
2012-02-16,78.90,78.90,78.90,78.90,000,78.90
2012-02-15,78.39,78.39,78.39,78.39,000,78.39
2012-02-14,78.44,78.44,78.44,78.44,000,78.44
2012-02-13,77.59,77.59,77.59,77.59,000,77.59
2012-02-10,77.59,77.59,77.59,77.59,000,77.59
2012-02-09,77.65,77.65,77.65,77.65,000,77.65
2012-02-08,77.07,77.07,77.07,77.07,000,77.07
2012-02-07,76.80,76.80,76.80,76.80,000,76.80
2012-02-06,76.58,76.58,76.58,76.58,000,76.58
2012-02-03,76.60,76.60,76.60,76.60,000,76.60
2012-02-02,76.20,76.20,76.20,76.20,000,76.20
2012-02-01,76.18,76.18,76.18,76.18,000,76.18
2012-01-31,76.28,76.28,76.28,76.28,000,76.28
2012-01-30,76.38,76.38,76.38,76.38,000,76.38
2012-01-27,76.68,76.68,76.68,76.68,000,76.68
2012-01-26,77.45,77.45,77.45,77.45,000,77.45
2012-01-25,77.72,77.72,77.72,77.72,000,77.72
2012-01-24,77.69,77.69,77.69,77.69,000,77.69
2012-01-23,76.97,76.97,76.97,76.97,000,76.97
2012-01-20,77.03,77.03,77.03,77.03,000,77.03
2012-01-19,77.12,77.12,77.12,77.12,000,77.12
2012-01-18,76.78,76.78,76.78,76.78,000,76.78
2012-01-17,76.84,76.84,76.84,76.84,000,76.84
2012-01-16,76.79,76.79,76.79,76.79,000,76.79
2012-01-13,76.96,76.96,76.96,76.96,000,76.96
2012-01-12,76.79,76.79,76.79,76.79,000,76.79
2012-01-11,76.89,76.89,76.89,76.89,000,76.89
2012-01-10,76.85,76.85,76.85,76.85,000,76.85
2012-01-09,76.86,76.86,76.86,76.86,000,76.86
2012-01-06,76.97,76.97,76.97,76.97,000,76.97
2012-01-05,77.12,77.12,77.12,77.12,000,77.12
2012-01-04,76.76,76.76,76.76,76.76,000,76.76
2012-01-03,76.73,76.73,76.73,76.73,000,76.73
2012-01-02,76.89,76.89,76.89,76.89,000,76.89
2011-12-30,76.92,76.92,76.92,76.92,000,76.92
2011-12-29,77.62,77.62,77.62,77.62,000,77.62
2011-12-28,77.94,77.94,77.94,77.94,000,77.94
2011-12-27,77.88,77.88,77.88,77.88,000,77.88
2011-12-26,78.00,78.00,78.00,78.00,000,78.00
2011-12-23,78.08,78.08,78.08,78.08,000,78.08
2011-12-22,78.17,78.17,78.17,78.17,000,78.17
2011-12-21,78.05,78.05,78.05,78.05,000,78.05
2011-12-20,77.84,77.84,77.84,77.84,000,77.84
2011-12-19,78.03,78.03,78.03,78.03,000,78.03
2011-12-16,77.74,77.74,77.74,77.74,000,77.74
2011-12-15,77.91,77.91,77.91,77.91,000,77.91
2011-12-14,78.10,78.10,78.10,78.10,000,78.10
2011-12-13,77.97,77.97,77.97,77.97,000,77.97
2011-12-12,77.95,77.95,77.95,77.95,000,77.95
2011-12-09,77.63,77.63,77.63,77.63,000,77.63
2011-12-08,77.64,77.64,77.64,77.64,000,77.64
2011-12-07,77.65,77.65,77.65,77.65,000,77.65
2011-12-06,77.72,77.72,77.72,77.72,000,77.72
2011-12-05,77.84,77.84,77.84,77.84,000,77.84
2011-12-02,77.98,77.98,77.98,77.98,000,77.98
2011-12-01,77.72,77.72,77.72,77.72,000,77.72
2011-11-30,77.59,77.59,77.59,77.59,000,77.59
2011-11-29,77.94,77.94,77.94,77.94,000,77.94
2011-11-28,78.06,78.06,78.06,78.06,000,78.06
2011-11-25,77.74,77.74,77.74,77.74,000,77.74
2011-11-24,77.13,77.13,77.13,77.13,000,77.13
2011-11-23,77.29,77.29,77.29,77.29,000,77.29
2011-11-22,76.98,76.98,76.98,76.98,000,76.98
2011-11-21,76.93,76.93,76.93,76.93,000,76.93
2011-11-18,76.91,76.91,76.91,76.91,000,76.91
2011-11-17,77.01,77.01,77.01,77.01,000,77.01
2011-11-16,77.03,77.03,77.03,77.03,000,77.03
2011-11-15,77.05,77.05,77.05,77.05,000,77.05
2011-11-14,77.13,77.13,77.13,77.13,000,77.13
2011-11-11,77.18,77.18,77.18,77.18,000,77.18
2011-11-10,77.65,77.65,77.65,77.65,000,77.65
2011-11-09,77.75,77.75,77.75,77.75,000,77.75
2011-11-08,77.74,77.74,77.74,77.74,000,77.74
2011-11-07,78.08,78.08,78.08,78.08,000,78.08
2011-11-04,78.24,78.24,78.24,78.24,000,78.24
2011-11-03,78.07,78.07,78.07,78.07,000,78.07
2011-11-02,78.10,78.10,78.10,78.10,000,78.10
2011-11-01,78.35,78.35,78.35,78.35,000,78.35
2011-10-31,78.28,78.28,78.28,78.28,000,78.28
2011-10-28,75.83,75.83,75.83,75.83,000,75.83
2011-10-27,75.97,75.97,75.97,75.97,000,75.97
2011-10-26,76.24,76.24,76.24,76.24,000,76.24
2011-10-25,76.08,76.08,76.08,76.08,000,76.08
2011-10-24,76.12,76.12,76.12,76.12,000,76.12
2011-10-21,76.29,76.29,76.29,76.29,000,76.29
2011-10-20,76.84,76.84,76.84,76.84,000,76.84
2011-10-19,76.83,76.83,76.83,76.83,000,76.83
2011-10-18,76.79,76.79,76.79,76.79,000,76.79
2011-10-17,76.85,76.85,76.85,76.85,000,76.85
2011-10-14,77.22,77.22,77.22,77.22,000,77.22
2011-10-13,76.87,76.87,76.87,76.87,000,76.87
2011-10-12,77.26,77.26,77.26,77.26,000,77.26
2011-10-11,76.68,76.68,76.68,76.68,000,76.68
2011-10-10,76.68,76.68,76.68,76.68,000,76.68
2011-10-07,76.69,76.69,76.69,76.69,000,76.69
2011-10-06,76.69,76.69,76.69,76.69,000,76.69
2011-10-05,76.79,76.79,76.79,76.79,000,76.79
2011-10-04,76.85,76.85,76.85,76.85,000,76.85
2011-10-03,76.62,76.62,76.62,76.62,000,76.62
2011-09-30,77.05,77.05,77.05,77.05,000,77.05
2011-09-29,76.82,76.82,76.82,76.82,000,76.82
2011-09-28,76.52,76.52,76.52,76.52,000,76.52
2011-09-27,76.73,76.73,76.73,76.73,000,76.73
2011-09-26,76.38,76.38,76.38,76.38,000,76.38
2011-09-23,76.69,76.69,76.69,76.69,000,76.69
2011-09-22,76.28,76.28,76.28,76.28,000,76.28
2011-09-21,76.44,76.44,76.44,76.44,000,76.44
2011-09-20,76.45,76.45,76.45,76.45,000,76.45
2011-09-19,76.56,76.56,76.56,76.56,000,76.56
2011-09-16,76.79,76.79,76.79,76.79,000,76.79
2011-09-15,76.72,76.72,76.72,76.72,000,76.72
2011-09-14,76.70,76.70,76.70,76.70,000,76.70
2011-09-13,76.92,76.92,76.92,76.92,000,76.92
2011-09-12,77.11,77.11,77.11,77.11,000,77.11
2011-09-09,77.77,77.77,77.77,77.77,000,77.77
2011-09-08,77.51,77.51,77.51,77.51,000,77.51
2011-09-07,77.08,77.08,77.08,77.08,000,77.08
2011-09-06,77.51,77.51,77.51,77.51,000,77.51
2011-09-05,77.08,77.08,77.08,77.08,000,77.08
2011-09-02,77.08,77.08,77.08,77.08,000,77.08
2011-09-01,76.95,76.95,76.95,76.95,000,76.95
2011-08-31,76.68,76.68,76.68,76.68,000,76.68
2011-08-30,76.73,76.73,76.73,76.73,000,76.73
2011-08-29,76.85,76.85,76.85,76.85,000,76.85
2011-08-26,76.63,76.63,76.63,76.63,000,76.63
2011-08-25,77.47,77.47,77.47,77.47,000,77.47
2011-08-24,76.96,76.96,76.96,76.96,000,76.96
2011-08-23,76.66,76.66,76.66,76.66,000,76.66
2011-08-22,76.84,76.84,76.84,76.84,000,76.84
2011-08-19,76.54,76.54,76.54,76.54,000,76.54
2011-08-18,76.55,76.55,76.55,76.55,000,76.55
2011-08-17,76.59,76.59,76.59,76.59,000,76.59
2011-08-16,76.82,76.82,76.82,76.82,000,76.82
2011-08-15,76.80,76.80,76.80,76.80,000,76.80
2011-08-12,76.79,76.79,76.79,76.79,000,76.79
