Date,Open,High,Low,Close,Volume,Adj Close
2011-10-28,347.25,347.25,347.25,347.25,000,347.25
2011-10-24,356.98,356.98,354.50,356.98,000,356.98
2011-10-21,356.98,356.98,356.12,356.12,000,356.12
2011-10-20,356.98,356.98,356.98,356.98,000,356.98
2011-10-19,356.73,356.73,356.73,356.73,000,356.73
2011-10-18,357.98,357.98,357.62,357.98,000,357.98
2011-10-14,356.48,356.85,356.48,356.48,000,356.48
2011-10-13,360.48,360.48,360.48,360.48,000,360.48
2011-10-12,360.48,360.48,358.75,360.48,000,360.48
2011-10-07,366.25,366.25,366.25,366.25,000,366.25
2011-10-06,360.08,360.08,360.08,360.08,000,360.08
2011-10-05,369.10,369.10,369.10,360.08,000,360.08
2011-10-04,360.08,360.08,360.08,360.08,000,360.08
2011-10-03,373.00,373.00,373.00,360.08,000,360.08
2011-09-30,360.08,360.08,360.08,360.08,000,360.08
2011-09-29,360.08,360.08,360.08,360.08,000,360.08
2011-09-28,360.08,360.08,360.08,360.08,000,360.08
2011-09-27,364.12,364.12,364.12,360.08,000,360.08
2011-09-22,360.08,360.08,360.08,360.08,000,360.08
2011-09-21,358.75,358.75,358.75,360.08,000,360.08
2011-09-20,360.08,360.08,360.08,360.08,000,360.08
2011-09-19,360.08,360.08,360.08,360.08,000,360.08
2011-09-16,357.25,357.25,357.25,360.08,000,360.08
2011-09-14,360.08,360.08,360.08,360.08,000,360.08
2011-09-13,360.10,360.10,360.10,360.10,000,360.10
2011-09-12,360.25,360.25,360.12,360.25,000,360.25
2011-09-09,349.25,360.25,349.25,349.25,000,349.25
2011-09-08,349.25,349.25,349.25,349.25,000,349.25
2011-09-07,352.00,352.00,350.62,352.00,000,352.00
2011-09-06,346.87,352.00,346.87,346.87,000,346.87
2011-09-05,346.87,346.87,346.87,346.87,000,346.87
2011-09-02,345.00,346.87,345.00,345.00,000,345.00
2011-09-01,342.62,345.00,342.62,342.62,000,342.62
2011-08-31,341.75,342.25,341.75,341.75,000,341.75
2011-08-30,339.25,341.75,339.25,339.25,000,339.25
2011-08-29,339.85,339.85,339.65,339.65,000,339.65
2011-08-26,342.22,342.22,342.22,342.22,000,342.22
2011-08-25,341.62,342.00,341.62,341.62,000,341.62
2011-08-24,341.37,341.50,341.37,341.37,000,341.37
2011-08-23,342.75,342.75,342.12,342.12,000,342.12
2011-08-22,341.75,341.88,341.75,341.88,000,341.88
2011-08-19,342.25,342.25,341.75,342.25,000,342.25
2011-08-18,342.25,342.25,342.25,342.25,000,342.25
2011-08-17,342.25,342.25,342.25,342.25,000,342.25
2011-08-16,342.25,342.25,342.25,342.25,000,342.25
2011-08-15,342.25,342.25,342.25,342.25,000,342.25
2011-08-12,342.25,342.25,342.25,342.25,000,342.25
2011-08-11,342.25,342.25,342.25,342.25,000,342.25
2011-08-10,342.25,342.25,342.25,342.25,000,342.25
2011-08-09,342.25,342.25,342.25,342.25,000,342.25
2011-08-08,342.25,342.25,342.25,342.25,000,342.25
2011-08-05,342.25,342.25,342.25,342.25,000,342.25
2011-08-04,342.25,342.25,342.25,342.25,000,342.25
2011-08-03,342.25,342.25,342.25,342.25,000,342.25
2011-08-02,342.25,342.25,342.25,342.25,000,342.25
2011-08-01,342.25,342.25,342.25,342.25,000,342.25
2011-07-29,344.25,344.25,342.25,342.25,000,342.25
2011-07-28,343.25,343.75,343.25,343.25,000,343.25
2011-07-27,339.55,343.25,339.55,343.25,000,343.25
2011-07-26,342.62,342.62,341.08,342.62,000,342.62
2011-07-25,342.87,342.87,342.62,342.87,000,342.87
2011-07-22,342.75,342.88,342.75,342.75,000,342.75
2011-07-21,347.00,347.00,342.75,347.00,000,347.00
2011-07-20,348.00,348.00,348.00,348.00,000,348.00
2011-07-19,350.75,350.75,349.38,350.75,000,350.75
2011-07-18,348.25,350.75,348.25,350.75,000,350.75
2011-07-15,348.50,348.50,348.25,348.50,000,348.50
2011-07-14,347.75,348.25,347.75,347.75,000,347.75
2011-07-13,352.50,352.50,350.38,350.38,000,350.38
2011-07-12,351.05,352.50,351.05,351.05,000,351.05
