Date,Open,High,Low,Close,Volume,Adj Close
2011-10-28,11.60,11.60,11.52,11.52,000,11.52
2011-10-27,11.62,11.62,11.61,11.61,000,11.61
2011-10-26,11.62,11.62,11.62,11.62,000,11.62
2011-10-25,11.67,11.67,11.62,11.62,000,11.62
2011-10-24,11.73,11.73,11.68,11.68,000,11.68
2011-10-21,11.73,11.76,11.73,11.76,000,11.76
2011-10-20,11.68,11.72,11.68,11.72,000,11.72
2011-10-19,11.64,11.66,11.59,11.63,000,11.63
2011-10-18,11.65,11.65,11.63,11.64,000,11.64
2011-10-17,11.65,11.65,11.65,11.65,000,11.65
2011-10-14,11.68,11.68,11.68,11.68,000,11.68
2011-10-13,11.76,11.76,11.69,11.72,000,11.72
2011-10-12,11.76,11.79,11.71,11.76,000,11.76
2011-10-11,11.87,11.87,11.76,11.76,000,11.76
2011-10-10,11.90,11.90,11.82,11.87,000,11.87
2011-10-07,11.93,11.93,11.89,11.90,000,11.90
2011-10-06,11.93,11.93,11.93,11.93,000,11.93
2011-10-05,12.00,12.00,11.96,11.96,000,11.96
2011-10-04,11.82,12.00,11.82,12.00,000,12.00
2011-10-03,11.80,11.82,11.80,11.82,000,11.82
2011-09-30,11.85,11.85,11.80,11.80,000,11.80
2011-09-29,11.82,11.90,11.82,11.85,000,11.85
2011-09-28,11.91,11.95,11.82,11.82,000,11.82
2011-09-27,11.97,11.97,11.90,11.91,000,11.91
2011-09-26,11.91,11.98,11.91,11.94,000,11.94
2011-09-23,11.80,11.91,11.80,11.91,000,11.91
2011-09-22,11.75,11.77,11.55,11.73,000,11.73
2011-09-21,11.73,11.75,11.73,11.75,000,11.75
2011-09-20,11.67,11.85,11.65,11.73,000,11.73
2011-09-19,11.69,11.69,11.65,11.65,000,11.65
2011-09-16,11.74,11.74,11.65,11.65,000,11.65
2011-09-15,11.73,11.77,11.73,11.74,000,11.74
2011-09-14,11.65,11.73,11.65,11.73,000,11.73
2011-09-13,11.55,11.68,11.53,11.68,000,11.68
2011-09-12,11.67,11.75,11.52,11.55,000,11.55
2011-09-09,11.50,11.55,11.50,11.52,000,11.52
2011-09-08,11.41,11.50,11.41,11.50,000,11.50
2011-09-07,11.33,11.44,11.33,11.41,000,11.41
2011-09-06,11.33,11.36,11.33,11.36,000,11.36
2011-09-05,11.34,11.34,11.33,11.33,000,11.33
2011-09-02,11.31,11.33,11.30,11.33,000,11.33
2011-09-01,11.29,11.31,11.27,11.31,000,11.31
2011-08-31,11.30,11.30,11.27,11.27,000,11.27
2011-08-30,11.30,11.30,11.27,11.27,000,11.27
2011-08-29,11.25,11.30,11.22,11.30,000,11.30
2011-08-26,11.34,11.34,11.27,11.27,000,11.27
2011-08-25,11.34,11.34,11.34,11.34,000,11.34
2011-08-24,11.36,11.36,11.34,11.34,000,11.34
2011-08-23,11.26,11.36,11.26,11.34,000,11.34
2011-08-22,11.26,11.36,11.26,11.36,000,11.36
2011-08-19,11.31,11.36,11.31,11.35,000,11.35
2011-08-18,11.32,11.33,11.31,11.31,000,11.31
2011-08-17,11.36,11.40,11.28,11.32,000,11.32
2011-08-16,11.27,11.38,11.27,11.32,000,11.32
2011-08-15,11.37,11.40,11.26,11.26,000,11.26
2011-08-12,11.42,11.42,11.35,11.35,000,11.35
2011-08-11,11.41,11.42,11.41,11.42,000,11.42
2011-08-10,11.44,11.44,11.37,11.41,000,11.41
2011-08-09,11.45,11.45,11.38,11.40,000,11.40
2011-08-08,11.45,11.45,11.32,11.45,000,11.45
2011-08-05,11.51,11.51,11.45,11.45,000,11.45
2011-08-04,11.40,11.51,11.37,11.51,000,11.51
2011-08-03,11.39,11.43,11.32,11.40,000,11.40
2011-08-02,11.41,11.42,11.38,11.39,000,11.39
2011-08-01,11.24,11.41,11.24,11.37,000,11.37
2011-07-29,11.37,11.37,11.36,11.36,000,11.36
2011-07-28,11.35,11.45,11.35,11.37,000,11.37
2011-07-27,11.43,11.46,11.35,11.35,000,11.35
2011-07-26,11.51,11.51,11.37,11.40,000,11.40
2011-07-22,11.56,11.56,11.51,11.51,000,11.51
2011-07-21,11.62,11.62,11.52,11.53,000,11.53
2011-07-20,11.61,11.62,11.57,11.62,000,11.62
2011-07-19,11.60,11.61,11.58,11.61,000,11.61
2011-07-18,11.61,11.65,11.58,11.60,000,11.60
2011-07-15,11.63,11.65,11.61,11.61,000,11.61
2011-07-14,11.62,11.63,11.61,11.63,000,11.63
2011-07-13,11.65,11.65,11.60,11.64,000,11.64
2011-07-12,11.57,11.71,11.56,11.61,000,11.61
2011-07-11,11.47,11.57,11.47,11.57,000,11.57
2011-07-08,11.47,11.56,11.47,11.56,000,11.56
2011-07-07,11.44,11.47,11.41,11.41,000,11.41
2011-07-06,11.50,11.50,11.44,11.50,000,11.50
2011-07-05,11.55,11.55,11.43,11.43,000,11.43
2011-07-04,11.55,11.55,11.50,11.50,000,11.50
2011-07-01,11.63,11.63,11.55,11.55,000,11.55
2011-06-30,11.66,11.67,11.61,11.61,000,11.61
2011-06-29,11.62,11.68,11.61,11.66,000,11.66
2011-06-28,11.56,11.65,11.56,11.61,000,11.61
2011-06-27,11.56,11.62,11.53,11.59,000,11.59
2011-06-24,11.64,11.65,11.52,11.55,000,11.55
2011-06-23,11.67,11.70,11.56,11.56,000,11.56
2011-06-22,11.73,11.73,11.65,11.65,000,11.65
2011-06-21,11.78,11.78,11.67,11.70,000,11.70
2011-06-20,11.69,11.77,11.69,11.74,000,11.74
2011-06-17,11.65,11.73,11.61,11.73,000,11.73
2011-06-16,11.58,11.65,11.52,11.63,000,11.63
2011-06-15,11.53,11.64,11.52,11.64,000,11.64
2011-06-14,11.42,11.60,11.37,11.59,000,11.59
2011-06-13,11.43,11.45,11.35,11.35,000,11.35
2011-06-10,11.37,11.45,11.32,11.35,000,11.35
2011-06-09,11.39,11.39,11.32,11.35,000,11.35
2011-06-08,11.39,11.45,11.32,11.32,000,11.32
2011-06-07,11.56,11.56,11.39,11.45,000,11.45
2011-06-06,11.51,11.57,11.50,11.56,000,11.56
2011-06-03,11.66,11.66,11.57,11.57,000,11.57
2011-06-02,11.65,11.67,11.61,11.65,000,11.65
2011-06-01,11.68,11.68,11.64,11.64,000,11.64
2011-05-31,11.64,11.66,11.64,11.66,000,11.66
2011-05-30,11.62,11.68,11.62,11.66,000,11.66
2011-05-27,11.69,11.69,11.64,11.64,000,11.64
2011-05-26,11.75,11.75,11.64,11.68,000,11.68
2011-05-25,11.74,11.79,11.65,11.73,000,11.73
2011-05-24,11.76,11.76,11.71,11.71,000,11.71
2011-05-23,11.88,11.88,11.73,11.74,000,11.74
2011-05-20,11.86,11.86,11.78,11.82,000,11.82
2011-05-19,11.78,11.86,11.77,11.84,000,11.84
2011-05-18,11.69,11.80,11.64,11.78,000,11.78
2011-05-17,11.66,11.70,11.60,11.60,000,11.60
2011-05-16,11.75,11.75,11.57,11.64,000,11.64
2011-05-13,11.61,11.62,11.60,11.60,000,11.60
2011-05-12,11.49,11.62,11.49,11.54,000,11.54
2011-05-11,11.44,11.51,11.44,11.45,000,11.45
2011-05-10,11.43,11.44,11.41,11.41,000,11.41
2011-05-09,11.52,11.52,11.39,11.43,000,11.43
