Date,Open,High,Low,Close,Volume,Adj Close
2011-10-28,43.69,43.69,43.38,43.47,000,43.47
2011-10-27,44.10,44.10,43.60,43.69,000,43.69
2011-10-26,44.30,44.30,44.10,44.10,000,44.10
2011-10-25,44.46,44.46,44.20,44.30,000,44.30
2011-10-24,44.36,44.46,44.36,44.46,000,44.46
2011-10-21,44.79,44.79,44.46,44.46,000,44.46
2011-10-20,44.63,44.90,44.55,44.79,000,44.79
2011-10-19,44.94,44.94,44.60,44.60,000,44.60
2011-10-18,44.67,44.89,44.56,44.56,000,44.56
2011-10-17,44.37,44.67,44.37,44.67,000,44.67
2011-10-14,44.71,44.71,44.36,44.36,000,44.36
2011-10-13,44.74,45.17,44.71,44.71,000,44.71
2011-10-12,45.20,45.20,44.74,44.74,000,44.74
2011-10-11,45.20,45.20,45.10,45.10,000,45.10
2011-10-10,45.78,45.78,45.20,45.20,000,45.20
2011-10-07,46.19,46.19,45.70,45.78,000,45.78
2011-10-06,46.17,46.19,46.10,46.19,000,46.19
2011-10-05,46.63,46.63,46.17,46.17,000,46.17
2011-10-04,46.05,46.60,46.05,46.60,000,46.60
2011-10-03,45.38,46.25,45.10,46.05,000,46.05
2011-09-30,45.15,45.65,45.15,45.38,000,45.38
2011-09-29,45.62,45.62,45.20,45.20,000,45.20
2011-09-28,45.62,45.62,45.50,45.62,000,45.62
2011-09-26,45.65,45.65,45.52,45.65,000,45.65
2011-09-23,45.92,45.92,45.45,45.65,000,45.65
2011-09-22,45.07,45.92,45.07,45.92,000,45.92
2011-09-21,44.82,45.07,44.82,45.07,000,45.07
2011-09-20,44.60,45.17,44.60,44.92,000,44.92
2011-09-19,44.55,45.00,44.55,45.00,000,45.00
2011-09-16,44.35,44.66,44.35,44.66,000,44.66
2011-09-15,44.92,44.92,44.25,44.35,000,44.35
2011-09-14,44.57,45.00,44.57,44.92,000,44.92
2011-09-13,43.81,44.93,43.72,44.92,000,44.92
2011-09-12,43.85,44.16,43.72,43.81,000,43.81
2011-09-09,43.81,43.82,43.72,43.81,000,43.81
2011-09-08,43.81,43.81,43.72,43.81,000,43.81
2011-09-07,43.81,43.86,43.60,43.86,000,43.86
2011-09-06,43.60,43.82,43.60,43.81,000,43.81
2011-09-05,43.32,43.61,43.29,43.60,000,43.60
2011-09-02,43.08,43.30,42.98,43.29,000,43.29
2011-09-01,42.38,43.09,42.28,43.08,000,43.08
2011-08-31,42.37,42.38,42.28,42.38,000,42.38
2011-08-30,42.38,42.65,42.34,42.37,000,42.37
2011-08-29,42.62,42.74,42.38,42.38,000,42.38
2011-08-26,42.67,42.75,42.58,42.74,000,42.74
2011-08-25,42.56,42.70,42.56,42.58,000,42.58
2011-08-24,42.83,42.83,42.47,42.56,000,42.56
2011-08-23,42.67,42.83,42.45,42.83,000,42.83
2011-08-22,42.64,42.85,42.58,42.67,000,42.67
2011-08-19,42.91,43.10,42.69,42.69,000,42.69
2011-08-18,42.41,43.00,42.35,42.91,000,42.91
2011-08-17,42.87,42.94,42.43,42.45,000,42.45
2011-08-16,42.96,42.96,42.68,42.79,000,42.79
2011-08-15,43.36,43.40,42.83,42.91,000,42.91
2011-08-12,43.25,43.38,43.02,43.38,000,43.38
2011-08-11,42.97,43.26,42.88,43.25,000,43.25
2011-08-10,43.15,43.15,42.62,42.97,000,42.97
2011-08-09,43.74,43.75,42.95,43.15,000,43.15
2011-08-08,43.37,43.74,43.37,43.74,000,43.74
2011-08-05,43.20,43.74,43.19,43.74,000,43.74
2011-08-04,43.01,43.20,42.90,43.20,000,43.20
2011-08-03,42.87,43.03,42.87,43.01,000,43.01
2011-08-02,42.99,42.99,42.86,42.86,000,42.86
2011-08-01,42.96,43.02,42.96,42.99,000,42.99
2011-07-29,43.11,43.11,42.98,42.99,000,42.99
2011-07-28,42.90,43.11,42.13,43.11,000,43.11
2011-07-27,42.49,42.90,42.38,42.90,000,42.90
2011-07-26,42.42,42.74,42.42,42.49,000,42.49
2011-07-22,42.97,42.97,42.42,42.86,000,42.86
2011-07-21,43.30,43.33,42.73,42.73,000,42.73
2011-07-20,43.48,43.48,43.33,43.33,000,43.33
2011-07-19,43.68,43.69,43.38,43.48,000,43.48
2011-07-18,43.48,43.69,43.48,43.69,000,43.69
2011-07-15,43.23,43.58,43.12,43.58,000,43.58
2011-07-14,43.75,43.75,43.18,43.18,000,43.18
