Date,Open,High,Low,Close,Volume,Adj Close
2011-09-13,8.03,8.03,8.03,8.03,000,8.03
2011-09-12,8.12,8.18,8.03,8.03,000,8.03
2011-09-09,8.03,8.03,8.03,8.03,000,8.03
2011-09-08,8.02,8.03,8.02,8.03,000,8.03
2011-09-07,8.02,8.10,8.02,8.02,000,8.02
2011-09-06,8.03,8.03,8.02,8.02,000,8.02
2011-09-05,8.05,8.05,8.03,8.03,000,8.03
2011-09-02,8.02,8.03,8.02,8.02,000,8.02
2011-09-01,8.03,8.03,8.02,8.02,000,8.02
2011-08-31,8.03,8.03,8.01,8.03,000,8.03
2011-08-30,8.03,8.03,8.03,8.03,000,8.03
2011-08-29,8.00,8.03,7.98,8.03,000,8.03
2011-08-26,8.03,8.03,8.03,8.03,000,8.03
2011-08-25,8.03,8.03,8.03,8.03,000,8.03
2011-08-24,8.03,8.03,8.03,8.03,000,8.03
2011-08-23,8.03,8.03,8.03,8.03,000,8.03
2011-08-22,7.99,8.03,7.98,8.03,000,8.03
2011-08-19,8.03,8.03,8.03,8.03,000,8.03
2011-08-18,8.03,8.03,8.03,8.03,000,8.03
2011-08-17,8.02,8.04,7.98,8.03,000,8.03
2011-08-16,7.95,8.03,7.95,7.98,000,7.98
2011-08-15,8.03,8.03,7.94,7.94,000,7.94
2011-08-12,8.04,8.04,8.03,8.03,000,8.03
2011-08-11,8.04,8.04,8.04,8.04,000,8.04
2011-08-10,8.04,8.04,7.99,8.04,000,8.04
2011-08-09,8.05,8.05,8.04,8.04,000,8.04
2011-08-08,7.97,8.05,7.94,8.05,000,8.05
2011-08-05,8.09,8.09,8.04,8.04,000,8.04
2011-08-04,8.04,8.09,8.01,8.09,000,8.09
2011-08-03,8.01,8.04,7.96,8.04,000,8.04
2011-08-02,8.03,8.03,8.00,8.00,000,8.00
2011-08-01,7.94,8.03,7.94,8.03,000,8.03
2011-07-29,8.03,8.03,8.03,8.03,000,8.03
2011-07-28,8.02,8.09,8.02,8.03,000,8.03
2011-07-27,8.02,8.02,8.02,8.02,000,8.02
2011-07-26,8.03,8.03,7.95,8.02,000,8.02
2011-07-25,8.05,8.05,8.03,8.03,000,8.03
2011-07-22,8.03,8.04,8.03,8.04,000,8.04
2011-07-21,8.04,8.04,8.00,8.03,000,8.03
2011-07-20,8.03,8.04,8.03,8.04,000,8.04
2011-07-19,8.02,8.03,8.02,8.03,000,8.03
2011-07-18,8.02,8.02,8.02,8.02,000,8.02
2011-07-15,8.02,8.03,8.02,8.03,000,8.03
2011-07-14,8.03,8.03,8.02,8.02,000,8.02
2011-07-13,8.03,8.03,8.03,8.03,000,8.03
2011-07-12,8.02,8.12,8.02,8.03,000,8.03
2011-07-11,8.02,8.08,8.02,8.02,000,8.02
2011-07-08,8.02,8.02,8.02,8.02,000,8.02
2011-07-07,8.02,8.02,8.02,8.02,000,8.02
2011-07-06,8.02,8.02,8.02,8.02,000,8.02
2011-07-05,8.02,8.02,8.02,8.02,000,8.02
2011-07-04,7.99,8.02,7.99,8.02,000,8.02
2011-07-01,7.99,8.02,7.99,8.02,000,8.02
2011-06-30,8.01,8.02,7.99,8.02,000,8.02
2011-06-29,8.02,8.02,8.01,8.01,000,8.01
2011-06-28,7.99,8.02,7.99,8.02,000,8.02
2011-06-27,8.03,8.06,7.99,8.02,000,8.02
2011-06-24,8.02,8.03,8.02,8.02,000,8.02
2011-06-23,8.02,8.02,8.02,8.02,000,8.02
2011-06-22,8.03,8.03,8.02,8.02,000,8.02
2011-06-21,8.03,8.03,7.96,8.03,000,8.03
2011-06-20,8.02,8.06,8.02,8.03,000,8.03
2011-06-17,8.02,8.04,8.02,8.04,000,8.04
2011-06-16,8.02,8.02,8.02,8.02,000,8.02
2011-06-15,8.02,8.02,8.02,8.02,000,8.02
2011-06-14,8.02,8.02,7.98,8.02,000,8.02
2011-06-13,8.07,8.08,8.02,8.02,000,8.02
2011-06-10,8.02,8.07,8.01,8.01,000,8.01
2011-06-09,8.01,8.02,8.00,8.02,000,8.02
2011-06-08,8.01,8.01,8.01,8.01,000,8.01
2011-06-07,8.01,8.01,8.01,8.01,000,8.01
2011-06-06,7.93,8.01,7.93,8.01,000,8.01
2011-06-03,8.02,8.02,8.01,8.01,000,8.01
2011-06-02,8.01,8.02,8.01,8.02,000,8.02
2011-06-01,8.01,8.01,8.01,8.01,000,8.01
2011-05-31,8.01,8.01,8.01,8.01,000,8.01
2011-05-30,7.97,8.01,7.97,8.01,000,8.01
2011-05-27,8.02,8.02,8.02,8.02,000,8.02
2011-05-26,8.01,8.02,8.01,8.02,000,8.02
2011-05-25,8.01,8.05,8.01,8.01,000,8.01
2011-05-24,8.01,8.01,8.01,8.01,000,8.01
2011-05-23,8.05,8.05,8.01,8.01,000,8.01
2011-05-20,8.01,8.01,7.98,8.00,000,8.00
2011-05-19,8.01,8.01,8.00,8.01,000,8.01
2011-05-18,8.00,8.01,7.97,8.01,000,8.01
2011-05-17,8.01,8.01,8.00,8.01,000,8.01
2011-05-16,8.10,8.10,8.01,8.01,000,8.01
2011-05-13,8.00,8.01,8.00,8.01,000,8.01
2011-05-12,8.01,8.01,8.00,8.00,000,8.00
2011-05-11,8.00,8.01,8.00,8.01,000,8.01
2011-05-10,8.00,8.00,8.00,8.00,000,8.00
2011-05-09,8.12,8.12,8.00,8.00,000,8.00
2011-05-06,8.01,8.15,8.01,8.01,000,8.01
