Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,269.52,269.52,268.95,269.52,000,269.52
2012-06-01,269.25,269.38,269.25,269.25,000,269.25
2012-05-30,253.95,253.95,253.95,253.95,000,253.95
2012-05-29,252.86,260.00,252.86,252.86,000,252.86
2012-05-25,255.50,255.50,251.53,255.50,000,255.50
2012-05-24,252.35,252.35,251.63,251.63,000,251.63
2012-05-23,251.50,251.65,251.50,251.65,000,251.65
2012-05-22,250.50,251.68,250.50,251.68,000,251.68
2012-05-21,251.90,251.90,251.90,251.90,000,251.90
2012-05-16,251.71,251.71,251.71,251.71,000,251.71
2012-05-14,251.25,251.50,251.25,251.25,000,251.25
2012-05-11,250.50,250.50,250.50,250.50,000,250.50
2012-05-10,249.50,249.50,249.50,249.50,000,249.50
2012-05-04,166.00,166.88,166.00,166.88,000,166.88
2012-05-03,165.75,165.75,165.75,165.75,000,165.75
2012-05-02,166.70,166.88,166.70,166.70,000,166.70
2012-05-01,166.70,166.88,166.70,166.70,000,166.70
2012-04-30,166.00,166.50,166.00,166.00,000,166.00
2012-04-24,165.75,166.00,165.75,165.75,000,165.75
2012-04-19,166.00,166.00,164.73,166.00,000,166.00
2012-04-18,165.98,166.80,165.98,165.98,000,165.98
2012-04-16,167.00,167.00,164.75,167.00,000,167.00
2012-04-12,167.00,167.00,166.00,167.00,000,167.00
2012-04-11,167.00,167.00,166.00,167.00,000,167.00
2012-04-10,166.00,166.00,166.00,166.00,000,166.00
2012-04-06,169.20,169.20,169.20,169.20,000,169.20
2012-04-05,168.50,168.50,167.00,167.00,000,167.00
2012-04-04,168.50,168.50,167.00,167.00,000,167.00
2012-04-03,167.50,167.50,167.00,167.00,000,167.00
2012-04-02,165.80,167.00,165.80,167.00,000,167.00
2012-03-30,165.80,165.80,165.80,165.80,000,165.80
2012-03-29,165.80,166.25,165.80,165.80,000,165.80
2012-03-28,165.85,166.00,165.85,165.85,000,165.85
2012-03-23,167.25,167.25,167.25,167.25,000,167.25
2012-03-22,166.35,166.75,166.35,167.25,000,167.25
2012-03-20,167.35,167.35,167.25,167.25,000,167.25
2012-03-19,167.12,167.35,167.12,167.12,000,167.12
2012-03-16,165.85,166.12,165.85,165.85,000,165.85
2012-03-15,165.20,167.00,165.20,167.00,000,167.00
2012-03-14,165.75,165.75,165.20,165.75,000,165.75
2012-03-13,165.38,165.55,165.38,165.38,000,165.38
2012-03-12,165.90,165.90,165.30,165.90,000,165.90
2012-03-08,166.50,167.52,166.50,166.50,000,166.50
2012-03-07,166.50,168.00,166.50,166.50,000,166.50
2012-03-06,166.50,167.93,166.50,166.50,000,166.50
2012-03-05,167.10,167.50,167.10,167.10,000,167.10
2012-03-02,166.50,167.38,166.50,167.38,000,167.38
2012-03-01,166.50,167.00,166.50,167.00,000,167.00
2012-02-29,167.00,167.00,166.50,167.00,000,167.00
2012-02-28,167.95,167.95,167.35,167.35,000,167.35
2012-02-27,166.50,167.00,166.50,167.00,000,167.00
2012-02-24,166.50,166.50,166.50,166.50,000,166.50
2012-02-23,165.00,166.00,165.00,165.00,000,165.00
2012-02-17,166.55,166.55,166.12,166.25,000,166.25
2012-02-16,166.00,166.00,166.00,166.00,000,166.00
2012-02-15,165.95,165.95,165.85,165.85,000,165.85
