Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,14.21,14.21,14.21,14.21,000,14.21
2012-06-01,14.33,14.33,14.33,14.33,000,14.33
2012-05-31,14.35,14.35,14.35,14.35,000,14.35
2012-05-30,14.16,14.16,14.16,14.16,000,14.16
2012-05-29,13.88,13.88,13.88,13.88,000,13.88
2012-05-28,13.95,13.95,13.95,13.95,000,13.95
2012-05-25,14.02,14.02,14.02,14.02,000,14.02
2012-05-24,14.02,14.02,14.02,14.02,000,14.02
2012-05-23,14.01,14.01,14.01,14.01,000,14.01
2012-05-22,13.91,13.91,13.91,13.91,000,13.91
2012-05-21,13.70,13.70,13.70,13.70,000,13.70
2012-05-18,13.84,13.84,13.84,13.84,000,13.84
2012-05-17,13.79,13.79,13.79,13.79,000,13.79
2012-05-16,13.76,13.76,13.76,13.76,000,13.76
2012-05-14,13.73,13.73,13.73,13.73,000,13.73
2012-05-11,13.57,13.57,13.57,13.57,000,13.57
2012-05-10,13.55,13.55,13.55,13.55,000,13.55
2012-05-09,13.53,13.53,13.53,13.53,000,13.53
2012-05-08,13.36,13.36,13.36,13.36,000,13.36
2012-05-07,13.16,13.16,13.16,13.16,000,13.16
2012-05-04,13.17,13.17,13.17,13.17,000,13.17
2012-05-03,13.00,13.00,13.00,13.00,000,13.00
2012-05-02,12.94,12.94,12.94,12.94,000,12.94
2012-05-01,12.91,12.91,12.91,12.91,000,12.91
2012-04-30,13.03,13.03,13.03,13.03,000,13.03
2012-04-27,12.97,12.97,12.97,12.97,000,12.97
2012-04-26,13.21,13.21,13.21,13.21,000,13.21
2012-04-25,13.15,13.15,13.15,13.15,000,13.15
2012-04-24,13.17,13.17,13.17,13.17,000,13.17
2012-04-23,13.17,13.17,13.17,13.17,000,13.17
2012-04-20,13.10,13.10,13.10,13.10,000,13.10
2012-04-19,13.21,13.21,13.21,13.21,000,13.21
2012-04-18,13.18,13.18,13.18,13.18,000,13.18
2012-04-17,13.09,13.09,13.09,13.09,000,13.09
2012-04-16,13.21,13.21,13.21,13.21,000,13.21
2012-04-13,13.18,13.18,13.18,13.18,000,13.18
2012-04-12,13.03,13.03,13.03,13.03,000,13.03
2012-04-11,13.16,13.16,13.16,13.16,000,13.16
2012-04-10,13.16,13.16,13.16,13.16,000,13.16
2012-04-09,12.97,12.97,12.97,12.97,000,12.97
2012-04-06,13.03,13.03,13.03,13.03,000,13.03
2012-04-05,12.87,12.87,12.87,12.87,000,12.87
2012-04-04,12.79,12.79,12.79,12.79,000,12.79
2012-04-03,12.78,12.78,12.78,12.78,000,12.78
2012-04-02,12.73,12.73,12.73,12.73,000,12.73
2012-03-30,12.81,12.81,12.81,12.81,000,12.81
2012-03-29,12.80,12.80,12.80,12.80,000,12.80
2012-03-28,12.76,12.76,12.76,12.76,000,12.76
2012-03-27,12.71,12.71,12.71,12.71,000,12.71
2012-03-26,12.67,12.67,12.67,12.67,000,12.67
2012-03-23,12.75,12.75,12.75,12.75,000,12.75
2012-03-22,12.81,12.81,12.81,12.81,000,12.81
2012-03-21,12.71,12.71,12.71,12.71,000,12.71
2012-03-20,12.65,12.65,12.65,12.65,000,12.65
2012-03-19,12.64,12.64,12.64,12.64,000,12.64
2012-03-16,12.67,12.67,12.67,12.67,000,12.67
2012-03-15,12.66,12.66,12.66,12.66,000,12.66
2012-03-14,12.72,12.72,12.72,12.72,000,12.72
2012-03-13,12.56,12.56,12.56,12.56,000,12.56
2012-03-12,12.66,12.66,12.66,12.66,000,12.66
2012-03-08,12.69,12.69,12.69,12.69,000,12.69
2012-03-07,12.87,12.87,12.87,12.87,000,12.87
2012-03-06,13.00,13.00,13.00,13.00,000,13.00
2012-03-05,12.83,12.83,12.83,12.83,000,12.83
2012-03-02,12.76,12.76,12.76,12.76,000,12.76
2012-03-01,12.72,12.72,12.72,12.72,000,12.72
2012-02-29,12.86,12.86,12.86,12.86,000,12.86
2012-02-28,12.84,12.84,12.84,12.84,000,12.84
2012-02-27,12.88,12.88,12.88,12.88,000,12.88
2012-02-24,12.90,12.90,12.90,12.90,000,12.90
2012-02-23,12.82,12.82,12.82,12.82,000,12.82
2012-02-22,12.85,12.85,12.85,12.85,000,12.85
2012-02-21,12.80,12.80,12.80,12.80,000,12.80
2012-02-20,12.72,12.72,12.72,12.72,000,12.72
2012-02-17,12.77,12.77,12.77,12.77,000,12.77
2012-02-16,12.80,12.80,12.80,12.80,000,12.80
2012-02-15,12.88,12.88,12.88,12.88,000,12.88
2012-02-14,12.76,12.76,12.76,12.76,000,12.76
2012-02-13,12.71,12.71,12.71,12.71,000,12.71
2012-02-10,12.80,12.80,12.80,12.80,000,12.80
2012-02-09,12.68,12.68,12.68,12.68,000,12.68
2012-02-08,12.72,12.72,12.72,12.72,000,12.72
2012-02-07,12.67,12.67,12.67,12.67,000,12.67
2012-02-06,12.67,12.67,12.67,12.67,000,12.67
2012-02-03,12.67,12.67,12.67,12.67,000,12.67
2012-02-02,12.80,12.80,12.80,12.80,000,12.80
2012-02-01,12.88,12.88,12.88,12.88,000,12.88
2012-01-31,13.05,13.05,13.05,13.05,000,13.05
2012-01-30,12.98,12.98,12.98,12.98,000,12.98
2012-01-27,12.92,12.92,12.92,12.92,000,12.92
2012-01-26,12.98,12.98,12.98,12.98,000,12.98
2012-01-25,13.02,13.02,13.02,13.02,000,13.02
2012-01-24,13.11,13.11,13.11,13.11,000,13.11
2012-01-23,13.17,13.17,13.17,13.17,000,13.17
2012-01-20,13.18,13.18,13.18,13.18,000,13.18
2012-01-19,13.22,13.22,13.22,13.22,000,13.22
2012-01-18,13.31,13.31,13.31,13.31,000,13.31
2012-01-17,13.43,13.43,13.43,13.43,000,13.43
2012-01-16,13.56,13.56,13.56,13.56,000,13.56
2012-01-13,13.60,13.60,13.60,13.60,000,13.60
2012-01-12,13.52,13.52,13.52,13.52,000,13.52
2012-01-11,13.60,13.60,13.60,13.60,000,13.60
2012-01-10,13.63,13.63,13.63,13.63,000,13.63
2012-01-09,13.70,13.70,13.70,13.70,000,13.70
2012-01-06,13.72,13.72,13.72,13.72,000,13.72
2012-01-05,13.76,13.76,13.76,13.76,000,13.76
2012-01-04,13.70,13.70,13.70,13.70,000,13.70
2012-01-03,13.65,13.65,13.65,13.65,000,13.65
2012-01-02,13.92,13.92,13.92,13.92,000,13.92
2011-12-30,13.95,13.95,13.95,13.95,000,13.95
2011-12-29,14.01,14.01,14.01,14.01,000,14.01
2011-12-28,13.99,13.99,13.99,13.99,000,13.99
2011-12-27,14.02,14.02,14.02,14.02,000,14.02
2011-12-26,13.86,13.86,13.86,13.86,000,13.86
2011-12-23,13.84,13.84,13.84,13.84,000,13.84
2011-12-22,13.81,13.81,13.81,13.81,000,13.81
2011-12-21,13.83,13.83,13.83,13.83,000,13.83
2011-12-20,13.78,13.78,13.78,13.78,000,13.78
2011-12-19,13.90,13.90,13.90,13.90,000,13.90
2011-12-16,13.88,13.88,13.88,13.88,000,13.88
2011-12-15,13.90,13.90,13.90,13.90,000,13.90
2011-12-14,13.89,13.89,13.89,13.89,000,13.89
2011-12-13,13.87,13.87,13.87,13.87,000,13.87
2011-12-12,13.85,13.85,13.85,13.85,000,13.85
2011-12-09,13.57,13.57,13.57,13.57,000,13.57
2011-12-08,13.70,13.70,13.70,13.70,000,13.70
2011-12-07,13.51,13.51,13.51,13.51,000,13.51
2011-12-06,13.48,13.48,13.48,13.48,000,13.48
2011-12-05,13.53,13.53,13.53,13.53,000,13.53
2011-12-02,13.64,13.64,13.64,13.64,000,13.64
2011-12-01,13.62,13.62,13.62,13.62,000,13.62
2011-11-30,13.63,13.63,13.63,13.63,000,13.63
2011-11-29,13.81,13.81,13.81,13.81,000,13.81
2011-11-28,14.03,14.03,14.03,14.03,000,14.03
2011-11-25,14.21,14.21,14.21,14.21,000,14.21
2011-11-24,14.20,14.20,14.20,14.20,000,14.20
2011-11-23,14.12,14.12,14.12,14.12,000,14.12
2011-11-22,13.98,13.98,13.98,13.98,000,13.98
2011-11-21,14.01,14.01,14.01,14.01,000,14.01
2011-11-18,13.73,13.73,13.73,13.73,000,13.73
2011-11-17,13.73,13.73,13.73,13.73,000,13.73
2011-11-16,13.63,13.63,13.63,13.63,000,13.63
2011-11-15,13.58,13.58,13.58,13.58,000,13.58
2011-11-14,13.51,13.51,13.51,13.51,000,13.51
2011-11-11,13.48,13.48,13.48,13.48,000,13.48
