Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,161.25,161.35,161.25,161.25,000,161.25
2012-06-01,160.00,160.00,160.00,160.00,000,160.00
2012-05-31,159.88,160.00,159.88,160.00,000,160.00
2012-05-29,159.73,159.73,159.25,159.73,000,159.73
2012-05-25,159.75,160.25,159.75,160.25,000,160.25
2012-05-23,159.30,159.30,159.30,159.30,000,159.30
2012-05-22,157.60,159.00,157.60,157.60,000,157.60
2012-05-21,158.88,158.88,158.88,158.88,000,158.88
2012-05-16,158.00,158.00,158.00,158.00,000,158.00
2012-05-15,158.00,158.15,158.00,158.00,000,158.00
2012-05-14,157.84,157.90,157.84,157.84,000,157.84
2012-05-11,157.60,157.90,157.60,157.90,000,157.90
2012-05-10,157.75,157.75,157.60,157.75,000,157.75
2012-05-07,157.32,157.45,157.32,157.32,000,157.32
2012-05-04,157.40,157.40,157.20,157.40,000,157.40
2012-05-03,157.15,157.25,157.15,157.15,000,157.15
2012-05-02,157.45,157.45,157.35,157.45,000,157.45
2012-05-01,157.45,157.45,157.45,157.45,000,157.45
2012-04-30,157.75,157.75,157.55,157.55,000,157.55
2012-04-19,157.34,157.34,157.25,157.25,000,157.25
2012-04-18,157.52,157.60,157.52,157.60,000,157.60
2012-04-17,157.62,157.65,157.62,157.62,000,157.62
2012-04-16,157.62,157.62,157.55,157.62,000,157.62
2012-04-12,157.62,157.85,157.62,157.62,000,157.62
2012-04-11,157.62,157.85,157.62,157.62,000,157.62
2012-04-10,157.85,157.85,157.85,157.85,000,157.85
2012-04-09,157.80,157.80,157.62,157.80,000,157.80
2012-04-06,157.80,157.80,157.80,157.80,000,157.80
2012-04-05,157.80,157.80,157.62,157.62,000,157.62
2012-04-04,157.90,157.90,157.62,157.62,000,157.62
2012-04-03,157.90,157.90,157.62,157.62,000,157.62
2012-04-02,157.90,157.90,157.62,157.62,000,157.62
2012-03-30,157.90,157.90,157.90,157.90,000,157.90
2012-03-29,157.62,157.90,157.62,157.90,000,157.90
2012-03-28,157.60,157.90,157.60,157.90,000,157.90
2012-03-23,157.70,157.70,157.70,157.70,000,157.70
2012-03-22,157.70,157.70,157.70,157.70,000,157.70
2012-03-20,157.85,157.85,157.70,157.70,000,157.70
2012-03-16,158.05,158.05,157.75,157.75,000,157.75
2012-03-15,157.80,157.80,157.62,157.62,000,157.62
2012-03-14,157.75,157.80,157.75,157.75,000,157.75
2012-03-12,158.23,158.23,158.20,158.23,000,158.23
2012-03-08,157.65,157.65,157.50,157.50,000,157.50
2012-03-07,157.75,157.75,157.62,157.62,000,157.62
2012-03-06,158.05,158.05,158.05,158.05,000,158.05
2012-03-05,157.65,157.77,157.65,157.77,000,157.77
2012-03-02,157.85,157.85,157.85,157.85,000,157.85
2012-03-01,157.90,157.90,157.75,157.75,000,157.75
2012-02-29,157.75,157.90,157.75,157.75,000,157.75
2012-02-28,157.75,157.75,157.65,157.65,000,157.65
2012-02-27,156.50,157.75,156.50,157.75,000,157.75
2012-02-24,156.95,156.95,156.50,156.95,000,156.95
2012-02-23,157.12,157.12,156.95,157.12,000,157.12
2012-02-21,157.88,157.88,157.80,157.88,000,157.88
2012-02-17,157.80,158.25,157.80,157.80,000,157.80
2012-02-16,158.20,158.20,158.20,158.20,000,158.20
2012-02-15,159.18,159.18,158.55,158.55,000,158.55
2012-02-14,159.32,159.32,158.75,159.32,000,159.32
2012-02-13,158.99,159.15,158.99,158.99,000,158.99
2012-02-10,159.25,159.25,159.02,159.25,000,159.25
2012-02-08,159.65,159.93,159.65,159.93,000,159.93
2012-02-07,160.30,160.30,160.15,160.15,000,160.15
2012-02-06,160.00,160.45,160.00,160.00,000,160.00
2012-02-03,160.65,160.65,160.62,160.62,000,160.62
2012-02-02,161.25,161.25,161.25,161.25,000,161.25
2012-02-01,161.25,161.25,161.20,161.20,000,161.20
2012-01-31,161.25,161.25,161.25,161.25,000,161.25
2012-01-26,160.48,160.80,160.48,160.48,000,160.48
2012-01-25,160.40,160.40,160.00,160.40,000,160.40
2012-01-24,161.45,161.45,161.12,161.12,000,161.12
2012-01-23,161.65,161.80,161.65,161.80,000,161.80
2012-01-18,162.65,162.65,161.45,162.07,000,162.07
2012-01-16,163.25,163.25,163.25,163.25,000,163.25
2012-01-13,162.05,162.05,162.05,162.05,000,162.05
2012-01-12,162.05,162.05,162.05,162.05,000,162.05
2012-01-11,162.05,162.05,162.05,162.05,000,162.05
2012-01-10,162.58,162.58,162.58,162.58,000,162.58
2012-01-06,160.07,160.07,160.05,160.05,000,160.05
2012-01-05,160.05,160.05,160.05,160.05,000,160.05
2012-01-04,163.15,163.15,163.15,163.15,000,163.15
2012-01-03,162.45,162.45,162.45,162.45,000,162.45
2012-01-02,163.25,163.25,163.25,163.25,000,163.25
2011-12-30,163.25,163.25,163.25,163.25,000,163.25
2011-12-29,163.25,163.25,163.25,163.25,000,163.25
2011-12-28,165.10,165.10,165.10,165.10,000,165.10
2011-12-27,162.45,165.05,162.45,165.05,000,165.05
2011-12-26,165.10,165.10,165.10,165.10,000,165.10
2011-12-23,164.10,164.10,164.10,164.10,000,164.10
2011-12-22,164.10,164.10,164.10,164.10,000,164.10
2011-12-16,162.30,162.30,162.30,162.30,000,162.30
2011-12-15,162.75,162.75,162.20,162.75,000,162.75
2011-12-14,162.75,162.75,162.55,162.75,000,162.75
2011-12-13,162.35,162.35,162.35,162.35,000,162.35
2011-12-12,162.35,162.35,162.35,161.45,000,161.45
2011-12-06,161.45,161.75,161.45,161.45,000,161.45
2011-12-05,161.65,161.65,161.65,161.65,000,161.65
2011-12-02,161.45,161.45,161.45,161.45,000,161.45
2011-12-01,161.45,161.45,161.45,161.45,000,161.45
2011-11-30,161.38,161.38,161.25,161.25,000,161.25
2011-11-28,160.12,160.25,160.12,160.12,000,160.12
2011-11-25,159.55,159.55,159.55,159.55,000,159.55
2011-11-24,158.75,158.75,158.75,158.75,000,158.75
2011-11-23,159.37,159.37,159.37,159.37,000,159.37
2011-11-22,160.05,160.05,160.05,160.05,000,160.05
2011-11-21,158.75,158.88,158.75,158.88,000,158.88
2011-11-18,158.80,158.80,158.50,158.80,000,158.80
2011-11-17,159.40,159.40,159.40,159.40,000,159.40
2011-11-16,158.95,158.95,158.90,158.90,000,158.90
2011-11-15,159.40,159.40,159.40,159.40,000,159.40
2011-11-14,158.68,158.75,158.68,158.68,000,158.68
2011-11-11,158.75,158.75,158.75,158.75,000,158.75
2011-11-10,158.62,158.62,158.60,158.60,000,158.60
2011-11-09,158.45,158.45,158.45,158.45,000,158.45
2011-11-07,157.43,157.43,157.35,157.43,000,157.43
2011-11-04,156.95,156.95,156.95,156.95,000,156.95
2011-11-03,158.25,158.25,158.25,158.25,000,158.25
2011-11-02,159.95,159.95,159.95,159.95,000,159.95
2011-11-01,159.45,159.45,159.45,159.45,000,159.45
2011-10-27,160.62,160.90,160.62,160.62,000,160.62
2011-10-26,159.88,160.10,159.88,159.88,000,159.88
2011-10-25,158.12,158.12,158.12,158.12,000,158.12
2011-10-24,159.15,160.50,159.10,159.10,000,159.10
2011-10-20,159.35,159.35,159.35,159.35,000,159.35
2011-10-19,158.65,158.65,158.65,158.65,000,158.65
2011-10-18,157.10,157.10,157.10,157.10,000,157.10
2011-10-17,163.10,163.10,162.88,157.10,000,157.10
2011-10-14,157.10,157.10,157.10,157.10,000,157.10
2011-10-13,157.10,157.10,157.10,157.10,000,157.10
2011-10-07,164.25,164.25,164.25,164.25,000,164.25
2011-10-06,161.65,161.65,161.65,161.65,000,161.65
2011-10-05,159.25,159.25,159.25,159.25,000,159.25
2011-10-04,158.00,158.00,158.00,158.00,000,158.00
2011-10-03,159.75,159.88,159.75,158.00,000,158.00
2011-09-30,158.00,158.00,158.00,158.00,000,158.00
2011-09-29,158.45,158.45,158.45,158.00,000,158.00
2011-09-27,158.00,158.25,158.00,158.00,000,158.00
2011-09-26,157.88,158.10,157.88,157.88,000,157.88
2011-09-23,157.88,157.88,157.88,157.88,000,157.88
2011-09-22,157.55,157.55,157.45,157.88,000,157.88
2011-09-21,157.25,157.88,157.25,157.88,000,157.88
2011-09-20,156.90,157.12,156.90,157.12,000,157.12
2011-09-19,154.85,154.85,154.85,154.85,000,154.85
2011-09-14,155.45,156.40,155.45,155.45,000,155.45
2011-09-13,155.37,155.55,155.37,155.55,000,155.55
2011-09-12,154.10,155.43,154.10,155.37,000,155.37
2011-09-09,155.12,155.70,152.44,155.30,000,155.30
2011-09-08,156.15,156.15,155.12,155.12,000,155.12
2011-09-07,155.65,156.36,155.65,156.15,000,156.15
2011-09-06,155.39,155.75,154.68,155.65,000,155.65
2011-09-05,155.34,155.39,155.34,155.39,000,155.39
2011-09-02,154.65,154.85,154.65,154.82,000,154.82
2011-09-01,154.85,154.90,154.63,154.74,000,154.74
2011-08-31,154.84,155.00,154.50,155.00,000,155.00
2011-08-30,154.66,155.00,154.66,155.00,000,155.00
2011-08-29,154.10,154.66,153.69,154.66,000,154.66
2011-08-26,154.65,154.85,154.65,154.85,000,154.85
2011-08-25,154.45,154.45,154.45,154.45,000,154.45
2011-08-24,156.01,156.01,154.20,155.26,000,155.26
2011-08-23,152.71,156.01,152.71,155.99,000,155.99
2011-08-22,152.79,155.35,152.71,152.71,000,152.71
2011-08-19,153.88,153.88,153.66,153.70,000,153.70
2011-08-18,153.90,154.00,153.88,153.90,000,153.90
2011-08-17,153.71,154.13,153.10,153.88,000,153.88
2011-08-16,150.74,153.95,150.74,153.10,000,153.10
2011-08-15,153.81,154.05,150.56,150.58,000,150.58
2011-08-12,153.96,154.05,153.91,153.91,000,153.91
2011-08-11,153.99,154.32,153.99,153.99,000,153.99
2011-08-10,152.37,154.05,151.43,153.99,000,153.99
2011-08-09,152.61,152.95,152.37,152.37,000,152.37
2011-08-08,153.55,153.55,151.04,152.61,000,152.61
2011-08-05,153.70,153.70,152.93,153.40,000,153.40
2011-08-04,152.50,153.70,152.02,153.70,000,153.70
2011-08-03,151.85,152.75,150.96,152.50,000,152.50
2011-08-02,152.60,152.60,151.67,151.80,000,151.80
2011-08-01,150.61,152.60,150.61,152.45,000,152.45
2011-07-29,153.24,153.25,152.29,153.12,000,153.12
2011-07-28,152.87,153.74,152.80,153.05,000,153.05
2011-07-27,152.24,152.90,152.24,152.48,000,152.48
2011-07-26,152.45,152.45,150.73,152.37,000,152.37
2011-07-22,152.38,152.52,152.23,152.45,000,152.45
2011-07-21,152.30,152.40,151.57,152.40,000,152.40
2011-07-20,152.30,152.35,152.24,152.30,000,152.30
2011-07-19,151.90,152.30,151.90,152.24,000,152.24
2011-07-18,152.55,152.55,151.90,151.90,000,151.90
2011-07-15,152.24,152.50,152.24,152.50,000,152.50
2011-07-14,152.35,152.47,152.30,152.47,000,152.47
2011-07-13,152.49,152.70,152.24,152.25,000,152.25
2011-07-12,153.24,153.96,151.72,151.72,000,151.72
2011-07-11,153.13,154.34,152.00,152.12,000,152.12
2011-07-08,153.29,153.50,153.07,153.50,000,153.50
2011-07-07,153.49,153.49,152.65,153.29,000,153.29
2011-07-06,152.65,153.49,152.65,153.49,000,153.49
2011-07-05,151.57,153.50,151.57,153.49,000,153.49
2011-07-04,149.59,151.57,149.59,151.57,000,151.57
2011-07-01,151.43,152.70,149.99,149.99,000,149.99
2011-06-30,153.74,153.74,151.43,152.25,000,152.25
2011-06-29,154.24,154.24,153.60,153.99,000,153.99
2011-06-28,154.40,154.40,154.13,154.15,000,154.15
2011-06-27,156.98,157.54,154.29,155.62,000,155.62
2011-06-24,156.74,157.05,156.68,156.68,000,156.68
2011-06-23,156.70,156.75,156.45,156.74,000,156.74
2011-06-22,156.70,156.75,156.46,156.62,000,156.62
2011-06-21,156.74,156.74,155.32,156.65,000,156.65
2011-06-20,156.36,157.18,156.36,156.80,000,156.80
2011-06-17,156.77,156.90,156.63,156.74,000,156.74
2011-06-16,156.70,156.90,156.70,156.90,000,156.90
2011-06-15,157.05,157.19,156.65,156.80,000,156.80
2011-06-14,156.15,157.05,155.12,156.40,000,156.40
2011-06-13,156.23,156.50,155.65,156.13,000,156.13
2011-06-10,154.85,156.30,154.79,155.45,000,155.45
2011-06-09,155.15,155.20,154.96,155.02,000,155.02
2011-06-08,155.35,155.35,155.15,155.35,000,155.35
2011-06-07,155.24,155.40,155.15,155.37,000,155.37
2011-06-06,153.74,155.45,153.71,154.84,000,154.84
2011-06-03,155.65,155.65,155.30,155.65,000,155.65
2011-06-02,155.87,156.37,155.65,155.74,000,155.74
2011-06-01,156.85,156.85,156.19,156.37,000,156.37
2011-05-31,156.63,156.75,156.21,156.21,000,156.21
2011-05-30,155.96,156.85,155.96,156.63,000,156.63
2011-05-27,156.80,157.10,156.80,156.90,000,156.90
2011-05-26,157.65,157.65,156.80,157.32,000,157.32
2011-05-25,156.85,157.65,156.85,157.63,000,157.63
2011-05-24,156.70,157.20,156.70,156.85,000,156.85
2011-05-23,156.68,156.80,156.54,156.54,000,156.54
2011-05-20,156.65,156.70,155.67,156.70,000,156.70
2011-05-19,156.66,156.87,156.49,156.63,000,156.63
2011-05-18,155.51,156.66,154.85,156.66,000,156.66
2011-05-17,155.24,155.88,155.24,155.87,000,155.87
2011-05-16,158.37,158.37,155.90,155.96,000,155.96
2011-05-13,156.48,156.85,155.99,156.85,000,156.85
2011-05-12,156.96,157.25,156.48,157.25,000,157.25
2011-05-11,156.24,156.96,156.24,156.95,000,156.95
2011-05-10,155.43,156.35,155.43,156.35,000,156.35
2011-05-09,157.29,157.29,155.43,155.43,000,155.43
2011-05-06,154.73,157.51,154.73,154.87,000,154.87
2011-05-05,154.74,154.90,154.73,154.90,000,154.90
2011-05-04,154.26,154.90,154.26,154.80,000,154.80
2011-05-03,154.34,155.00,154.25,155.00,000,155.00
2011-05-02,155.27,155.27,154.34,154.34,000,154.34
2011-04-29,154.35,154.85,153.90,154.68,000,154.68
2011-04-28,154.47,154.88,152.67,154.62,000,154.62
2011-04-27,154.95,154.95,154.11,154.47,000,154.47
2011-04-26,155.33,155.33,154.80,154.82,000,154.82
2011-04-25,155.33,155.33,154.80,154.80,000,154.80
2011-04-22,154.80,154.80,154.80,154.80,000,154.80
2011-04-21,154.65,154.95,153.78,154.80,000,154.80
2011-04-20,154.39,154.75,154.39,154.74,000,154.74
2011-04-19,155.03,155.03,154.39,154.39,000,154.39
2011-04-18,155.24,155.24,154.50,154.50,000,154.50
2011-04-15,155.33,155.33,154.46,154.90,000,154.90
