Date,Open,High,Low,Close,Volume,Adj Close
2011-09-13,22.63,22.65,22.63,22.65,000,22.65
2011-09-12,22.87,23.05,22.63,22.63,000,22.63
2011-09-09,22.63,22.64,22.63,22.64,000,22.64
2011-09-08,22.59,22.63,22.59,22.63,000,22.63
2011-09-07,22.61,22.83,22.59,22.59,000,22.59
2011-09-06,22.62,22.62,22.61,22.61,000,22.61
2011-09-05,22.69,22.69,22.62,22.62,000,22.62
2011-09-02,22.61,22.64,22.60,22.60,000,22.60
2011-09-01,22.60,22.61,22.60,22.61,000,22.61
2011-08-31,22.60,22.60,22.55,22.60,000,22.60
2011-08-30,22.59,22.60,22.59,22.60,000,22.60
2011-08-29,22.55,22.59,22.43,22.59,000,22.59
2011-08-26,22.59,22.59,22.59,22.59,000,22.59
2011-08-25,22.58,22.58,22.58,22.58,000,22.58
2011-08-24,22.58,22.58,22.58,22.58,000,22.58
2011-08-23,22.57,22.58,22.57,22.58,000,22.58
2011-08-22,22.43,22.57,22.42,22.57,000,22.57
2011-08-19,22.56,22.56,22.56,22.56,000,22.56
2011-08-18,22.57,22.57,22.56,22.56,000,22.56
2011-08-17,22.53,22.60,22.44,22.57,000,22.57
2011-08-16,22.32,22.56,22.32,22.47,000,22.47
2011-08-15,22.54,22.55,22.30,22.30,000,22.30
2011-08-12,22.56,22.56,22.54,22.54,000,22.54
2011-08-11,22.54,22.56,22.54,22.56,000,22.56
2011-08-10,22.54,22.54,22.40,22.54,000,22.54
2011-08-09,22.55,22.55,22.54,22.54,000,22.54
2011-08-08,22.53,22.55,22.25,22.55,000,22.55
2011-08-05,22.69,22.69,22.52,22.52,000,22.52
2011-08-04,22.53,22.69,22.46,22.69,000,22.69
2011-08-03,22.46,22.54,22.32,22.53,000,22.53
2011-08-02,22.51,22.51,22.43,22.45,000,22.45
2011-08-01,22.28,22.51,22.28,22.51,000,22.51
2011-07-29,22.51,22.51,22.51,22.51,000,22.51
2011-07-28,22.50,22.68,22.50,22.51,000,22.51
2011-07-27,22.49,22.50,22.49,22.50,000,22.50
2011-07-26,22.48,22.49,22.28,22.49,000,22.49
2011-07-25,22.54,22.54,22.48,22.48,000,22.48
2011-07-22,22.48,22.53,22.48,22.53,000,22.53
2011-07-21,22.51,22.51,22.41,22.48,000,22.48
2011-07-20,22.47,22.51,22.47,22.51,000,22.51
2011-07-19,22.44,22.47,22.44,22.47,000,22.47
2011-07-18,22.45,22.45,22.44,22.44,000,22.44
2011-07-15,22.45,22.46,22.45,22.46,000,22.46
2011-07-14,22.47,22.47,22.45,22.45,000,22.45
2011-07-13,22.46,22.47,22.46,22.47,000,22.47
2011-07-12,22.46,22.73,22.46,22.46,000,22.46
2011-07-11,22.47,22.63,22.46,22.46,000,22.46
2011-07-08,22.44,22.44,22.44,22.44,000,22.44
2011-07-07,22.44,22.44,22.44,22.44,000,22.44
2011-07-06,22.43,22.44,22.43,22.44,000,22.44
2011-07-05,22.42,22.43,22.42,22.43,000,22.43
2011-07-04,22.39,22.42,22.39,22.42,000,22.42
2011-07-01,22.35,22.42,22.33,22.42,000,22.42
2011-06-30,22.40,22.42,22.35,22.42,000,22.42
2011-06-29,22.41,22.41,22.40,22.40,000,22.40
2011-06-28,22.31,22.41,22.31,22.41,000,22.41
2011-06-27,22.42,22.50,22.31,22.40,000,22.40
2011-06-24,22.38,22.43,22.38,22.38,000,22.38
2011-06-23,22.40,22.40,22.38,22.38,000,22.38
2011-06-22,22.39,22.40,22.39,22.40,000,22.40
2011-06-21,22.39,22.39,22.19,22.39,000,22.39
2011-06-20,22.31,22.46,22.31,22.38,000,22.38
2011-06-17,22.36,22.38,22.36,22.38,000,22.38
2011-06-16,22.36,22.36,22.36,22.36,000,22.36
2011-06-15,22.37,22.39,22.36,22.36,000,22.36
2011-06-14,22.36,22.37,22.25,22.37,000,22.37
2011-06-13,22.50,22.55,22.36,22.36,000,22.36
2011-06-10,22.35,22.52,22.35,22.35,000,22.35
2011-06-09,22.35,22.35,22.32,22.35,000,22.35
2011-06-08,22.35,22.35,22.35,22.35,000,22.35
2011-06-07,22.33,22.35,22.33,22.35,000,22.35
2011-06-06,22.16,22.33,22.11,22.33,000,22.33
2011-06-03,22.33,22.34,22.33,22.34,000,22.34
2011-06-02,22.33,22.36,22.33,22.33,000,22.33
2011-06-01,22.33,22.34,22.33,22.34,000,22.34
2011-05-31,22.31,22.33,22.31,22.33,000,22.33
2011-05-30,22.21,22.31,22.21,22.31,000,22.31
2011-05-27,22.32,22.32,22.32,22.32,000,22.32
2011-05-26,22.31,22.32,22.31,22.32,000,22.32
2011-05-25,22.31,22.41,22.31,22.31,000,22.31
2011-05-24,22.30,22.31,22.30,22.31,000,22.31
2011-05-23,22.41,22.41,22.30,22.30,000,22.30
2011-05-20,22.28,22.28,22.22,22.28,000,22.28
2011-05-19,22.29,22.29,22.26,22.28,000,22.28
2011-05-18,22.27,22.29,22.18,22.29,000,22.29
2011-05-17,22.28,22.29,22.27,22.29,000,22.29
2011-05-16,22.54,22.54,22.28,22.28,000,22.28
2011-05-13,22.25,22.28,22.25,22.28,000,22.28
2011-05-12,22.27,22.27,22.25,22.25,000,22.25
2011-05-11,22.26,22.27,22.26,22.27,000,22.27
2011-05-10,22.25,22.26,22.25,22.26,000,22.26
2011-05-09,22.31,22.46,22.25,22.25,000,22.25
2011-05-06,22.25,22.65,22.25,22.26,000,22.26
2011-05-05,22.25,22.25,22.25,22.25,000,22.25
2011-05-04,22.23,22.25,22.18,22.25,000,22.25
2011-05-03,22.23,22.32,22.23,22.23,000,22.23
2011-05-02,22.29,22.29,22.23,22.23,000,22.23
2011-04-29,22.24,22.24,22.20,22.23,000,22.23
2011-04-28,22.23,22.24,21.97,22.24,000,22.24
2011-04-27,22.23,22.23,22.13,22.23,000,22.23
2011-04-26,22.30,22.30,22.23,22.23,000,22.23
2011-04-25,22.30,22.30,22.30,22.30,000,22.30
2011-04-22,22.22,22.22,22.22,22.22,000,22.22
2011-04-21,22.21,22.22,22.07,22.22,000,22.22
2011-04-20,22.20,22.20,22.20,22.20,000,22.20
2011-04-19,22.19,22.20,22.19,22.20,000,22.20
2011-04-18,22.20,22.20,22.19,22.19,000,22.19
2011-04-15,22.21,22.21,22.09,22.19,000,22.19
2011-04-14,22.19,22.21,22.18,22.21,000,22.21
2011-04-13,22.15,22.19,22.15,22.19,000,22.19
2011-04-12,22.18,22.28,22.15,22.18,000,22.18
2011-04-11,22.16,22.18,22.16,22.18,000,22.18
2011-04-08,22.15,22.16,21.99,22.16,000,22.16
2011-04-07,22.16,22.20,22.15,22.15,000,22.15
2011-04-06,22.15,22.16,22.15,22.16,000,22.16
2011-04-05,22.15,22.15,22.15,22.15,000,22.15
2007-01-04,17.92,17.93,17.92,17.77,000,17.77
2007-01-01,17.77,17.77,17.77,17.77,000,17.77
2006-12-29,17.92,17.93,17.90,17.77,000,17.77
2006-12-25,17.77,17.77,17.77,17.77,000,17.77
2006-12-22,17.92,17.93,17.91,17.77,000,17.77
2006-12-07,17.77,17.82,17.72,17.77,000,17.77
2006-12-01,17.75,17.80,17.70,17.81,000,17.81
2006-11-21,17.81,17.87,17.76,17.81,000,17.81
2006-10-13,17.72,17.79,17.67,17.72,000,17.72
2006-10-09,17.72,17.77,17.67,17.72,000,17.72
2006-07-04,17.18,17.23,17.13,17.18,000,17.18
2006-06-08,17.18,17.23,17.13,17.18,000,17.18
2006-04-11,17.11,17.16,17.06,17.11,000,17.11
2006-01-09,16.45,16.50,16.40,16.45,000,16.45
2005-12-30,16.45,16.50,16.40,16.45,000,16.45
2005-12-29,16.45,16.50,16.40,16.45,000,16.45
2005-12-28,16.45,16.50,16.40,16.45,000,16.45
2005-12-21,16.45,16.50,16.40,16.45,000,16.45
2005-12-15,16.77,16.77,16.77,16.77,000,16.77
2005-12-14,16.82,16.40,16.40,16.77,000,16.77
