Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,43.51,43.51,43.51,43.51,000,43.51
2012-06-01,43.53,43.53,43.53,43.53,000,43.53
2012-05-31,43.43,43.43,43.43,43.43,000,43.43
2012-05-30,43.54,43.54,43.54,43.54,000,43.54
2012-05-29,43.27,43.27,43.27,43.27,000,43.27
2012-05-28,43.55,43.55,43.55,43.55,000,43.55
2012-05-25,43.79,43.79,43.79,43.79,000,43.79
2012-05-24,43.75,43.75,43.75,43.75,000,43.75
2012-05-23,43.49,43.49,43.49,43.49,000,43.49
2012-05-22,43.15,43.15,43.15,43.15,000,43.15
2012-05-21,43.19,43.19,43.19,43.19,000,43.19
2012-05-18,43.14,43.14,43.14,43.14,000,43.14
2012-05-17,42.90,42.90,42.90,42.90,000,42.90
2012-05-16,43.01,43.01,43.01,43.01,000,43.01
2012-05-14,42.90,42.90,42.90,42.90,000,42.90
2012-05-11,42.55,42.55,42.55,42.55,000,42.55
2012-05-10,42.46,42.46,42.46,42.46,000,42.46
2012-05-09,42.55,42.55,42.55,42.55,000,42.55
2012-05-08,42.35,42.35,42.35,42.35,000,42.35
2012-05-07,42.42,42.42,42.42,42.42,000,42.42
2012-05-04,42.30,42.30,42.30,42.30,000,42.30
2012-05-03,42.23,42.23,42.23,42.23,000,42.23
2012-05-02,42.24,42.24,42.24,42.24,000,42.24
2012-05-01,42.19,42.19,42.19,42.19,000,42.19
2012-04-30,42.18,42.18,42.18,42.18,000,42.18
2012-04-27,42.28,42.28,42.28,42.28,000,42.28
2012-04-26,42.45,42.45,42.45,42.45,000,42.45
2012-04-25,42.67,42.67,42.67,42.67,000,42.67
2012-04-24,42.79,42.79,42.79,42.79,000,42.79
2012-04-23,42.70,42.70,42.70,42.70,000,42.70
2012-04-20,42.55,42.55,42.55,42.55,000,42.55
2012-04-19,42.64,42.64,42.64,42.64,000,42.64
2012-04-18,42.64,42.64,42.64,42.64,000,42.64
2012-04-17,42.67,42.67,42.67,42.67,000,42.67
2012-04-16,42.80,42.80,42.80,42.80,000,42.80
2012-04-13,42.68,42.68,42.68,42.68,000,42.68
2012-04-12,42.70,42.70,42.70,42.70,000,42.70
2012-04-11,42.75,42.75,42.75,42.75,000,42.75
2012-04-10,42.83,42.83,42.83,42.83,000,42.83
2012-04-09,42.92,42.92,42.92,42.92,000,42.92
2012-04-06,42.76,42.76,42.76,42.76,000,42.76
2012-04-05,42.78,42.78,42.78,42.78,000,42.78
2012-04-04,42.76,42.76,42.76,42.76,000,42.76
2012-04-03,42.71,42.71,42.71,42.71,000,42.71
2012-04-02,42.71,42.71,42.71,42.71,000,42.71
2012-03-30,42.94,42.94,42.94,42.94,000,42.94
2012-03-29,42.99,42.99,42.99,42.99,000,42.99
2012-03-28,42.90,42.90,42.90,42.90,000,42.90
2012-03-27,42.91,42.91,42.91,42.91,000,42.91
2012-03-26,42.99,42.99,42.99,42.99,000,42.99
2012-03-23,42.98,42.98,42.98,42.98,000,42.98
2012-03-22,43.05,43.05,43.05,43.05,000,43.05
2012-03-21,43.07,43.07,43.07,43.07,000,43.07
2012-03-20,43.08,43.08,43.08,43.08,000,43.08
2012-03-19,42.95,42.95,42.95,42.95,000,42.95
2012-03-16,43.02,43.02,43.02,43.02,000,43.02
2012-03-15,43.05,43.05,43.05,43.05,000,43.05
2012-03-14,42.87,42.87,42.87,42.87,000,42.87
2012-03-13,42.78,42.78,42.78,42.78,000,42.78
2012-03-12,42.72,42.72,42.72,42.72,000,42.72
2012-03-08,42.60,42.60,42.60,42.60,000,42.60
2012-03-07,42.93,42.93,42.93,42.93,000,42.93
2012-03-06,43.06,43.06,43.06,43.06,000,43.06
2012-03-05,42.83,42.83,42.83,42.83,000,42.83
