Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,33.49,33.49,33.49,33.49,000,33.49
2012-06-01,33.69,33.69,33.69,33.69,000,33.69
2012-05-31,33.40,33.40,33.40,33.40,000,33.40
2012-05-30,32.82,32.82,32.82,32.82,000,32.82
2012-05-29,32.31,32.31,32.31,32.31,000,32.31
2012-05-28,32.08,32.08,32.08,32.08,000,32.08
2012-05-25,31.99,31.99,31.99,31.99,000,31.99
2012-05-24,31.79,31.79,31.79,31.79,000,31.79
2012-05-23,31.77,31.77,31.77,31.77,000,31.77
2012-05-22,31.23,31.23,31.23,31.23,000,31.23
2012-05-21,31.11,31.11,31.11,31.11,000,31.11
2012-05-18,31.29,31.29,31.29,31.29,000,31.29
2012-05-17,31.06,31.06,31.06,31.06,000,31.06
2012-05-16,31.01,31.01,31.01,31.01,000,31.01
2012-05-14,30.39,30.39,30.39,30.39,000,30.39
2012-05-11,30.16,30.16,30.16,30.16,000,30.16
2012-05-10,30.16,30.16,30.16,30.16,000,30.16
2012-05-09,30.37,30.37,30.37,30.37,000,30.37
2012-05-08,30.16,30.16,30.16,30.16,000,30.16
2012-05-07,30.07,30.07,30.07,30.07,000,30.07
2012-05-04,29.76,29.76,29.76,29.76,000,29.76
2012-05-03,29.51,29.51,29.51,29.51,000,29.51
2012-05-02,29.41,29.41,29.41,29.41,000,29.41
2012-05-01,29.35,29.35,29.35,29.35,000,29.35
2012-04-30,29.37,29.37,29.37,29.37,000,29.37
2012-04-27,29.32,29.32,29.32,29.32,000,29.32
2012-04-26,29.34,29.34,29.34,29.34,000,29.34
2012-04-25,29.32,29.32,29.32,29.32,000,29.32
2012-04-24,29.35,29.35,29.35,29.35,000,29.35
2012-04-23,29.52,29.52,29.52,29.52,000,29.52
2012-04-20,29.45,29.45,29.45,29.45,000,29.45
2012-04-19,29.52,29.52,29.52,29.52,000,29.52
2012-04-18,29.52,29.52,29.52,29.52,000,29.52
2012-04-17,29.50,29.50,29.50,29.50,000,29.50
2012-04-16,29.57,29.57,29.57,29.57,000,29.57
2012-04-13,29.60,29.60,29.60,29.60,000,29.60
2012-04-12,29.41,29.41,29.41,29.41,000,29.41
2012-04-11,29.65,29.65,29.65,29.65,000,29.65
2012-04-10,29.81,29.81,29.81,29.81,000,29.81
2012-04-09,29.59,29.59,29.59,29.59,000,29.59
2012-04-06,29.58,29.58,29.58,29.58,000,29.58
2012-04-05,29.47,29.47,29.47,29.47,000,29.47
2012-04-04,29.46,29.46,29.46,29.46,000,29.46
2012-04-03,29.19,29.19,29.19,29.19,000,29.19
2012-04-02,29.30,29.30,29.30,29.30,000,29.30
2012-03-30,29.37,29.37,29.37,29.37,000,29.37
2012-03-29,29.48,29.48,29.48,29.48,000,29.48
2012-03-28,29.37,29.37,29.37,29.37,000,29.37
2012-03-27,29.06,29.06,29.06,29.06,000,29.06
2012-03-26,28.95,28.95,28.95,28.95,000,28.95
2012-03-23,29.29,29.29,29.29,29.29,000,29.29
2012-03-22,29.43,29.43,29.43,29.43,000,29.43
2012-03-21,29.26,29.26,29.26,29.26,000,29.26
2012-03-20,29.25,29.25,29.25,29.25,000,29.25
2012-03-19,29.13,29.13,29.13,29.13,000,29.13
2012-03-16,29.20,29.20,29.20,29.20,000,29.20
2012-03-15,29.36,29.36,29.36,29.36,000,29.36
2012-03-14,29.54,29.54,29.54,29.54,000,29.54
2012-03-13,29.46,29.46,29.46,29.46,000,29.46
2012-03-12,29.57,29.57,29.57,29.57,000,29.57
2012-03-08,29.40,29.40,29.40,29.40,000,29.40
2012-03-07,29.66,29.66,29.66,29.66,000,29.66
2012-03-06,29.62,29.62,29.62,29.62,000,29.62
2012-03-05,29.35,29.35,29.35,29.35,000,29.35
2012-03-02,29.31,29.31,29.31,29.31,000,29.31
2012-03-01,29.22,29.22,29.22,29.22,000,29.22
