Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,609.00,609.00,600.00,609.00,000,609.00
2012-06-01,600.00,609.28,600.00,609.28,000,609.28
2012-05-31,600.00,610.00,600.00,610.00,000,610.00
2012-05-25,600.00,600.00,600.00,600.00,000,600.00
2012-05-24,600.00,600.00,600.00,600.00,000,600.00
2012-05-23,600.00,608.00,600.00,600.00,000,600.00
2012-05-22,600.00,608.00,600.00,608.00,000,608.00
2012-05-21,608.00,608.00,608.00,608.00,000,608.00
2012-05-16,608.00,608.00,608.00,608.00,000,608.00
2012-05-14,608.00,608.00,600.00,608.00,000,608.00
2012-05-11,600.00,608.00,600.00,608.00,000,608.00
2012-05-10,607.00,607.00,600.00,600.00,000,600.00
2012-05-09,607.50,607.50,600.00,607.50,000,607.50
2012-05-07,607.00,607.00,600.00,607.00,000,607.00
2012-05-04,600.00,606.00,600.00,606.00,000,606.00
2012-05-03,600.00,606.50,600.00,606.50,000,606.50
2012-05-02,601.00,606.00,601.00,606.00,000,606.00
2012-05-01,600.00,606.50,600.00,606.50,000,606.50
2012-04-30,600.00,606.00,600.00,606.00,000,606.00
2012-04-27,607.00,607.00,600.00,607.00,000,607.00
2012-04-26,607.00,607.00,600.00,607.00,000,607.00
2012-04-19,600.00,606.50,600.00,600.00,000,600.00
2012-04-18,600.00,606.50,600.00,600.00,000,600.00
2012-04-16,606.00,606.00,601.00,606.00,000,606.00
2012-04-13,607.00,607.00,600.00,607.00,000,607.00
2012-04-12,606.00,606.00,600.00,606.00,000,606.00
2012-04-11,606.50,606.50,600.00,606.50,000,606.50
2012-04-10,600.00,607.00,600.00,607.00,000,607.00
2012-04-09,601.00,607.00,601.00,607.00,000,607.00
2012-04-06,601.00,606.50,601.00,606.50,000,606.50
2012-04-05,601.00,606.00,601.00,606.00,000,606.00
2012-04-04,598.00,606.50,598.00,606.50,000,606.50
2012-04-03,596.00,606.00,596.00,606.00,000,606.00
2012-04-02,601.00,606.00,601.00,606.00,000,606.00
2012-03-30,598.00,605.00,598.00,605.00,000,605.00
2012-03-29,605.00,605.00,598.00,598.00,000,598.00
2012-03-28,604.50,604.50,599.00,599.00,000,599.00
2012-03-23,604.50,604.50,604.50,604.50,000,604.50
2012-03-22,598.00,604.50,598.00,604.50,000,604.50
2012-03-20,600.00,604.50,600.00,604.50,000,604.50
2012-03-19,604.50,604.50,600.00,604.50,000,604.50
2012-03-16,600.00,605.00,600.00,605.00,000,605.00
2012-03-15,600.00,606.00,600.00,606.00,000,606.00
2012-03-14,605.00,605.00,600.00,605.00,000,605.00
2012-03-13,605.50,605.50,598.00,605.50,000,605.50
2012-03-12,606.00,606.00,599.00,606.00,000,606.00
2012-03-08,601.00,606.00,601.00,606.00,000,606.00
2012-03-07,601.00,606.50,601.00,606.50,000,606.50
2012-03-06,601.00,606.00,601.00,606.00,000,606.00
2012-03-05,600.00,606.00,600.00,606.00,000,606.00
2012-03-02,599.00,606.00,599.00,606.00,000,606.00
2012-03-01,598.00,605.50,598.00,605.50,000,605.50
2012-02-29,602.50,602.50,598.00,602.50,000,602.50
2012-02-28,598.00,602.50,598.00,602.50,000,602.50
2012-02-27,598.00,603.00,598.00,603.00,000,603.00
2012-02-24,602.50,602.50,599.00,602.50,000,602.50
2012-02-23,603.00,603.00,598.00,603.00,000,603.00
2012-02-22,602.50,602.50,602.50,602.50,000,602.50
2012-02-21,598.00,602.50,598.00,602.50,000,602.50
2012-02-20,598.00,598.00,598.00,598.00,000,598.00
2012-02-17,598.00,602.50,598.00,602.50,000,602.50
2012-02-16,598.00,602.50,598.00,602.50,000,602.50
2012-02-15,603.00,603.00,598.00,598.00,000,598.00
2012-02-14,602.50,602.50,598.00,602.50,000,602.50
2012-02-13,602.50,602.50,598.00,602.50,000,602.50
2012-02-10,598.00,603.00,598.00,603.00,000,603.00
2012-02-08,602.50,602.50,598.00,598.00,000,598.00
2012-02-07,602.50,602.50,598.00,598.00,000,598.00
2012-02-06,602.50,602.50,598.00,602.50,000,602.50
2012-02-03,598.00,602.50,598.00,602.50,000,602.50
2012-02-02,598.00,602.50,598.00,602.50,000,602.50
2012-02-01,598.00,602.50,598.00,602.50,000,602.50
2012-01-31,603.00,603.00,598.00,603.00,000,603.00
2012-01-30,602.50,602.50,598.00,602.50,000,602.50
2012-01-27,602.50,602.50,598.00,602.50,000,602.50
2012-01-26,602.50,602.50,598.00,602.50,000,602.50
2012-01-25,602.50,602.50,598.00,602.50,000,602.50
2012-01-24,598.00,602.50,598.00,602.50,000,602.50
2012-01-23,599.00,603.00,599.00,603.00,000,603.00
2012-01-20,602.50,602.50,599.00,602.50,000,602.50
2012-01-19,603.00,603.00,599.00,603.00,000,603.00
2012-01-18,598.00,602.50,598.00,602.50,000,602.50
2012-01-16,598.00,598.00,598.00,598.00,000,598.00
2012-01-13,598.00,603.00,598.00,603.00,000,603.00
2012-01-12,598.00,602.50,598.00,602.50,000,602.50
2012-01-11,602.50,602.50,598.00,598.00,000,598.00
2012-01-10,603.00,603.00,599.00,599.00,000,599.00
2012-01-09,602.50,602.50,599.00,602.50,000,602.50
2012-01-06,599.00,602.50,599.00,602.50,000,602.50
2012-01-05,599.00,602.50,599.00,602.50,000,602.50
2012-01-04,599.00,602.50,599.00,602.50,000,602.50
2012-01-03,598.00,602.50,598.00,602.50,000,602.50
2012-01-02,602.50,602.50,602.50,602.50,000,602.50
2011-12-30,598.00,602.50,598.00,602.50,000,602.50
2011-12-29,598.00,602.50,598.00,602.50,000,602.50
2011-12-28,598.00,602.50,598.00,602.50,000,602.50
2011-12-27,598.00,602.50,598.00,602.50,000,602.50
2011-12-26,598.00,598.00,598.00,598.00,000,598.00
2011-12-23,598.00,602.50,598.00,602.50,000,602.50
2011-12-22,603.00,603.00,598.00,598.00,000,598.00
2011-12-20,602.00,602.00,598.00,602.00,000,602.00
2011-12-19,602.50,602.50,598.00,602.50,000,602.50
2011-12-16,599.00,603.00,599.00,603.00,000,603.00
2011-12-15,598.00,602.50,598.00,602.50,000,602.50
2011-12-14,602.50,602.50,598.00,598.00,000,598.00
2011-12-13,602.50,602.50,598.00,598.00,000,598.00
2011-12-12,603.00,603.00,598.00,603.00,000,603.00
2011-12-09,602.50,602.50,598.00,602.50,000,602.50
2011-12-08,602.50,602.50,599.00,602.50,000,602.50
2011-12-07,602.50,602.50,599.00,602.50,000,602.50
2011-12-06,598.00,602.50,598.00,602.50,000,602.50
2011-12-05,598.00,602.50,598.00,602.50,000,602.50
2011-12-02,598.00,602.50,598.00,602.50,000,602.50
2011-12-01,598.00,601.00,598.00,601.00,000,601.00
2011-11-30,601.50,601.50,596.00,596.00,000,596.00
2011-11-29,600.50,600.50,596.00,600.50,000,600.50
2011-11-28,602.50,602.50,599.00,602.50,000,602.50
2011-11-25,599.00,603.00,599.00,603.00,000,603.00
2011-11-24,598.00,598.00,598.00,598.00,000,598.00
2011-11-23,598.00,602.50,598.00,602.50,000,602.50
2011-11-22,598.00,603.00,598.00,603.00,000,603.00
2011-11-21,598.00,603.00,598.00,603.00,000,603.00
2011-11-18,599.00,602.50,599.00,602.50,000,602.50
2011-11-17,598.00,601.50,598.00,601.50,000,601.50
2011-11-16,599.00,602.50,599.00,602.50,000,602.50
2011-11-15,599.00,602.50,599.00,602.50,000,602.50
2011-11-14,601.50,601.50,599.00,601.50,000,601.50
2011-11-11,597.00,601.50,597.00,601.50,000,601.50
2011-11-10,601.00,601.00,596.00,596.00,000,596.00
2011-11-09,601.00,601.00,596.00,596.00,000,596.00
2011-11-08,601.50,601.50,599.00,601.50,000,601.50
2011-11-07,601.00,601.00,599.00,601.00,000,601.00
2011-11-04,599.00,601.00,599.00,601.00,000,601.00
2011-11-03,599.00,601.00,599.00,601.00,000,601.00
2011-11-02,599.00,599.00,599.00,599.00,000,599.00
2011-11-01,596.00,596.00,596.00,596.00,000,596.00
2011-10-31,595.00,595.00,595.00,595.00,000,595.00
2011-10-28,601.50,601.50,595.00,601.50,000,601.50
2011-10-27,601.00,601.00,596.00,601.00,000,601.00
2011-10-26,601.50,601.50,596.00,601.50,000,601.50
2011-10-25,600.50,600.50,596.00,600.50,000,600.50
2011-10-24,596.00,600.00,596.00,600.00,000,600.00
2011-10-21,596.00,600.50,596.00,600.50,000,600.50
2011-10-20,596.00,601.50,596.00,601.50,000,601.50
2011-10-19,594.00,594.00,594.00,594.00,000,594.00
2011-10-18,600.50,600.50,593.00,593.00,000,593.00
2011-10-17,599.50,599.50,593.00,599.50,000,599.50
2011-10-14,595.00,600.50,595.00,600.50,000,600.50
2011-10-13,595.00,600.50,595.00,600.50,000,600.50
2011-10-12,594.00,600.50,594.00,600.50,000,600.50
2011-10-11,594.00,599.50,594.00,594.00,000,594.00
2011-10-10,594.00,594.00,594.00,594.00,000,594.00
2011-10-07,594.00,600.00,594.00,600.00,000,600.00
2011-10-06,595.00,599.50,595.00,599.50,000,599.50
2011-10-05,594.00,600.00,594.00,600.00,000,600.00
2011-10-04,596.00,596.00,596.00,596.00,000,596.00
2011-10-03,596.00,600.00,596.00,596.00,000,596.00
2011-09-30,596.00,596.00,596.00,596.00,000,596.00
2011-09-29,595.00,600.00,595.00,596.00,000,596.00
2011-09-23,596.00,596.00,596.00,596.00,000,596.00
2011-09-22,596.00,596.00,596.00,596.00,000,596.00
2011-09-21,596.00,596.00,596.00,596.00,000,596.00
2011-09-20,596.00,601.00,596.00,601.00,000,601.00
2011-09-19,593.00,593.00,593.00,593.00,000,593.00
2011-09-16,600.00,600.00,593.00,600.00,000,600.00
2011-09-14,594.00,600.50,593.00,594.00,000,594.00
2011-09-13,598.53,598.72,598.00,598.72,000,598.72
2011-09-12,605.34,609.53,596.00,598.53,000,598.53
2011-09-09,599.99,599.99,596.00,596.00,000,596.00
2011-09-08,600.49,601.00,594.00,600.99,000,600.99
2011-09-07,600.99,603.96,595.00,600.49,000,600.49
2011-09-06,598.66,601.50,596.00,601.49,000,601.49
