Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,14.38,14.47,14.38,14.38,000,14.38
2012-06-01,14.46,14.46,14.46,14.46,000,14.46
2012-05-31,14.34,14.50,14.28,14.50,000,14.50
2012-05-30,14.28,14.28,14.28,14.28,000,14.28
2012-05-29,14.34,14.37,14.25,14.35,000,14.35
2012-05-25,14.24,14.38,14.24,14.38,000,14.38
2012-05-24,14.26,14.38,14.26,14.37,000,14.37
2012-05-23,14.38,14.38,14.37,14.38,000,14.38
2012-05-22,14.14,14.37,14.14,14.35,000,14.35
2012-05-21,14.20,14.20,14.14,14.14,000,14.14
2012-05-16,13.60,14.32,13.60,14.32,000,14.32
2012-05-14,14.16,14.16,14.16,14.16,000,14.16
2012-05-11,14.16,14.30,14.01,14.30,000,14.30
2012-05-10,14.10,14.19,14.10,14.19,000,14.19
2012-05-09,14.16,14.16,14.16,14.16,000,14.16
2012-05-08,14.12,14.12,14.12,14.12,000,14.12
2012-05-07,14.11,14.15,14.05,14.15,000,14.15
2012-05-04,14.11,14.11,14.05,14.05,000,14.05
2012-05-02,14.10,14.10,14.09,14.09,000,14.09
2012-04-30,14.11,14.11,13.98,14.05,000,14.05
2012-04-27,14.11,14.11,14.01,14.01,000,14.01
2012-04-26,14.07,14.07,14.07,14.07,000,14.07
2012-04-25,13.98,13.98,13.98,13.98,000,13.98
2012-04-24,13.97,13.97,13.97,13.97,000,13.97
2012-04-23,13.95,13.95,13.95,13.95,000,13.95
2012-04-20,14.02,14.10,14.02,14.02,000,14.02
2012-04-19,14.12,14.12,14.02,14.02,000,14.02
2012-04-18,14.16,14.16,14.03,14.03,000,14.03
2012-04-16,14.13,14.13,14.08,14.08,000,14.08
2012-04-13,14.13,14.13,14.08,14.08,000,14.08
2012-04-12,14.08,14.08,14.08,14.08,000,14.08
2012-04-11,14.05,14.06,14.05,14.05,000,14.05
2012-04-10,14.10,14.10,14.05,14.05,000,14.05
2012-04-05,14.09,14.09,14.00,14.09,000,14.09
2012-04-04,14.09,14.20,14.09,14.20,000,14.20
2012-04-03,14.07,14.11,14.07,14.07,000,14.07
2012-04-02,14.07,14.07,14.00,14.07,000,14.07
2012-03-30,14.05,14.05,14.00,14.05,000,14.05
2012-03-28,13.98,14.18,13.98,14.18,000,14.18
2012-03-27,14.15,14.15,14.15,14.15,000,14.15
2012-03-26,14.07,14.19,14.07,14.19,000,14.19
2012-03-23,14.22,14.22,14.22,14.22,000,14.22
2012-03-22,14.06,14.06,14.06,14.06,000,14.06
2012-03-21,14.04,14.09,14.04,14.09,000,14.09
2012-03-20,14.05,14.07,14.05,14.05,000,14.05
