Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,19765.00,19765.00,19655.00,19655.00,000,19655.00
2012-06-01,19831.70,19850.00,19750.00,19795.00,000,19795.00
2012-05-31,19772.50,19850.00,19545.00,19795.00,000,19795.00
2012-05-30,18520.00,19905.00,18520.00,19750.00,000,19750.00
2012-05-29,18966.00,19600.00,18897.50,19600.00,000,19600.00
2012-05-28,19245.80,19245.80,18870.50,18907.00,000,18907.00
2012-05-25,19312.00,19600.00,18900.00,19490.00,000,19490.00
2012-05-24,19360.00,19505.00,18956.00,19505.00,000,19505.00
2012-05-23,19010.50,19500.00,18901.50,19360.00,000,19360.00
2012-05-22,18475.00,19250.00,18475.00,18897.50,000,18897.50
2012-05-21,19315.00,19315.00,18475.00,19305.00,000,19305.00
2012-05-16,19156.70,19275.00,18898.50,19100.00,000,19100.00
2012-05-14,18965.00,19110.00,18900.00,18950.00,000,18950.00
2012-05-11,18923.30,18965.00,18899.50,18957.50,000,18957.50
2012-05-10,18935.00,18955.00,18920.00,18920.00,000,18920.00
2012-05-09,18860.00,18955.00,18860.00,18890.00,000,18890.00
2012-05-08,18820.00,18877.80,18820.00,18860.00,000,18860.00
2012-05-07,18710.00,18968.50,18710.00,18823.30,000,18823.30
2012-05-04,18675.00,18896.50,18630.00,18692.50,000,18692.50
2012-05-03,18404.00,18894.00,18404.00,18627.50,000,18627.50
2012-05-02,18550.00,18625.00,18404.00,18404.00,000,18404.00
2012-05-01,18550.00,18565.00,18485.00,18485.00,000,18485.00
2012-04-30,18813.00,18843.50,18525.00,18570.00,000,18570.00
2012-04-27,18570.00,18887.50,18525.00,18525.00,000,18525.00
2012-04-26,18570.00,18858.00,18550.00,18570.00,000,18570.00
2012-04-25,18600.00,18872.00,18562.50,18570.00,000,18570.00
2012-04-24,18685.00,18989.00,18600.00,18612.50,000,18612.50
2012-04-23,18942.50,18942.50,18575.00,18680.00,000,18680.00
2012-04-20,18675.00,18675.00,18575.00,18675.00,000,18675.00
2012-04-19,18725.00,18770.00,18675.00,18725.00,000,18725.00
2012-04-18,18700.00,18773.00,18700.00,18773.00,000,18773.00
2012-04-17,18700.00,18745.00,18700.00,18722.50,000,18722.50
2012-04-16,18710.00,18805.00,18610.00,18725.00,000,18725.00
2012-04-13,18765.00,18932.00,18610.00,18750.00,000,18750.00
2012-04-12,18580.00,18685.00,18450.00,18650.00,000,18650.00
2012-04-11,18750.00,18765.00,18580.00,18640.00,000,18640.00
2012-04-10,18770.00,18798.00,18690.00,18720.00,000,18720.00
2012-04-09,18429.00,18800.00,18429.00,18800.00,000,18800.00
2012-04-06,18800.00,18800.00,18725.00,18800.00,000,18800.00
2012-04-05,18662.50,18800.00,18550.00,18650.00,000,18650.00
2012-04-04,18400.00,18650.00,18400.00,18512.50,000,18512.50
2012-04-03,18425.00,18478.00,18400.00,18461.50,000,18461.50
2012-04-02,18412.50,18465.00,18412.50,18412.50,000,18412.50
2012-03-30,18450.00,18471.50,18385.00,18425.00,000,18425.00
2012-03-29,18450.00,18465.00,18395.00,18450.00,000,18450.00
2012-03-28,18375.00,18450.00,18375.00,18395.00,000,18395.00
2012-03-27,18400.00,18500.00,18375.00,18400.00,000,18400.00
2012-03-26,18490.00,18738.50,18400.00,18425.00,000,18425.00
2012-03-23,18610.00,18635.00,18480.00,18480.00,000,18480.00
2012-03-22,18600.00,18635.00,18555.00,18600.00,000,18600.00
2012-03-21,18550.00,18600.00,18550.00,18600.00,000,18600.00
2012-03-20,18475.00,18599.50,18475.00,18585.00,000,18585.00
2012-03-19,18638.30,18651.50,18475.00,18550.00,000,18550.00
2012-03-16,18671.50,18792.50,18625.00,18625.00,000,18625.00
2012-03-15,18750.00,18785.00,18671.50,18671.50,000,18671.50
2012-03-14,18700.00,18780.00,18667.00,18750.00,000,18750.00
2012-03-13,19150.00,19150.00,18666.00,19150.00,000,19150.00
2012-03-12,18602.50,19150.00,18602.50,18700.00,000,18700.00
2012-03-08,18675.00,18675.00,18500.00,18525.00,000,18525.00
2012-03-07,18677.50,18692.50,18665.00,18680.00,000,18680.00
2012-03-06,18540.00,18675.00,18540.00,18665.00,000,18665.00
2012-03-05,18498.50,18575.00,18497.50,18562.50,000,18562.50
2012-03-02,18245.00,18570.00,18245.00,18565.00,000,18565.00
2012-03-01,18245.00,18450.00,18245.00,18250.00,000,18250.00
2012-02-29,18250.00,18412.50,18245.00,18310.00,000,18310.00
2012-02-28,18300.00,18322.50,18250.00,18305.00,000,18305.00
2012-02-27,18406.50,18448.00,18285.00,18377.70,000,18377.70
2012-02-24,18400.00,18452.50,18295.00,18452.50,000,18452.50
2012-02-23,18475.00,18650.00,18400.00,18648.00,000,18648.00
2012-02-22,18525.00,18653.50,18475.00,18487.50,000,18487.50
2012-02-21,18685.50,18691.50,18500.00,18550.00,000,18550.00
2012-02-20,18695.00,18750.00,18640.00,18652.50,000,18652.50
2012-02-17,18773.50,18773.50,18640.00,18650.00,000,18650.00
2012-02-16,18725.00,18773.50,18470.00,18470.00,000,18470.00
2012-02-15,18640.00,18925.00,18575.00,18750.00,000,18750.00
2012-02-14,18520.00,18800.00,18520.00,18640.00,000,18640.00
2012-02-13,18610.00,18610.00,18520.00,18520.00,000,18520.00
2012-02-10,18455.00,18625.00,18455.00,18610.00,000,18610.00
2012-02-08,18525.00,18550.00,18525.00,18525.00,000,18525.00
2012-02-07,18805.00,18805.00,18525.00,18525.00,000,18525.00
2012-02-06,18695.00,18805.00,18695.00,18805.00,000,18805.00
2012-02-03,18695.00,18722.50,18695.00,18695.00,000,18695.00
2012-02-02,18642.50,18695.00,18610.00,18695.00,000,18695.00
2012-02-01,18780.00,18780.00,18600.00,18605.00,000,18605.00
2012-01-31,18740.00,18780.00,18625.00,18780.00,000,18780.00
2012-01-30,18605.00,18740.00,18605.00,18740.00,000,18740.00
2012-01-27,18817.50,18935.00,18602.50,18670.00,000,18670.00
2012-01-26,18842.50,18935.00,18725.00,18935.00,000,18935.00
2012-01-25,18910.00,18935.00,18750.00,18935.00,000,18935.00
2012-01-24,18836.00,18925.00,18836.00,18895.00,000,18895.00
2012-01-23,19005.00,19005.00,18836.00,18836.00,000,18836.00
2012-01-20,19005.00,19012.50,18990.00,19007.50,000,19007.50
2012-01-19,19122.50,19122.50,19002.50,19005.00,000,19005.00
2012-01-18,19155.00,19180.00,19120.00,19120.00,000,19120.00
2012-01-17,19315.00,19315.00,19120.50,19180.00,000,19180.00
2012-01-16,19385.00,19385.00,19315.00,19315.00,000,19315.00
2012-01-13,19240.00,19402.00,19195.00,19200.00,000,19200.00
2012-01-12,19320.00,19320.00,19150.00,19240.00,000,19240.00
2012-01-11,19150.00,19325.00,19150.00,19315.00,000,19315.00
2012-01-10,19230.00,19275.00,19150.00,19150.00,000,19150.00
2012-01-09,19190.00,19325.00,19190.00,19265.00,000,19265.00
2012-01-06,19170.00,19300.00,19140.00,19190.00,000,19190.00
2012-01-05,18935.00,19210.00,18935.00,19140.00,000,19140.00
2012-01-04,18820.00,18935.00,18770.00,18935.00,000,18935.00
2012-01-03,19020.00,19020.00,18785.00,18820.00,000,18820.00
2012-01-02,18902.50,19020.00,18902.50,19020.00,000,19020.00
2011-12-29,18823.80,19050.00,18770.00,19050.00,000,19050.00
2011-12-28,18770.00,18877.50,18770.00,18770.00,000,18770.00
2011-12-27,18810.00,18810.00,18770.00,18770.00,000,18770.00
2011-12-26,18817.50,18817.50,18810.00,18810.00,000,18810.00
2011-12-23,18820.00,18822.50,18812.50,18815.00,000,18815.00
2011-12-22,18795.00,18872.50,18795.00,18815.00,000,18815.00
2011-12-21,18792.50,18795.00,18760.00,18795.00,000,18795.00
2011-12-20,18810.00,18825.00,18760.00,18760.00,000,18760.00
2011-12-19,18770.00,18850.00,18770.00,18770.00,000,18770.00
2011-12-16,18850.00,18875.00,18540.00,18770.00,000,18770.00
2011-12-15,18900.00,18900.00,18560.00,18840.00,000,18840.00
2011-12-14,18750.00,18900.00,18605.50,18605.50,000,18605.50
2011-12-13,18491.30,18800.00,18339.00,18530.00,000,18530.00
2011-12-12,18330.00,18535.00,18330.00,18333.00,000,18333.00
2011-12-09,18145.00,18411.50,18145.00,18330.00,000,18330.00
2011-12-08,18292.50,18382.50,18145.00,18145.00,000,18145.00
2011-12-07,18300.00,18370.00,18290.00,18297.50,000,18297.50
2011-12-06,18250.00,18360.00,18250.00,18253.50,000,18253.50
2011-12-05,18355.50,18355.50,18135.00,18146.50,000,18146.50
2011-12-02,18375.00,18382.50,18060.00,18135.00,000,18135.00
2011-12-01,18394.50,18394.50,18190.00,18263.00,000,18263.00
2011-11-30,18429.50,18429.50,18390.00,18394.50,000,18394.50
2011-11-29,18438.50,18438.50,18370.00,18429.50,000,18429.50
2011-11-28,18515.00,18515.00,18259.00,18370.00,000,18370.00
2011-11-25,18369.50,18515.00,18350.00,18356.50,000,18356.50
2011-11-24,18365.00,18369.50,18164.50,18369.50,000,18369.50
2011-11-23,18155.00,18375.00,18115.00,18231.50,000,18231.50
2011-11-22,18240.00,18240.00,18075.00,18155.00,000,18155.00
2011-11-21,18107.50,18240.00,18065.00,18240.00,000,18240.00
2011-11-18,18165.00,18165.00,18065.00,18065.00,000,18065.00
2011-11-17,18175.00,18175.00,18155.00,18155.00,000,18155.00
2011-11-16,18053.30,18175.00,18053.30,18175.00,000,18175.00
2011-11-15,17985.00,18125.00,17965.00,17985.00,000,17985.00
2011-11-14,17975.00,17985.00,17900.00,17985.00,000,17985.00
2011-11-11,18015.00,18015.00,17965.00,17975.00,000,17975.00
2011-11-10,18045.00,18050.00,17950.00,18015.00,000,18015.00
2011-11-09,17850.00,18050.00,17845.00,17985.00,000,17985.00
2011-11-08,17845.00,17850.00,17650.00,17850.00,000,17850.00
2011-11-07,17770.00,17850.00,17760.00,17850.00,000,17850.00
2011-11-04,17785.00,17875.00,17760.00,17765.00,000,17765.00
2011-11-03,17525.00,17795.00,17525.00,17795.00,000,17795.00
2011-11-02,17525.00,17525.00,17525.00,17525.00,000,17525.00
2011-11-01,17525.00,17525.00,17515.00,17525.00,000,17525.00
2011-10-31,17615.00,17615.00,17330.00,17525.00,000,17525.00
2011-10-28,17615.00,17615.00,17300.00,17330.00,000,17330.00
2011-10-27,17615.00,17615.00,17440.00,17527.50,000,17527.50
2011-10-26,17720.00,17720.00,17605.00,17610.00,000,17610.00
2011-10-25,17720.00,17923.00,17620.00,17720.00,000,17720.00
2011-10-24,17790.00,17825.00,17688.30,17720.00,000,17720.00
2011-10-21,17825.00,17825.00,17750.00,17760.00,000,17760.00
2011-10-20,17756.70,17825.00,17752.50,17825.00,000,17825.00
2011-10-19,18495.00,18495.00,17750.00,17755.00,000,17755.00
2011-10-18,18495.00,18495.00,18495.00,18495.00,000,18495.00
2011-10-17,17785.00,18495.00,17775.00,18495.00,000,18495.00
2011-10-14,18495.00,18495.00,17742.50,17780.00,000,17780.00
2011-10-13,17883.30,18495.00,17800.00,18495.00,000,18495.00
2011-10-12,18060.00,18060.00,17775.00,17800.00,000,17800.00
2011-10-11,18495.00,18495.00,17950.00,18060.00,000,18060.00
2011-10-10,18495.00,18495.00,18485.00,18490.00,000,18490.00
2011-10-07,18490.00,18495.00,18185.00,18495.00,000,18495.00
2011-10-06,18430.00,18530.00,18420.00,18495.00,000,18495.00
2011-10-05,18210.00,18462.50,18210.00,18420.00,000,18420.00
2011-10-04,18210.00,18562.50,18210.00,18495.00,000,18495.00
2011-10-03,18210.00,18495.00,18200.00,18210.00,000,18210.00
2011-09-30,17995.00,18211.70,17985.00,18210.00,000,18210.00
2011-09-29,18035.00,18035.00,17985.00,17990.00,000,17990.00
2011-09-28,18060.00,18087.50,18025.00,18030.00,000,18030.00
2011-09-27,17970.00,18195.00,17970.00,18065.00,000,18065.00
2011-09-26,17970.00,18250.00,17970.00,17970.00,000,17970.00
2011-09-23,17970.00,17970.00,17970.00,17970.00,000,17970.00
2011-09-22,17970.00,17970.00,17960.00,17970.00,000,17970.00
2011-09-21,17985.00,17990.00,17825.00,17970.00,000,17970.00
2011-09-20,17990.00,17990.00,17775.00,17990.00,000,17990.00
2011-09-19,17795.00,17990.00,17785.00,17990.00,000,17990.00
2011-09-16,17795.00,17825.00,17785.00,17795.00,000,17795.00
2011-09-15,17923.00,17923.00,17650.00,17795.00,000,17795.00
2011-09-14,17075.00,17937.50,17075.00,17075.00,000,17075.00
2011-09-13,17075.00,17075.00,17075.00,17075.00,000,17075.00
2011-09-12,17075.00,17075.00,17075.00,17075.00,000,17075.00
2011-09-09,17565.00,17610.00,17565.00,17565.00,000,17565.00
2011-09-08,17320.00,17610.00,17075.00,17075.00,000,17075.00
2011-09-07,17075.00,17485.00,17075.00,17075.00,000,17075.00
2011-09-06,17075.00,17190.00,17075.00,17075.00,000,17075.00
2011-09-05,17075.00,17190.00,17075.00,17075.00,000,17075.00
2011-09-02,17175.00,17275.00,17010.00,17190.00,000,17190.00
2011-09-01,17015.00,17187.50,17010.00,17175.00,000,17175.00
2011-08-31,17020.00,17050.00,17010.00,17010.00,000,17010.00
2011-08-30,17282.00,17282.00,16975.00,17020.00,000,17020.00
2011-08-29,17025.00,17282.00,16940.00,17282.00,000,17282.00
2011-08-26,16975.00,17050.00,16932.50,17050.00,000,17050.00
2011-08-25,16965.00,17077.50,16965.00,16965.00,000,16965.00
2011-08-24,17030.00,17052.50,16965.00,16977.00,000,16977.00
2011-08-23,17030.00,17075.00,17015.00,17030.00,000,17030.00
2011-08-22,17035.00,17075.00,17015.00,17020.00,000,17020.00
2011-08-19,17135.00,17135.00,17017.50,17035.00,000,17035.00
2011-08-18,17310.00,17310.00,16960.00,17130.00,000,17130.00
2011-08-17,17310.00,17310.00,16930.00,16960.00,000,16960.00
2011-08-16,17410.00,17410.00,17055.00,17410.00,000,17410.00
