Date,Open,High,Low,Close,Volume,Adj Close
2012-06-01,8.75,8.75,8.75,8.75,000,8.75
2012-05-31,8.75,8.75,8.75,8.75,000,8.75
2012-05-25,8.75,8.75,8.75,8.75,000,8.75
2012-05-24,8.75,8.75,8.75,8.75,000,8.75
2012-05-23,8.75,8.75,8.75,8.75,000,8.75
2012-05-22,8.75,8.75,8.75,8.75,000,8.75
2012-05-21,8.75,8.75,8.75,8.75,000,8.75
2012-05-18,8.75,8.75,8.75,8.75,000,8.75
2012-05-17,8.75,8.75,8.75,8.75,000,8.75
2012-05-16,8.75,8.75,8.75,8.75,000,8.75
2012-05-15,8.75,8.75,8.75,8.75,000,8.75
2012-05-11,8.75,8.75,8.75,8.75,000,8.75
2012-05-10,8.75,8.75,8.75,8.75,000,8.75
2012-05-04,8.75,8.75,8.75,8.75,000,8.75
2012-05-03,8.75,8.75,8.75,8.75,000,8.75
2012-05-02,8.75,8.75,8.75,8.75,000,8.75
2012-05-01,8.75,8.75,8.75,8.75,000,8.75
2012-04-30,8.75,8.75,8.75,8.75,000,8.75
2012-04-19,8.75,8.75,8.75,8.75,000,8.75
2012-04-18,8.75,8.75,8.75,8.75,000,8.75
2012-04-10,8.75,8.75,8.75,8.75,000,8.75
2012-04-09,8.75,8.75,8.75,8.75,000,8.75
2012-04-06,8.75,8.75,8.75,8.75,000,8.75
2012-04-05,8.75,8.75,8.75,8.75,000,8.75
2012-04-04,8.75,8.75,8.75,8.75,000,8.75
2012-04-03,8.75,8.75,8.75,8.75,000,8.75
2012-04-02,8.75,8.75,8.75,8.75,000,8.75
2012-03-30,8.75,8.75,8.75,8.75,000,8.75
2012-03-29,8.75,8.75,8.75,8.75,000,8.75
2012-03-28,8.75,8.75,8.75,8.75,000,8.75
2012-03-23,8.75,8.75,8.75,8.75,000,8.75
2012-03-22,8.75,8.75,8.75,8.75,000,8.75
2012-03-20,8.75,8.75,8.75,8.75,000,8.75
2012-03-16,8.75,8.75,8.75,8.75,000,8.75
2012-03-15,8.75,8.75,8.75,8.75,000,8.75
2012-03-08,8.75,8.75,8.75,8.75,000,8.75
2012-03-07,8.75,8.75,8.75,8.75,000,8.75
2012-03-06,8.75,8.75,8.75,8.75,000,8.75
2012-03-05,8.75,8.75,8.75,8.75,000,8.75
2012-03-02,8.75,8.75,8.75,8.75,000,8.75
2012-03-01,8.75,8.75,8.75,8.75,000,8.75
2012-02-28,8.75,8.75,8.75,8.75,000,8.75
2012-02-27,8.75,8.75,8.75,8.75,000,8.75
2012-02-17,8.75,8.75,8.75,8.75,000,8.75
2012-02-16,8.75,8.75,8.75,8.75,000,8.75
2012-02-15,8.75,8.75,8.75,8.75,000,8.75
2012-02-10,8.75,8.75,8.75,8.75,000,8.75
2012-02-08,8.75,8.75,8.75,8.75,000,8.75
2012-02-07,8.75,8.75,8.75,8.75,000,8.75
2012-02-03,8.75,8.75,8.75,8.75,000,8.75
2012-02-02,8.75,8.75,8.75,8.75,000,8.75
2012-02-01,8.75,8.75,8.75,8.75,000,8.75
2012-01-31,8.75,8.75,8.75,8.75,000,8.75
2012-01-24,8.75,8.75,8.75,8.75,000,8.75
