Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,31.47,31.47,31.47,31.47,000,31.47
2012-06-01,31.63,31.63,31.63,31.63,000,31.63
2012-05-31,31.81,31.81,31.81,31.81,000,31.81
2012-05-30,31.86,31.86,31.86,31.86,000,31.86
2012-05-29,31.73,31.73,31.73,31.73,000,31.73
2012-05-28,31.66,31.66,31.66,31.66,000,31.66
2012-05-25,31.66,31.66,31.66,31.66,000,31.66
2012-05-24,31.60,31.60,31.60,31.60,000,31.60
2012-05-23,31.55,31.55,31.55,31.55,000,31.55
2012-05-22,31.37,31.37,31.37,31.37,000,31.37
2012-05-21,31.35,31.35,31.35,31.35,000,31.35
2012-05-18,31.33,31.33,31.33,31.33,000,31.33
2012-05-17,31.33,31.33,31.33,31.33,000,31.33
2012-05-16,31.38,31.38,31.38,31.38,000,31.38
2012-05-14,31.35,31.35,31.35,31.35,000,31.35
2012-05-11,31.19,31.19,31.19,31.19,000,31.19
2012-05-10,31.14,31.14,31.14,31.14,000,31.14
2012-05-09,31.08,31.08,31.08,31.08,000,31.08
2012-05-08,31.00,31.00,31.00,31.00,000,31.00
2012-05-07,30.98,30.98,30.98,30.98,000,30.98
2012-05-04,30.91,30.91,30.91,30.91,000,30.91
2012-05-03,30.94,30.94,30.94,30.94,000,30.94
2012-05-02,30.85,30.85,30.85,30.85,000,30.85
2012-05-01,30.73,30.73,30.73,30.73,000,30.73
2012-04-30,30.73,30.73,30.73,30.73,000,30.73
2012-04-27,30.75,30.75,30.75,30.75,000,30.75
2012-04-26,30.84,30.84,30.84,30.84,000,30.84
2012-04-25,30.94,30.94,30.94,30.94,000,30.94
2012-04-24,30.93,30.93,30.93,30.93,000,30.93
2012-04-23,31.00,31.00,31.00,31.00,000,31.00
2012-04-20,30.90,30.90,30.90,30.90,000,30.90
2012-04-19,30.89,30.89,30.89,30.89,000,30.89
2012-04-18,30.87,30.87,30.87,30.87,000,30.87
2012-04-17,30.80,30.80,30.80,30.80,000,30.80
2012-04-16,30.77,30.77,30.77,30.77,000,30.77
2012-04-13,30.77,30.77,30.77,30.77,000,30.77
2012-04-12,30.75,30.75,30.75,30.75,000,30.75
2012-04-11,30.87,30.87,30.87,30.87,000,30.87
2012-04-10,30.95,30.95,30.95,30.95,000,30.95
2012-04-09,30.99,30.99,30.99,30.99,000,30.99
2012-04-06,30.99,30.99,30.99,30.99,000,30.99
2012-04-05,30.99,30.99,30.99,30.99,000,30.99
2012-04-04,31.05,31.05,31.05,31.05,000,31.05
2012-04-03,30.84,30.84,30.84,30.84,000,30.84
2012-04-02,30.79,30.79,30.79,30.79,000,30.79
2012-03-30,30.78,30.78,30.78,30.78,000,30.78
2012-03-29,30.89,30.89,30.89,30.89,000,30.89
2012-03-28,30.80,30.80,30.80,30.80,000,30.80
2012-03-27,30.74,30.74,30.74,30.74,000,30.74
2012-03-26,30.69,30.69,30.69,30.69,000,30.69
2012-03-23,30.69,30.69,30.69,30.69,000,30.69
2012-03-22,30.81,30.81,30.81,30.81,000,30.81
2012-03-21,30.78,30.78,30.78,30.78,000,30.78
2012-03-20,30.77,30.77,30.77,30.77,000,30.77
2012-03-19,30.69,30.69,30.69,30.69,000,30.69
2012-03-16,30.70,30.70,30.70,30.70,000,30.70
2012-03-15,30.74,30.74,30.74,30.74,000,30.74
2012-03-14,30.78,30.78,30.78,30.78,000,30.78
2012-03-13,30.64,30.64,30.64,30.64,000,30.64
2012-03-12,30.65,30.65,30.65,30.65,000,30.65
2012-03-08,30.57,30.57,30.57,30.57,000,30.57
2012-03-07,30.74,30.74,30.74,30.74,000,30.74
2012-03-06,30.79,30.79,30.79,30.79,000,30.79
2012-03-05,30.67,30.67,30.67,30.67,000,30.67
2012-03-02,30.60,30.60,30.60,30.60,000,30.60
