Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,1.80,1.80,1.80,1.80,000,1.80
2012-06-01,1.80,1.80,1.80,1.80,000,1.80
2012-05-31,1.80,1.80,1.80,1.80,000,1.80
2012-05-30,1.80,1.80,1.80,1.80,000,1.80
2012-05-29,1.80,1.80,1.80,1.80,000,1.80
2012-05-28,1.80,1.80,1.80,1.80,000,1.80
2012-05-25,1.76,1.80,1.74,1.80,000,1.80
2012-05-24,1.80,1.80,1.74,1.79,000,1.79
2012-05-23,1.80,1.80,1.80,1.80,000,1.80
2012-05-22,1.74,1.80,1.74,1.80,000,1.80
2012-05-21,1.80,1.80,1.74,1.74,000,1.74
2012-05-16,1.77,1.80,1.77,1.80,000,1.80
2012-05-14,1.72,1.73,1.72,1.73,000,1.73
2012-05-11,1.67,1.72,1.67,1.72,000,1.72
2012-05-10,1.69,1.70,1.65,1.70,000,1.70
2012-05-09,1.70,1.70,1.67,1.70,000,1.70
2012-05-08,1.70,1.70,1.67,1.70,000,1.70
2012-05-07,1.73,1.73,1.69,1.70,000,1.70
2012-05-04,1.72,1.73,1.72,1.73,000,1.73
2012-05-03,1.72,1.72,1.72,1.72,000,1.72
2012-05-02,1.72,1.72,1.72,1.72,000,1.72
2012-05-01,1.72,1.72,1.72,1.72,000,1.72
2012-04-30,1.70,1.72,1.70,1.72,000,1.72
2012-04-27,1.70,1.70,1.70,1.70,000,1.70
2012-04-26,1.70,1.70,1.70,1.70,000,1.70
2012-04-25,1.70,1.70,1.70,1.70,000,1.70
2012-04-24,1.70,1.70,1.70,1.70,000,1.70
2012-04-23,1.70,1.70,1.70,1.70,000,1.70
2012-04-20,1.70,1.70,1.70,1.70,000,1.70
2012-04-19,1.70,1.70,1.70,1.70,000,1.70
2012-04-18,1.70,1.70,1.70,1.70,000,1.70
2012-04-17,1.71,1.71,1.70,1.70,000,1.70
2012-04-16,1.71,1.71,1.71,1.71,000,1.71
2012-04-13,1.70,1.71,1.70,1.71,000,1.71
2012-04-12,1.70,1.71,1.70,1.71,000,1.71
2012-04-11,1.70,1.70,1.70,1.70,000,1.70
2012-04-10,1.70,1.70,1.70,1.70,000,1.70
2012-04-09,1.70,1.70,1.70,1.70,000,1.70
2012-04-06,1.70,1.70,1.70,1.70,000,1.70
2012-04-05,1.70,1.70,1.70,1.70,000,1.70
2012-04-04,1.70,1.70,1.70,1.70,000,1.70
2012-04-03,1.70,1.70,1.70,1.70,000,1.70
2012-04-02,1.69,1.70,1.69,1.70,000,1.70
2012-03-30,1.69,1.69,1.69,1.69,000,1.69
2012-03-29,1.69,1.69,1.69,1.69,000,1.69
2012-03-28,1.69,1.69,1.69,1.69,000,1.69
2012-03-27,1.69,1.69,1.69,1.69,000,1.69
2012-03-26,1.69,1.69,1.69,1.69,000,1.69
2012-03-23,1.69,1.69,1.69,1.69,000,1.69
2012-03-22,1.69,1.69,1.69,1.69,000,1.69
2012-03-21,1.70,1.70,1.69,1.69,000,1.69
2012-03-20,1.69,1.70,1.69,1.69,000,1.69
2012-03-19,1.69,1.69,1.69,1.69,000,1.69
2012-03-16,1.69,1.69,1.69,1.69,000,1.69
2012-03-15,1.68,1.69,1.68,1.69,000,1.69
2012-03-14,1.68,1.68,1.68,1.68,000,1.68
2012-03-13,1.68,1.68,1.68,1.68,000,1.68
2012-03-12,1.68,1.68,1.68,1.68,000,1.68
2012-03-08,1.71,1.71,1.68,1.68,000,1.68
2012-03-07,1.68,1.71,1.68,1.71,000,1.71
2012-03-06,1.68,1.68,1.68,1.68,000,1.68
2012-03-05,1.68,1.68,1.68,1.68,000,1.68
2012-03-02,1.68,1.68,1.68,1.68,000,1.68
2012-03-01,1.68,1.68,1.68,1.68,000,1.68
2012-02-29,1.68,1.68,1.68,1.68,000,1.68
2012-02-28,1.68,1.68,1.68,1.68,000,1.68
2012-02-27,1.68,1.70,1.68,1.68,000,1.68
2012-02-24,1.70,1.70,1.70,1.70,000,1.70
2012-02-23,1.68,1.70,1.68,1.70,000,1.70
2012-02-22,1.68,1.68,1.68,1.68,000,1.68
2012-02-21,1.68,1.68,1.68,1.68,000,1.68
2012-02-20,1.69,1.69,1.68,1.68,000,1.68
2012-02-17,1.69,1.69,1.69,1.69,000,1.69
2012-02-16,1.69,1.69,1.69,1.69,000,1.69
2012-02-15,1.69,1.69,1.69,1.69,000,1.69
2012-02-14,1.70,1.70,1.69,1.69,000,1.69
2012-02-13,1.69,1.70,1.69,1.70,000,1.70
2012-02-10,1.70,1.70,1.69,1.69,000,1.69
2012-02-08,1.71,1.71,1.70,1.70,000,1.70
2012-02-07,1.69,1.71,1.69,1.71,000,1.71
2012-02-06,1.69,1.69,1.69,1.69,000,1.69
2012-02-03,1.69,1.69,1.69,1.69,000,1.69
2012-02-02,1.70,1.72,1.69,1.69,000,1.69
2012-02-01,1.71,1.71,1.70,1.70,000,1.70
2012-01-31,1.70,1.71,1.70,1.71,000,1.71
2012-01-30,1.71,1.71,1.70,1.70,000,1.70
2012-01-27,1.74,1.74,1.71,1.71,000,1.71
2012-01-26,1.74,1.74,1.74,1.74,000,1.74
2012-01-25,1.72,1.74,1.72,1.74,000,1.74
2012-01-24,1.74,1.74,1.72,1.72,000,1.72
2012-01-23,1.74,1.74,1.74,1.74,000,1.74
2012-01-20,1.76,1.76,1.75,1.76,000,1.76
2012-01-19,1.75,1.76,1.75,1.76,000,1.76
2012-01-18,1.75,1.75,1.75,1.75,000,1.75
2012-01-17,1.75,1.75,1.75,1.75,000,1.75
2012-01-16,1.75,1.75,1.75,1.75,000,1.75
