Date,Open,High,Low,Close,Volume,Adj Close
2012-06-01,6.42,6.42,6.42,6.42,000,6.42
2012-05-31,6.42,6.42,6.42,6.42,000,6.42
2012-05-25,6.40,6.40,6.40,6.40,000,6.40
2012-05-24,6.40,6.40,6.40,6.40,000,6.40
2012-05-23,6.42,6.42,6.42,6.42,000,6.42
2012-05-22,6.42,6.42,6.42,6.42,000,6.42
2012-05-21,6.40,6.40,6.40,6.40,000,6.40
2012-05-18,6.40,6.40,6.40,6.40,000,6.40
2012-05-17,6.40,6.40,6.40,6.40,000,6.40
2012-05-16,6.42,6.42,6.42,6.42,000,6.42
2012-05-15,6.40,6.40,6.40,6.42,000,6.42
2012-05-11,6.42,6.42,6.42,6.42,000,6.42
2012-05-10,6.40,6.40,6.40,6.40,000,6.40
2012-05-04,6.40,6.40,6.40,6.40,000,6.40
2012-05-03,6.40,6.40,6.40,6.40,000,6.40
2012-05-02,6.40,6.40,6.40,6.40,000,6.40
2012-05-01,6.40,6.40,6.40,6.40,000,6.40
2012-04-30,6.40,6.40,6.40,6.40,000,6.40
2012-04-19,6.40,6.40,6.40,6.40,000,6.40
2012-04-18,6.40,6.40,6.40,6.40,000,6.40
2012-04-10,6.40,6.40,6.40,6.40,000,6.40
2012-04-09,6.40,6.40,6.40,6.40,000,6.40
2012-04-06,6.40,6.40,6.40,6.40,000,6.40
2012-04-05,6.40,6.40,6.40,6.40,000,6.40
2012-04-04,6.40,6.40,6.40,6.40,000,6.40
2012-04-03,6.42,6.42,6.42,6.42,000,6.42
2012-04-02,6.40,6.40,6.40,6.40,000,6.40
2012-03-30,6.40,6.40,6.40,6.40,000,6.40
2012-03-29,6.40,6.40,6.40,6.40,000,6.40
2012-03-28,6.40,6.40,6.40,6.40,000,6.40
2012-03-23,6.40,6.40,6.40,6.40,000,6.40
2012-03-22,6.40,6.40,6.40,6.40,000,6.40
2012-03-20,6.40,6.40,6.40,6.40,000,6.40
2012-03-16,6.42,6.42,6.42,6.42,000,6.42
2012-03-15,6.40,6.40,6.40,6.40,000,6.40
2012-03-08,6.40,6.40,6.40,6.40,000,6.40
2012-03-07,6.40,6.40,6.40,6.40,000,6.40
2012-03-06,6.40,6.40,6.40,6.40,000,6.40
2012-03-05,6.40,6.40,6.40,6.40,000,6.40
2012-03-02,6.40,6.40,6.40,6.40,000,6.40
2012-03-01,6.40,6.40,6.40,6.40,000,6.40
2012-02-28,6.40,6.40,6.40,6.40,000,6.40
2012-02-24,6.40,6.40,6.40,6.40,000,6.40
2012-02-23,6.08,6.08,6.08,6.40,000,6.40
2012-02-21,6.40,6.40,6.40,6.40,000,6.40
2012-02-20,6.40,6.40,6.40,6.40,000,6.40
2012-02-17,6.40,6.40,6.40,6.40,000,6.40
2012-02-16,6.42,6.42,6.42,6.42,000,6.42
2012-02-15,6.42,6.42,6.42,6.42,000,6.42
2012-02-10,6.40,6.40,6.40,6.40,000,6.40
2012-02-09,6.40,6.40,6.40,6.40,000,6.40
2012-02-08,6.40,6.40,6.40,6.40,000,6.40
2012-02-07,6.40,6.40,6.40,6.40,000,6.40
2012-02-03,6.40,6.40,6.40,6.40,000,6.40
2012-02-02,6.40,6.40,6.40,6.40,000,6.40
2012-02-01,6.40,6.40,6.40,6.40,000,6.40
2012-01-31,6.40,6.40,6.40,6.40,000,6.40
2012-01-24,6.40,6.40,6.40,6.40,000,6.40
2012-01-23,6.40,6.40,6.40,6.40,000,6.40
2012-01-18,6.40,6.40,6.40,6.40,000,6.40
2012-01-17,6.40,6.40,6.40,6.40,000,6.40
2012-01-16,6.40,6.40,6.40,6.40,000,6.40
2012-01-13,6.40,6.40,6.40,6.40,000,6.40
2012-01-12,6.40,6.40,6.40,6.40,000,6.40
2012-01-11,6.40,6.40,6.40,6.40,000,6.40
2012-01-10,6.40,6.40,6.40,6.40,000,6.40
2012-01-06,6.40,6.40,6.40,6.40,000,6.40
2012-01-05,6.40,6.40,6.40,6.40,000,6.40
2012-01-04,6.42,6.42,6.42,6.42,000,6.42
2012-01-03,6.44,6.44,6.44,6.44,000,6.44
2012-01-02,6.40,6.40,6.40,6.40,000,6.40
2011-12-30,6.40,6.40,6.40,6.40,000,6.40
2011-12-29,6.40,6.40,6.40,6.40,000,6.40
2011-12-28,6.42,6.42,6.42,6.42,000,6.42
2011-12-27,6.42,6.42,6.42,6.42,000,6.42
2011-12-26,6.40,6.40,6.40,6.40,000,6.40
2011-12-23,6.40,6.40,6.40,6.40,000,6.40
2011-12-22,6.40,6.40,6.40,6.40,000,6.40
2011-12-16,6.40,6.40,6.40,6.40,000,6.40
2011-12-15,6.40,6.40,6.40,6.40,000,6.40
2011-12-14,6.40,6.40,6.40,6.40,000,6.40
2011-12-13,6.40,6.40,6.40,6.40,000,6.40
2011-12-12,6.42,6.42,6.42,6.40,000,6.40
2011-12-06,6.40,6.40,6.40,6.40,000,6.40
2011-12-05,6.40,6.40,6.40,6.40,000,6.40
2011-12-02,6.40,6.40,6.40,6.40,000,6.40
2011-12-01,6.40,6.40,6.40,6.40,000,6.40
2011-11-30,6.40,6.40,6.40,6.40,000,6.40
2011-11-25,6.40,6.40,6.40,6.40,000,6.40
2011-11-24,6.40,6.40,6.40,6.40,000,6.40
2011-11-23,6.40,6.40,6.40,6.40,000,6.40
2011-11-22,6.40,6.40,6.40,6.40,000,6.40
2011-11-21,6.40,6.40,6.40,6.40,000,6.40
2011-11-18,6.40,6.40,6.40,6.40,000,6.40
2011-11-17,6.40,6.40,6.40,6.40,000,6.40
2011-11-16,6.40,6.40,6.40,6.40,000,6.40
2011-11-15,6.40,6.40,6.40,6.40,000,6.40
2011-11-11,6.40,6.40,6.40,6.40,000,6.40
2011-11-10,6.40,6.40,6.40,6.40,000,6.40
2011-11-09,6.40,6.40,6.40,6.40,000,6.40
2011-11-04,6.40,6.40,6.40,6.40,000,6.40
2011-11-03,6.40,6.40,6.40,6.40,000,6.40
2011-11-02,6.40,6.40,6.40,6.40,000,6.40
2011-11-01,6.40,6.40,6.40,6.40,000,6.40
2011-10-31,6.40,6.40,6.40,6.40,000,6.40
2011-10-24,6.40,6.40,6.40,6.40,000,6.40
2011-10-21,6.40,6.40,6.40,6.40,000,6.40
2011-10-20,6.40,6.40,6.40,6.40,000,6.40
2011-10-19,6.40,6.40,6.40,6.40,000,6.40
