Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,30.04,30.04,30.04,30.04,000,30.04
2012-06-01,29.94,29.94,29.94,29.94,000,29.94
2012-05-31,29.84,29.84,29.84,29.84,000,29.84
2012-05-30,29.77,29.77,29.77,29.77,000,29.77
2012-05-29,29.61,29.61,29.61,29.61,000,29.61
2012-05-28,29.61,29.61,29.61,29.61,000,29.61
2012-05-25,29.62,29.62,29.62,29.62,000,29.62
2012-05-24,29.61,29.61,29.61,29.61,000,29.61
2012-05-23,29.55,29.55,29.55,29.55,000,29.55
2012-05-22,29.52,29.52,29.52,29.52,000,29.52
2012-05-21,29.57,29.57,29.57,29.57,000,29.57
2012-05-18,29.59,29.59,29.59,29.59,000,29.59
2012-05-17,29.56,29.56,29.56,29.56,000,29.56
2012-05-16,29.62,29.62,29.62,29.62,000,29.62
2012-05-14,29.61,29.61,29.61,29.61,000,29.61
2012-05-11,29.40,29.40,29.40,29.40,000,29.40
2012-05-10,29.36,29.36,29.36,29.36,000,29.36
2012-05-09,29.35,29.35,29.35,29.35,000,29.35
2012-05-08,29.33,29.33,29.33,29.33,000,29.33
2012-05-07,29.32,29.32,29.32,29.32,000,29.32
2012-05-04,29.26,29.26,29.26,29.26,000,29.26
2012-05-03,29.21,29.21,29.21,29.21,000,29.21
2012-05-02,29.19,29.19,29.19,29.19,000,29.19
2012-05-01,29.16,29.16,29.16,29.16,000,29.16
2012-04-30,29.16,29.16,29.16,29.16,000,29.16
2012-04-27,29.24,29.24,29.24,29.24,000,29.24
2012-04-26,29.27,29.27,29.27,29.27,000,29.27
2012-04-25,29.50,29.50,29.50,29.50,000,29.50
2012-04-24,29.48,29.48,29.48,29.48,000,29.48
2012-04-23,29.51,29.51,29.51,29.51,000,29.51
2012-04-20,29.48,29.48,29.48,29.48,000,29.48
2012-04-19,29.50,29.50,29.50,29.50,000,29.50
2012-04-18,29.52,29.52,29.52,29.52,000,29.52
2012-04-17,29.53,29.53,29.53,29.53,000,29.53
2012-04-16,29.52,29.52,29.52,29.52,000,29.52
2012-04-13,29.52,29.52,29.52,29.52,000,29.52
