Date,Open,High,Low,Close,Volume,Adj Close
2012-06-04,20.99,20.99,20.99,20.99,000,20.99
2012-06-01,20.55,20.55,20.55,20.55,000,20.55
2012-05-31,20.89,20.89,20.89,20.89,000,20.89
2012-05-30,20.30,20.30,20.30,20.30,000,20.30
2012-05-29,20.35,20.35,20.35,20.35,000,20.35
2012-05-28,20.25,20.25,20.25,20.25,000,20.25
2012-05-25,20.15,20.15,20.15,20.15,000,20.15
2012-05-24,20.35,20.35,20.35,20.35,000,20.35
2012-05-23,20.00,20.00,20.00,20.00,000,20.00
2012-05-22,20.13,20.13,20.13,20.13,000,20.13
2012-05-21,20.00,20.00,20.00,20.00,000,20.00
2012-05-18,20.00,20.00,20.00,20.00,000,20.00
2012-05-17,20.00,20.00,20.00,20.00,000,20.00
2012-05-16,19.97,19.97,19.97,19.97,000,19.97
2012-05-14,19.90,19.90,19.90,19.90,000,19.90
2012-05-11,19.91,19.91,19.91,19.91,000,19.91
2012-05-10,19.91,19.91,19.91,19.91,000,19.91
2012-05-09,19.95,19.95,19.95,19.95,000,19.95
2012-05-08,19.90,19.90,19.90,19.90,000,19.90
2012-05-07,19.90,19.90,19.90,19.90,000,19.90
2012-05-04,19.88,19.88,19.88,19.88,000,19.88
2012-05-03,19.90,19.90,19.90,19.90,000,19.90
2012-05-02,19.82,19.82,19.82,19.82,000,19.82
2012-05-01,19.75,19.75,19.75,19.75,000,19.75
2012-04-30,19.77,19.77,19.77,19.77,000,19.77
2012-04-27,19.79,19.79,19.79,19.79,000,19.79
2012-04-26,19.85,19.85,19.85,19.85,000,19.85
2012-04-25,19.85,19.85,19.85,19.85,000,19.85
2012-04-24,19.89,19.89,19.89,19.89,000,19.89
2012-04-23,19.90,19.90,19.90,19.90,000,19.90
2012-04-20,19.91,19.91,19.91,19.91,000,19.91
2012-04-19,19.85,19.85,19.85,19.85,000,19.85
2012-04-18,19.75,19.75,19.75,19.75,000,19.75
2012-04-17,19.45,19.45,19.45,19.45,000,19.45
2012-04-16,19.45,19.45,19.45,19.45,000,19.45
2012-04-13,19.50,19.50,19.50,19.50,000,19.50
2012-04-12,19.47,19.47,19.47,19.47,000,19.47
2012-04-11,19.45,19.45,19.45,19.45,000,19.45
2012-04-10,19.45,19.45,19.45,19.45,000,19.45
2012-04-09,19.46,19.46,19.46,19.46,000,19.46
2012-04-06,19.45,19.45,19.45,19.45,000,19.45
2012-04-05,19.45,19.45,19.45,19.45,000,19.45
2012-04-04,19.45,19.45,19.45,19.45,000,19.45
2012-04-03,19.45,19.45,19.45,19.45,000,19.45
2012-04-02,19.50,19.50,19.50,19.50,000,19.50
2012-03-30,19.52,19.52,19.52,19.52,000,19.52
2012-03-29,19.50,19.50,19.50,19.50,000,19.50
2012-03-28,19.45,19.45,19.45,19.45,000,19.45
2012-03-27,19.51,19.51,19.51,19.51,000,19.51
2012-03-26,19.50,19.50,19.50,19.50,000,19.50
2012-03-23,19.50,19.50,19.50,19.50,000,19.50
2012-03-22,19.53,19.53,19.53,19.53,000,19.53
2012-03-21,19.47,19.47,19.47,19.47,000,19.47
2012-03-20,19.40,19.40,19.40,19.40,000,19.40
2012-03-19,19.40,19.40,19.40,19.40,000,19.40
2012-03-16,19.47,19.47,19.47,19.47,000,19.47
2012-03-15,19.52,19.52,19.52,19.52,000,19.52
2012-03-14,19.65,19.65,19.65,19.65,000,19.65
2012-03-13,19.65,19.65,19.65,19.65,000,19.65
2012-03-12,19.55,19.55,19.55,19.55,000,19.55
2012-03-08,19.55,19.55,19.55,19.55,000,19.55
2012-03-07,19.57,19.57,19.57,19.57,000,19.57
2012-03-06,19.48,19.48,19.48,19.48,000,19.48
2012-03-05,19.42,19.42,19.42,19.42,000,19.42
2012-03-02,19.39,19.39,19.39,19.39,000,19.39
2012-03-01,19.36,19.36,19.36,19.36,000,19.36
2012-02-29,19.34,19.34,19.34,19.34,000,19.34
2012-02-28,19.40,19.40,19.40,19.40,000,19.40
2012-02-27,19.38,19.38,19.38,19.38,000,19.38
2012-02-24,19.40,19.40,19.40,19.40,000,19.40
2012-02-23,19.41,19.41,19.41,19.41,000,19.41
2012-02-22,19.42,19.42,19.42,19.42,000,19.42
2012-02-21,19.40,19.40,19.40,19.40,000,19.40
2012-02-20,19.45,19.45,19.45,19.45,000,19.45
2012-02-17,19.45,19.45,19.45,19.45,000,19.45
2012-02-16,19.47,19.47,19.47,19.47,000,19.47
2012-02-15,19.48,19.48,19.48,19.48,000,19.48
2012-02-14,19.40,19.40,19.40,19.40,000,19.40
2012-02-13,19.44,19.44,19.44,19.44,000,19.44
2012-02-10,19.40,19.40,19.40,19.40,000,19.40
2012-02-09,19.38,19.38,19.38,19.38,000,19.38
2012-02-08,19.43,19.43,19.43,19.43,000,19.43
2012-02-07,19.45,19.45,19.45,19.45,000,19.45
2012-02-06,19.45,19.45,19.45,19.45,000,19.45
2012-02-03,19.45,19.45,19.45,19.45,000,19.45
2012-02-02,19.45,19.45,19.45,19.45,000,19.45
2012-02-01,19.55,19.55,19.55,19.55,000,19.55
2012-01-31,19.55,19.55,19.55,19.55,000,19.55
2012-01-30,19.59,19.59,19.59,19.59,000,19.59
2012-01-27,19.52,19.52,19.52,19.52,000,19.52
2012-01-26,19.54,19.54,19.54,19.54,000,19.54
2012-01-25,19.69,19.69,19.69,19.69,000,19.69
2012-01-24,19.55,19.55,19.55,19.55,000,19.55
2012-01-23,19.56,19.56,19.56,19.56,000,19.56
2012-01-20,19.51,19.51,19.51,19.51,000,19.51
2012-01-19,19.49,19.49,19.49,19.49,000,19.49
2012-01-18,19.49,19.49,19.49,19.49,000,19.49
2012-01-17,19.55,19.55,19.55,19.55,000,19.55
2012-01-16,19.55,19.55,19.55,19.55,000,19.55
2012-01-13,19.45,19.45,19.45,19.45,000,19.45
2012-01-12,19.45,19.45,19.45,19.45,000,19.45
2012-01-11,19.45,19.45,19.45,19.45,000,19.45
2012-01-10,19.60,19.60,19.60,19.60,000,19.60
2012-01-09,19.60,19.60,19.60,19.60,000,19.60
2012-01-06,19.60,19.60,19.60,19.60,000,19.60
2012-01-05,19.60,19.60,19.60,19.60,000,19.60
2012-01-04,19.60,19.60,19.60,19.60,000,19.60
2012-01-03,19.90,19.90,19.90,19.90,000,19.90
2012-01-02,19.90,19.90,19.90,19.90,000,19.90
2011-12-30,19.90,19.90,19.90,19.90,000,19.90
2011-12-29,19.90,19.90,19.90,19.90,000,19.90
2011-12-28,19.90,19.90,19.90,19.90,000,19.90
2011-12-27,19.90,19.90,19.90,19.90,000,19.90
2011-12-26,19.90,19.90,19.90,19.90,000,19.90
2011-12-23,19.90,19.90,19.90,19.90,000,19.90
2011-12-22,19.90,19.90,19.90,19.90,000,19.90
2011-12-21,19.90,19.90,19.90,19.90,000,19.90
2011-12-20,20.05,20.05,20.05,20.05,000,20.05
2011-12-19,20.05,20.05,20.05,20.05,000,20.05
2011-12-16,20.05,20.05,20.05,20.05,000,20.05
2011-12-15,19.90,19.90,19.90,19.90,000,19.90
2011-12-14,19.90,19.90,19.90,19.90,000,19.90
2011-12-13,19.80,19.80,19.80,19.80,000,19.80
2011-12-12,19.80,19.80,19.80,19.80,000,19.80
2011-12-09,19.80,19.80,19.80,19.80,000,19.80
2011-12-08,19.75,19.75,19.75,19.75,000,19.75
2011-12-07,19.75,19.75,19.75,19.75,000,19.75
2011-12-06,19.70,19.70,19.70,19.70,000,19.70
2011-12-05,19.70,19.70,19.70,19.70,000,19.70
2011-12-02,19.70,19.70,19.70,19.70,000,19.70
2011-12-01,19.70,19.70,19.70,19.70,000,19.70
2011-11-30,19.70,19.70,19.70,19.70,000,19.70
2011-11-29,19.95,19.95,19.95,19.95,000,19.95
2011-11-28,19.95,19.95,19.95,19.95,000,19.95
2011-11-25,20.15,20.15,20.15,20.15,000,20.15
2011-11-24,19.90,19.90,19.90,19.90,000,19.90
2011-11-23,19.90,19.90,19.90,19.90,000,19.90
2011-11-22,19.90,19.90,19.90,19.90,000,19.90
2011-11-21,19.90,19.90,19.90,19.90,000,19.90
2011-11-18,19.80,19.80,19.80,19.80,000,19.80
2011-11-17,19.80,19.80,19.80,19.80,000,19.80
2011-11-16,19.70,19.70,19.70,19.70,000,19.70
2011-11-15,19.65,19.65,19.65,19.65,000,19.65
2011-11-14,19.55,19.55,19.55,19.55,000,19.55
2011-11-11,19.70,19.70,19.70,19.70,000,19.70
2011-11-10,19.70,19.70,19.70,19.70,000,19.70
2011-11-09,19.70,19.70,19.70,19.70,000,19.70
2011-11-08,19.70,19.70,19.70,19.70,000,19.70
2011-11-07,19.70,19.70,19.70,19.70,000,19.70
2011-11-04,19.50,19.50,19.50,19.50,000,19.50
2011-11-03,19.70,19.70,19.70,19.70,000,19.70
2011-11-02,19.70,19.70,19.70,19.70,000,19.70
2011-11-01,19.20,19.20,19.20,19.20,000,19.20
2011-10-31,19.20,19.20,19.20,19.20,000,19.20
2011-10-28,19.20,19.20,19.20,19.20,000,19.20
2011-10-27,19.55,19.55,19.55,19.55,000,19.55
2011-10-26,19.60,19.60,19.60,19.60,000,19.60
2011-10-25,19.90,19.90,19.90,19.90,000,19.90
2011-10-24,19.90,19.90,19.90,19.90,000,19.90
2011-10-21,19.90,19.90,19.90,19.90,000,19.90
2011-10-20,19.90,19.90,19.90,19.90,000,19.90
2011-10-19,20.00,20.00,20.00,20.00,000,20.00
2011-10-18,20.00,20.00,20.00,20.00,000,20.00
2011-10-17,20.00,20.00,20.00,20.00,000,20.00
2011-10-14,20.00,20.00,20.00,20.00,000,20.00
2011-10-13,20.00,20.00,20.00,20.00,000,20.00
2011-10-12,20.00,20.00,20.00,20.00,000,20.00
2011-10-11,19.90,19.90,19.90,19.90,000,19.90
2011-10-10,19.90,19.90,19.90,19.90,000,19.90
2011-10-07,20.20,20.20,20.20,20.20,000,20.20
2011-10-06,20.20,20.20,20.20,20.20,000,20.20
2011-10-05,20.30,20.30,20.30,20.30,000,20.30
2011-10-04,20.15,20.15,20.15,20.15,000,20.15
2011-10-03,19.85,19.85,19.85,19.85,000,19.85
2011-09-30,19.85,19.85,19.85,19.85,000,19.85
2011-09-29,19.85,19.85,19.85,19.85,000,19.85
2011-09-28,19.85,19.85,19.85,19.85,000,19.85
2011-09-27,20.15,20.15,20.15,20.15,000,20.15
2011-09-26,20.05,20.05,20.05,20.05,000,20.05
2011-09-23,20.20,20.20,20.20,20.20,000,20.20
2011-09-22,19.80,19.80,19.80,19.80,000,19.80
2011-09-21,19.60,19.60,19.60,19.60,000,19.60
2011-09-20,19.30,19.30,19.30,19.30,000,19.30
2011-09-19,19.30,19.30,19.30,19.30,000,19.30
2011-09-16,19.30,19.30,19.30,19.30,000,19.30
2011-09-15,19.30,19.30,19.30,19.30,000,19.30
2011-09-14,19.20,19.20,19.20,19.20,000,19.20
2011-09-13,19.20,19.20,19.20,19.20,000,19.20
2011-09-12,19.15,19.15,19.15,19.15,000,19.15
2011-09-09,19.15,19.15,19.15,19.15,000,19.15
2011-09-08,18.85,18.85,18.85,18.85,000,18.85
2011-09-07,18.51,18.51,18.51,18.51,000,18.51
